"","strain","clade","MTL","zygosity","line","rep","enviro","all0.1","all0.1.sd","all0.1.se","place","col","place72","col72","col72a","all0.1.72","all0.1.72.sd","all0.1.72.se","all10.1","all10.1.sd","all10.1.se","all10.1.72","all10.1.72.sd","all10.1.72.se","t0.G1.1","t10.G1.1","t10.G1.2","t10.G1.3","MIC24","MIC48","MIC72","MIC24.10","MIC48.10","MIC72.10","SMG24","SMG48","SMG72","SMG24.10","SMG48.10","SMG72.10","line.1","rep.1","change24","change48","change72","place.1","place72.1","col.1","col72.1","cola","col72a.1","lr","pch","delta1.24","delta1.72","change24.SMG","change48.SMG","change72.SMG","place72_MIC"
"1_11","1","1","a/a","hom","1","11","1",1.551625,NA,NA,"19","#481568FF",20,"#440154FF","#44015480",1.75625,NA,NA,1.692,0.128693434175952,0.128693434175952,1.8335,0.0643467170879758,0.0643467170879758,162.5,197.767405063291,NA,NA,1,4,4,1,4,4,0.210751510862913,0.302674411138832,0.431015173410405,0.191454664057404,0.253031584884377,0.348866855524079,"1","11",0,0,0,19,20,"#481568FF","#440154FF","#48156880","#44015480","1-11",21,0.140375,0.0772499999999998,-0.0192968468055093,-0.049642826254455,-0.0821483178863253,16
"1_12","1","1","a/a","hom","1","12","1",1.596875,NA,NA,"19","#481568FF",20,"#440154FF","#44015480",1.74225,NA,NA,1.683,0.0947523086789973,0.0947523086789973,1.8145,0.0572756492761103,0.0572756492761103,168.5,201.009493670886,NA,NA,1,4,4,1,4,4,0.210751510862913,0.302674411138832,0.431015173410405,0.199231010671689,0.279537671232877,0.411273265651438,"1","12",0,0,0,19,20,"#481568FF","#440154FF","#48156880","#44015480","1-12",21,0.086125,0.0722499999999999,-0.0115205001912244,-0.0231367399059551,-0.0197419077589664,16
"2_1","2","4","a/a","hom","2","1","1",1.165375,NA,NA,"15","#39558CFF",10,"#1F968BFF","#1F968B80",1.31825,NA,NA,0.9865,0.522551911296859,0.522551911296859,1.8015,0.0770746391493337,0.0770746391493337,173,243.15664556962,NA,NA,0.75,1,1,0.5,1,1,0.126912025850538,0.135714218804643,0.155541266335759,0.188746719160105,0.236420454545455,0.29028328611898,"2","1",-0.25,0,0,15,10,"#39558CFF","#1F968BFF","#39558C80","#1F968B80","2-1",21,-0.178875,0.48325,0.0618346933095666,0.100706235740812,0.134742019783221,12
"2_2","2","4","a/a","hom","2","2","1",1.159,NA,NA,"15","#39558CFF",10,"#1F968BFF","#1F968B80",1.30475,NA,NA,0.709,0.656195092941116,0.656195092941116,1.685,0.172534054609518,0.172534054609518,166.5,219.381329113924,NA,NA,0.75,1,1,1,0.5,1,0.126912025850538,0.135714218804643,0.155541266335759,0.116609159347553,0.0643716970052848,0.075109649122807,"2","2",0.25,-0.5,0,15,10,"#39558CFF","#1F968BFF","#39558C80","#1F968B80","2-2",21,-0.45,0.38025,-0.0103028665029851,-0.0713425217993581,-0.080431617212952,12
"2_3","2","4","a/a","hom","2","3","1",1.144,NA,NA,"15","#39558CFF",10,"#1F968BFF","#1F968B80",1.30525,NA,NA,1.493,0.0113137084989846,0.0113137084989846,1.7255,0.0219203102167831,0.0219203102167831,171,194.525316455696,NA,NA,0.75,1,1,1,1,1,0.126912025850538,0.135714218804643,0.155541266335759,0.067257785467128,0.0618582430119795,0.0664710933028048,"2","3",0.25,0,0,15,10,"#39558CFF","#1F968BFF","#39558C80","#1F968B80","2-3",21,0.349,0.42025,-0.0596542403834104,-0.0738559757926634,-0.0890701730329542,12
"2_4","2","4","a/a","hom","2","4","1",1.10175,NA,NA,"15","#39558CFF",10,"#1F968BFF","#1F968B80",1.316375,NA,NA,1.4425,0.0360624458405139,0.0360624458405139,1.7965,0.0459619407771256,0.0459619407771256,173,206.412974683544,421.471518987342,NA,0.75,1,1,1,1,1,0.126912025850538,0.135714218804643,0.155541266335759,0.0644383509833585,0.0521532438478747,0.0545435510887772,"2","4",0.25,0,0,15,10,"#39558CFF","#1F968BFF","#39558C80","#1F968B80","2-4",24,0.34075,0.480125,-0.0624736748671799,-0.0835609749567682,-0.100997715246982,12
"2_5","2","4","a/a","hom","2","5","1",1.08175,NA,NA,"15","#39558CFF",10,"#1F968BFF","#1F968B80",1.300125,NA,NA,0.8185,0.652659559035183,0.652659559035183,1.714,0.00565685424949239,0.00565685424949239,169,237.753164556962,NA,NA,0.75,1,1,0.5,1,1,0.126912025850538,0.135714218804643,0.155541266335759,0.160511756569848,0.209061200237671,0.254141835518474,"2","5",-0.25,0,0,15,10,"#39558CFF","#1F968BFF","#39558C80","#1F968B80","2-5",21,-0.26325,0.413875,0.0335997307193095,0.073346981433028,0.0986005691827153,12
"2_6","2","4","a/a","hom","2","6","1",1.0875,NA,NA,"15","#39558CFF",10,"#1F968BFF","#1F968B80",1.290375,NA,NA,0.989,0.478004184082106,0.478004184082106,1.712,0.0155563491861041,0.0155563491861041,171,291.787974683544,NA,NA,0.75,1,1,1,1,1,0.126912025850538,0.135714218804643,0.155541266335759,0.0947986577181208,0.0598404255319149,0.0585129946839929,"2","6",0.25,0,0,15,10,"#39558CFF","#1F968BFF","#39558C80","#1F968B80","2-6",21,-0.0984999999999999,0.421625,-0.0321133681324176,-0.075873793272728,-0.0970282716517661,12
"2_7","2","4","a/a","hom","2","7","1",1.0995,NA,NA,"15","#39558CFF",10,"#1F968BFF","#1F968B80",1.290875,NA,NA,0.9,0.636396103067893,0.636396103067893,1.632,0.0410121933088198,0.0410121933088198,167.5,240.995253164557,NA,NA,0.75,1,1,1,1,1,0.126912025850538,0.135714218804643,0.155541266335759,0.175639658848614,0.0541413373860182,0.0681989734299517,"2","7",0.25,0,0,15,10,"#39558CFF","#1F968BFF","#39558C80","#1F968B80","2-7",21,-0.1995,0.341125,0.0487276329980757,-0.0815728814186246,-0.0873422929058073,12
"2_8","2","4","a/a","hom","2","8","1",1.09825,NA,NA,"15","#39558CFF",10,"#1F968BFF","#1F968B80",1.30025,NA,NA,1.0085,0.519723484172112,0.519723484172112,1.6165,0.119501046020527,0.119501046020527,170,288.545886075949,NA,NA,0.75,1,1,1,1,1,0.126912025850538,0.135714218804643,0.155541266335759,0.108698210922787,0.0922396432681243,0.128236478711162,"2","8",0.25,0,0,15,10,"#39558CFF","#1F968BFF","#39558C80","#1F968B80","2-8",21,-0.08975,0.31625,-0.0182138149277512,-0.0434745755365186,-0.0273047876245968,12
