Line,t0 G1.1,t0b G1.1,t3 G1.1,t3 G1.2,t3 weird,t5 G1.1,t5 G1.2,t5 weird,t8 G1.1,t8 G1.2,weird,t10 G1.1,t10 G1.2,t10 G1.3,t10 weird,t10 WD,t10b G1.1,t10b G1.2,,
A08-H03,147,175,176,,poor fit,267,,,153,266,,308,,,,1,145,290,,
A08-H04,145,173,172,,,201,,,131,,,151,,,,0,168,,,
A08-H05,147,171,175,,,246,,,176,,x,212,,,,0,143,284,,
A08-H06,145,168,170,238,,215,,,134,,,286,147,,,1,125,240,,
A08-H07,146,170,171,,,249,,,135,,,176,347,,,1,169,,,
A08-H08,149,170,166,,,241,,,129,,,146,,,,1,182,312,,
A08-H09,149,168,163,,,233,,,130,,,150,,,,1,172,246,,
A08-H10,153,146,170,,,237,,,150,,,177,,,,0,160,,,
A08-H11,153,161,189,,,242,,,141,,,170,,,,1,170,300,,
A08-H12,157,156,162,,,277,,,173,,,191,,,,1,158,,,
A09-A01,174,162,209,,,214,252,,138,,,163,198,,,0,153,,,
A09-A02,173,173,216,,,212,249,,136,,,139,,,,1,125,,,
A09-A03,174,154,148,,,212,257,,138,,x,137,206,,,1,197,159,,xxx
A09-A04,172,159,148,,,234,,,114,,,126,,,,0,162,,,
A09-A05,160,161,180,,,213,261,,135,257,,329,144,,,1,126,,,
A09-A06,168,156,159,,,214,257,,121,,,141,,,,0,167,,,
A09-A07,174,171,167,,,,,x,149,,,168,,,,0,168,341,,
A09-A08,172,165,168,,,257,,,149,,,172,339,,,1,194,395,,
A09-A09,180,171,156,,,250,,,117,,,137,,,,0,139,,,
A09-A10,152,173,155,,,198,249,,115,,,136,,,,0,182,,,
A09-A11,182,171,163,,,257,,,138,,,165,246,,,1,180,278,334,
A09-A12,187,169,182,,,,,x,194,,,241,,,,1,178,,,
A10-B01,205,176,200,242,,,,x,161,,x,220,374,,messy,-1,205,,,
A10-B02,207,163,211,,2 peaks?,,,x,188,,,222,,,,0,,,,
A10-B03,171,161,151,,,253,,,136,282,x,379,186,,,1,364,179,,
A10-B04,210,161,166,,,,,x,180,254,x,167,,,poor g2 fit,1,180,280,,x
A10-B05,210,177,157,,,232,,,139,,x,194,,,,1,190,387,,
A10-B06,207,175,170,,,,,x,144,,x,365,221,,messy,-1,211,367,,
A10-B07,217,187,166,,,,,x,174,,x,231,,,poor g2,0,203,369,,
A10-B08,214,176,165,,,,,x,187,,x,382,,,,0,357,,,
A10-B09,206,188,185,,,,,x,179,,,239,,,messy,0,211,,,
A10-B10,214,192,173,,,,,x,263,,x,202,348,,,0,202,371,,
A10-B11,208,206,186,,,,,x,174,,,235,,,,0,204,,,
A10-B12,169,183,199,,,217,,x,153,,,184,,,,1,198,,,
A11-C01,163,173,194,,,,,x,164,,,205,,,messy,0,152,,,
A11-C02,164,172,197,,,223,359,x,225,,,199,,,,1,,,,
A11-C03,166,171,166,,,217,,,156,,,203,,,,1,,,,
A11-C04,164,165,174,,,264,,x,195,,x,250,,,messy,1,206,126,,
A11-C05,172,168,178,,,,,x,186,,,159,247,,,-1,,,,
A11-C06,177,169,179,337,,,,x,175,,,255,,,,0,231,,,messy
A11-C07,168,172,189,362,,218,284,x,161,,,211,,,mess,-1,165,336,,
A11-C08,174,176,195,,,,,x,154,,,202,,,,0,197,387,,
A11-C09,178,182,189,,,237,,,136,,,187,,,,0,159,,,
A11-C10,170,181,179,,,,,x,147,,,197,,,,1,,,,
A11-C11,173,178,187,,,,,x,144,,,195,346,,,0,186,,,
A11-C12,177,177,175,,,,,x,144,,x,165,,,no g2,1,173,,,
A12-D01,175,157,188,,,203,,,120,,,153,,,,0,,,,
A12-D02,176,171,153,,,205,,,121,,,166,,,,0,,,,
A12-D03,167,167,155,,,223,,,122,,,161,,,,0,179,,,
A12-D04,160,169,157,,,221,,,123,,,157,,,,0,179,,,
A12-D05,170,166,152,,,232,,,123,,,160,,,,0,178,,,
A12-D06,180,167,151,,,224,,,125,,,163,,,,0,177,,,
A12-D07,193,167,149,,,229,,,125,,,156,,,,0,175,,,
A12-D08,189,168,156,,,228,,,136,,,180,,,,0,183,,,
A12-D09,176,173,164,,,219,,,132,,,158,,,,1,163,,,
A12-D10,172,170,165,,,217,,,126,,,158,,,,0,179,,,
A12-D11,174,167,163,,,217,,,124,,,152,,,,0,183,,,
A12-D12,191,138,196,,,212,,,126,,,156,,,,0,183,,,
A13-E01,166,165,177,,,211,278,x,162,,,325,188,,,1,,,,
A13-E02,164,163,181,,,224,,,142,,,177,,,,1,,,,
A13-E03,163,162,168,,,228,,x,156,227,,304,200,,messy,0,148,,,
A13-E04,163,159,167,,,218,271,x,157,,,208,,,,0,,,,
A13-E05,158,159,160,,,228,286,x,151,,,232,,,,1,148,,,
A13-E06,160,155,182,,,227,278,x,154,264,,311,206,356,messy,0,162,,,
A13-E07,132,160,170,360,messy,229,,,161,,,221,356,,,1,225,423,,
A13-E08,161,161,182,,,220,,,144,,,362,175,,,1,,,,
A13-E09,156,164,179,333,messy,217,,,141,,,369,182,,,0,,,,
A13-E10,161,165,189,,,257,,,157,,,204,,,,0,96,382,,
