"line","enviro","rep","gen","data","time"
1,0,1,"t0",1.5305,24
1,0,2,"t0",1.548,24
1,0,3,"t0",1.5495,24
1,0,4,"t0",1.4845,24
1,0,5,"t0",1.5135,24
1,0,6,"t0",1.531,24
1,0,7,"t0",1.6105,24
1,0,8,"t0",1.4685,24
1,0,9,"t0",1.549,24
1,0,10,"t0",1.4425,24
1,0,11,"t0",1.499,24
1,0,12,"t0",1.551,24
1,1,1,"t0",1.58,24
1,1,2,"t0",1.569,24
1,1,3,"t0",1.555,24
1,1,4,"t0",1.527,24
1,1,5,"t0",1.525,24
1,1,6,"t0",1.545,24
1,1,7,"t0",1.627,24
1,1,8,"t0",1.492,24
1,1,9,"t0",1.552,24
1,1,10,"t0",1.468,24
1,1,11,"t0",1.494,24
1,1,12,"t0",1.581,24
1,4,1,"t0",1.144,24
1,4,2,"t0",1.191,24
1,4,3,"t0",1.214,24
1,4,4,"t0",1.079,24
1,4,5,"t0",1.101,24
1,4,6,"t0",1.147,24
1,4,7,"t0",1.112,24
1,4,8,"t0",1.049,24
1,4,9,"t0",1.104,24
1,4,10,"t0",0.945,24
1,4,11,"t0",1.013,24
1,4,12,"t0",1.046,24
1,8,1,"t0",0.111,24
1,8,2,"t0",0.134,24
1,8,3,"t0",0.121,24
1,8,4,"t0",0.0925,24
1,8,5,"t0",0.1005,24
1,8,6,"t0",0.131,24
1,8,7,"t0",0.1685,24
1,8,8,"t0",0.0845,24
1,8,9,"t0",0.129,24
1,8,10,"t0",0.085,24
1,8,11,"t0",0.0835,24
1,8,12,"t0",0.1095,24
1,32,1,"t0",0.0965,24
1,32,2,"t0",0.122,24
1,32,3,"t0",0.1015,24
1,32,4,"t0",0.0775,24
1,32,5,"t0",0.086,24
1,32,6,"t0",0.101,24
1,32,7,"t0",0.1485,24
1,32,8,"t0",0.0745,24
1,32,9,"t0",0.1045,24
1,32,10,"t0",0.0785,24
1,32,11,"t0",0.0765,24
1,32,12,"t0",0.0965,24
1,0,1,"t3",1.511,24
