"line","enviro","col","gen","data"
5,8,12,"t0",1.755
5,32,1,"t0",1.771
5,32,2,"t0",1.757
5,32,3,"t0",1.735
5,32,4,"t0",1.744
5,32,5,"t0",1.723
5,32,6,"t0",1.707
5,32,7,"t0",1.69
5,32,8,"t0",1.704
5,32,9,"t0",1.717
5,32,10,"t0",1.731
5,32,11,"t0",1.758
5,32,12,"t0",1.75
6,0,1,"t0",1.893
6,0,2,"t0",1.853
6,0,3,"t0",1.846
6,0,4,"t0",1.898
6,0,5,"t0",1.855
6,0,6,"t0",1.856
6,0,7,"t0",1.856
6,0,8,"t0",1.872
6,0,9,"t0",1.849
6,0,10,"t0",1.822
6,0,11,"t0",1.835
6,0,12,"t0",1.818
6,1,1,"t0",1.537
6,1,2,"t0",1.211
6,1,3,"t0",1.544
6,1,4,"t0",1.785
6,1,5,"t0",1.151
6,1,6,"t0",1.738
6,1,7,"t0",1.617
6,1,8,"t0",1.737
6,1,9,"t0",1.756
6,1,10,"t0",1.746
6,1,11,"t0",1.729
6,1,12,"t0",0.608
6,8,1,"t0",0.32
6,8,2,"t0",0.386
6,8,3,"t0",0.362
6,8,4,"t0",0.319
6,8,5,"t0",0.32
6,8,6,"t0",0.32
6,8,7,"t0",0.375
6,8,8,"t0",0.306
6,8,9,"t0",0.33
6,8,10,"t0",0.308
6,8,11,"t0",0.372
6,8,12,"t0",0.426
6,32,1,"t0",0.392
6,32,2,"t0",0.397
6,32,3,"t0",0.372
6,32,4,"t0",0.369
6,32,5,"t0",0.349
6,32,6,"t0",0.343
6,32,7,"t0",0.386
6,32,8,"t0",0.362
6,32,9,"t0",0.372
6,32,10,"t0",0.361
6,32,11,"t0",0.408
6,32,12,"t0",0.379
7,0,1,"t0",1.866
7,0,2,"t0",1.849
7,0,3,"t0",1.846
7,0,4,"t0",1.846
7,0,5,"t0",1.852
7,0,6,"t0",1.843
7,0,7,"t0",1.848
7,0,8,"t0",1.843
7,0,9,"t0",1.854
7,0,10,"t0",1.822
7,0,11,"t0",1.827
7,0,12,"t0",1.778
7,1,1,"t0",1.465
7,1,2,"t0",1.722
7,1,3,"t0",1.589
7,1,4,"t0",1.712
7,1,5,"t0",1.678
7,1,6,"t0",1.532
7,1,7,"t0",1.573
7,1,8,"t0",1.486
7,1,9,"t0",1.503
7,1,10,"t0",1.259
7,1,11,"t0",1.121
7,1,12,"t0",0.983
7,8,1,"t0",0.513
7,8,2,"t0",0.708
7,8,3,"t0",0.465
7,8,4,"t0",0.819
7,8,5,"t0",0.616
7,8,6,"t0",0.513
7,8,7,"t0",0.48
7,8,8,"t0",0.435
7,8,9,"t0",0.35
7,8,10,"t0",0.55
7,8,11,"t0",0.626
7,8,12,"t0",0.498
7,32,1,"t0",0.275
7,32,2,"t0",0.434
7,32,3,"t0",0.35
7,32,4,"t0",0.526
7,32,5,"t0",0.475
7,32,6,"t0",0.416
7,32,7,"t0",0.208
7,32,8,"t0",0.384
7,32,9,"t0",0.413
7,32,10,"t0",0.593
7,32,11,"t0",0.548
7,32,12,"t0",0.517
8,0,1,"t0",1.886
8,0,2,"t0",1.86
8,0,3,"t0",1.856
8,0,4,"t0",1.868
8,0,5,"t0",1.862
8,0,6,"t0",1.865
8,0,7,"t0",1.843
8,0,8,"t0",1.829
8,0,9,"t0",1.837
8,0,10,"t0",1.803
8,0,11,"t0",1.813
8,0,12,"t0",1.745
8,1,1,"t0",1.676
8,1,2,"t0",1.704
8,1,3,"t0",1.505
8,1,4,"t0",1.652
8,1,5,"t0",1.205
8,1,6,"t0",1.01
8,1,7,"t0",1.026
8,1,8,"t0",0.647
8,1,9,"t0",0.521
8,1,10,"t0",0.685
8,1,11,"t0",0.558
8,1,12,"t0",0.725
8,8,1,"t0",0.742
8,8,2,"t0",0.144
8,8,3,"t0",0.549
8,8,4,"t0",0.377
8,8,5,"t0",0.214
8,8,6,"t0",0.343
8,8,7,"t0",0.213
8,8,8,"t0",0.306
8,8,9,"t0",0.399
8,8,10,"t0",0.221
8,8,11,"t0",0.246
8,8,12,"t0",0.497
8,32,1,"t0",0.626
8,32,2,"t0",0.355
8,32,3,"t0",0.483
8,32,4,"t0",0.132
8,32,5,"t0",0.402
8,32,6,"t0",0.132
8,32,7,"t0",0.224
8,32,8,"t0",0.362
8,32,9,"t0",0.44
8,32,10,"t0",0.14
8,32,11,"t0",0.393
8,32,12,"t0",0.575
9,0,1,"t0",1.931
9,0,2,"t0",1.922
9,0,3,"t0",1.912
9,0,4,"t0",1.903
9,0,5,"t0",1.897
9,0,6,"t0",1.897
9,0,7,"t0",1.876
9,0,8,"t0",1.889
9,0,9,"t0",1.887
9,0,10,"t0",1.863
9,0,11,"t0",1.882
9,0,12,"t0",1.718
9,1,1,"t0",0.994
9,1,2,"t0",0.885
9,1,3,"t0",0.978
9,1,4,"t0",0.654
9,1,5,"t0",0.885
9,1,6,"t0",1.129
9,1,7,"t0",0.845
9,1,8,"t0",1.066
9,1,9,"t0",1.271
9,1,10,"t0",1.052
9,1,11,"t0",1.316
9,1,12,"t0",1.234
9,8,1,"t0",0.341
9,8,2,"t0",0.323
9,8,3,"t0",0.311
9,8,4,"t0",0.301
9,8,5,"t0",0.3
9,8,6,"t0",0.327
9,8,7,"t0",0.28
9,8,8,"t0",0.297
9,8,9,"t0",0.338
9,8,10,"t0",0.32
9,8,11,"t0",0.34
9,8,12,"t0",0.334
9,32,1,"t0",0.293
9,32,2,"t0",0.34
9,32,3,"t0",0.277
9,32,4,"t0",0.316
9,32,5,"t0",0.275
9,32,6,"t0",0.269
9,32,7,"t0",0.258
9,32,8,"t0",0.313
9,32,9,"t0",0.372
9,32,10,"t0",0.496
9,32,11,"t0",0.474
9,32,12,"t0",0.413
10,0,1,"t0",1.817
10,0,2,"t0",1.797
10,0,3,"t0",1.816
10,0,4,"t0",1.815
10,0,5,"t0",1.801
10,0,6,"t0",1.799
10,0,7,"t0",1.785
10,0,8,"t0",1.807
10,0,9,"t0",1.818
10,0,10,"t0",1.772
10,0,11,"t0",1.792
10,0,12,"t0",1.775
10,1,1,"t0",1.745
10,1,2,"t0",1.703
10,1,3,"t0",1.725
10,1,4,"t0",1.733
10,1,5,"t0",1.716
10,1,6,"t0",1.714
10,1,7,"t0",1.733
10,1,8,"t0",1.729
10,1,9,"t0",1.736
10,1,10,"t0",1.694
10,1,11,"t0",1.703
10,1,12,"t0",1.713
10,8,1,"t0",1.604
10,8,2,"t0",1.584
10,8,3,"t0",1.615
10,8,4,"t0",1.592
10,8,5,"t0",1.561
10,8,6,"t0",1.591
10,8,7,"t0",1.563
10,8,8,"t0",1.58
10,8,9,"t0",1.608
10,8,10,"t0",1.611
10,8,11,"t0",1.606
10,8,12,"t0",1.652
10,32,1,"t0",1.64
10,32,2,"t0",1.578
10,32,3,"t0",1.588
10,32,4,"t0",1.552
10,32,5,"t0",1.545
10,32,6,"t0",1.566
10,32,7,"t0",1.602
10,32,8,"t0",1.612
10,32,9,"t0",1.558
10,32,10,"t0",1.598
10,32,11,"t0",1.623
10,32,12,"t0",1.63
11,0,1,"t0",1.912
11,0,2,"t0",1.887
11,0,3,"t0",1.902
11,0,4,"t0",1.868
11,0,5,"t0",1.873
11,0,6,"t0",1.878
11,0,7,"t0",1.865
11,0,8,"t0",1.87
11,0,9,"t0",1.86
11,0,10,"t0",1.847
11,0,11,"t0",1.868
11,0,12,"t0",1.824
11,1,1,"t0",0.348
11,1,2,"t0",0.439
11,1,3,"t0",0.408
11,1,4,"t0",0.43
11,1,5,"t0",0.414
11,1,6,"t0",0.398
11,1,7,"t0",0.402
11,1,8,"t0",0.413
11,1,9,"t0",0.446
11,1,10,"t0",0.398
11,1,11,"t0",0.377
11,1,12,"t0",0.435
11,8,1,"t0",0.379
11,8,2,"t0",0.44
11,8,3,"t0",0.419
11,8,4,"t0",0.413
11,8,5,"t0",0.387
11,8,6,"t0",0.423
11,8,7,"t0",0.43
11,8,8,"t0",0.409
11,8,9,"t0",0.485
11,8,10,"t0",0.429
11,8,11,"t0",0.532
11,8,12,"t0",0.367
11,32,1,"t0",0.433
11,32,2,"t0",0.453
11,32,3,"t0",0.365
11,32,4,"t0",0.424
11,32,5,"t0",0.432
11,32,6,"t0",0.456
11,32,7,"t0",0.476
11,32,8,"t0",0.427
11,32,9,"t0",0.448
11,32,10,"t0",0.537
11,32,11,"t0",0.435
11,32,12,"t0",0.459
12,0,1,"t0",1.796
12,0,2,"t0",1.797
12,0,3,"t0",1.776
12,0,4,"t0",1.792
12,0,5,"t0",1.785
12,0,6,"t0",1.792
12,0,7,"t0",1.8
12,0,8,"t0",1.784
12,0,9,"t0",1.801
12,0,10,"t0",1.755
12,0,11,"t0",1.797
12,0,12,"t0",1.751
12,1,1,"t0",1.794
12,1,2,"t0",1.764
12,1,3,"t0",1.785
12,1,4,"t0",1.792
12,1,5,"t0",1.788
12,1,6,"t0",1.786
12,1,7,"t0",1.774
12,1,8,"t0",1.809
12,1,9,"t0",1.799
12,1,10,"t0",1.775
12,1,11,"t0",1.805
12,1,12,"t0",1.785
12,8,1,"t0",1.78
12,8,2,"t0",1.775
12,8,3,"t0",1.782
12,8,4,"t0",1.79
12,8,5,"t0",1.769
12,8,6,"t0",1.776
12,8,7,"t0",1.773
12,8,8,"t0",1.788
12,8,9,"t0",1.779
12,8,10,"t0",1.765
12,8,11,"t0",1.783
12,8,12,"t0",1.78
12,32,1,"t0",1.76
12,32,2,"t0",1.75
12,32,3,"t0",1.755
12,32,4,"t0",1.779
12,32,5,"t0",1.746
12,32,6,"t0",1.77
12,32,7,"t0",1.749
12,32,8,"t0",1.783
12,32,9,"t0",1.765
12,32,10,"t0",1.746
12,32,11,"t0",1.752
12,32,12,"t0",1.758
13,0,1,"t0",1.832
13,0,2,"t0",1.818
13,0,3,"t0",1.82
13,0,4,"t0",1.833
13,0,5,"t0",1.804
13,0,6,"t0",1.787
13,0,7,"t0",1.787
13,0,8,"t0",1.778
13,0,9,"t0",1.749
13,0,10,"t0",1.736
13,0,11,"t0",1.771
13,0,12,"t0",1.769
13,1,1,"t0",1.515
13,1,2,"t0",1.486
13,1,3,"t0",1.435
13,1,4,"t0",1.455
13,1,5,"t0",1.24
13,1,6,"t0",1.252
13,1,7,"t0",1.291
13,1,8,"t0",1.376
13,1,9,"t0",1.336
13,1,10,"t0",1.576
13,1,11,"t0",1.442
13,1,12,"t0",1.513
13,8,1,"t0",1.108
13,8,2,"t0",1.047
13,8,3,"t0",1.148
13,8,4,"t0",1.062
13,8,5,"t0",1.16
13,8,6,"t0",1.156
13,8,7,"t0",1.01
13,8,8,"t0",1.219
13,8,9,"t0",1.199
13,8,10,"t0",1.377
13,8,11,"t0",1.24
13,8,12,"t0",1.341
13,32,1,"t0",1.207
13,32,2,"t0",1.098
13,32,3,"t0",1.12
13,32,4,"t0",0.683
13,32,5,"t0",0.916
13,32,6,"t0",0.729
13,32,7,"t0",0.788
13,32,8,"t0",0.996
13,32,9,"t0",1.24
13,32,10,"t0",1.34
13,32,11,"t0",0.929
13,32,12,"t0",0.987
14,0,1,"t0",1.898
14,0,2,"t0",1.89
14,0,3,"t0",1.883
14,0,4,"t0",1.891
14,0,5,"t0",1.884
14,0,6,"t0",1.877
14,0,7,"t0",1.876
14,0,8,"t0",1.879
14,0,9,"t0",1.862
14,0,10,"t0",1.82
14,0,11,"t0",1.844
14,0,12,"t0",1.799
14,1,1,"t0",1.596
14,1,2,"t0",1.701
14,1,3,"t0",1.587
14,1,4,"t0",1.652
14,1,5,"t0",1.455
14,1,6,"t0",1.53
14,1,7,"t0",1.523
14,1,8,"t0",1.503
14,1,9,"t0",1.275
14,1,10,"t0",1.303
14,1,11,"t0",1.196
14,1,12,"t0",1.422
14,8,1,"t0",1.175
14,8,2,"t0",1.205
14,8,3,"t0",1.192
14,8,4,"t0",1.21
14,8,5,"t0",1.139
14,8,6,"t0",1.063
14,8,7,"t0",0.871
14,8,8,"t0",0.897
14,8,9,"t0",1.106
14,8,10,"t0",0.968
14,8,11,"t0",1.127
14,8,12,"t0",0.884
14,32,1,"t0",1.115
14,32,2,"t0",1.093
14,32,3,"t0",1.028
14,32,4,"t0",1.171
14,32,5,"t0",1.1
14,32,6,"t0",0.837
14,32,7,"t0",0.88
14,32,8,"t0",0.65
14,32,9,"t0",0.962
14,32,10,"t0",1.046
14,32,11,"t0",0.968
14,32,12,"t0",0.877
15,0,1,"t0",1.674
15,0,2,"t0",1.665
15,0,3,"t0",1.67
15,0,4,"t0",1.664
15,0,5,"t0",1.643
15,0,6,"t0",1.666
15,0,7,"t0",1.672
15,0,8,"t0",1.706
15,0,9,"t0",1.661
15,0,10,"t0",1.663
15,0,11,"t0",1.664
15,0,12,"t0",1.68
15,1,1,"t0",1.454
15,1,2,"t0",1.464
15,1,3,"t0",1.398
15,1,4,"t0",1.333
15,1,5,"t0",1.458
15,1,6,"t0",1.38
15,1,7,"t0",1.425
15,1,8,"t0",1.437
15,1,9,"t0",1.426
15,1,10,"t0",1.409
15,1,11,"t0",1.505
15,1,12,"t0",1.601
15,8,1,"t0",0.575
15,8,2,"t0",0.312
15,8,3,"t0",0.248
15,8,4,"t0",0.375
15,8,5,"t0",0.263
15,8,6,"t0",0.273
15,8,7,"t0",0.214
15,8,8,"t0",0.228
15,8,9,"t0",0.287
15,8,10,"t0",0.747
15,8,11,"t0",0.772
15,8,12,"t0",0.531
15,32,1,"t0",0.403
15,32,2,"t0",0.365
15,32,3,"t0",0.311
15,32,4,"t0",0.135
15,32,5,"t0",0.132
15,32,6,"t0",0.171
15,32,7,"t0",0.126
15,32,8,"t0",0.197
15,32,9,"t0",0.415
15,32,10,"t0",0.44
15,32,11,"t0",0.404
15,32,12,"t0",0.165
16,0,1,"t0",1.871
16,0,2,"t0",1.848
16,0,3,"t0",1.909
16,0,4,"t0",1.868
