"line","enviro","rep","gen","data","time"
"4",0,7,"t0d",1.4545,24
"4",0,8,"t0d",1.496,24
"4",0,9,"t0d",1.5285,24
"4",0,10,"t0d",1.4315,24
"4",0,11,"t0d",1.4925,24
"4",0,12,"t0d",1.555,24
"4",1,1,"t0d",0.275,24
"4",1,2,"t0d",0.3005,24
"4",1,3,"t0d",0.4285,24
"4",1,4,"t0d",0.33,24
"4",1,5,"t0d",0.3175,24
"4",1,6,"t0d",0.1595,24
"4",1,7,"t0d",0.246,24
"4",1,8,"t0d",0.261,24
"4",1,9,"t0d",0.503,24
"4",1,10,"t0d",0.2585,24
"4",1,11,"t0d",0.261,24
"4",1,12,"t0d",0.542,24
"4",128,1,"t0d",0.0305,24
"4",128,2,"t0d",0.043,24
"4",128,3,"t0d",0.068,24
"4",128,4,"t0d",0.062,24
"4",128,5,"t0d",0.063,24
"4",128,6,"t0d",0.0335,24
"4",128,7,"t0d",0.073,24
"4",128,8,"t0d",0.0585,24
"4",128,9,"t0d",0.318,24
"4",128,10,"t0d",0.0415,24
"4",128,11,"t0d",0.05,24
"4",128,12,"t0d",0.36,24
"4",512,1,"t0d",1.044,24
"4",512,2,"t0d",0.837,24
"4",512,3,"t0d",0.6215,24
"4",512,4,"t0d",0.9685,24
"4",512,5,"t0d",0.895,24
"4",512,6,"t0d",0.7565,24
"4",512,7,"t0d",0.82,24
"4",512,8,"t0d",0.843,24
"4",512,9,"t0d",0.952,24
"4",512,10,"t0d",0.8,24
"4",512,11,"t0d",0.752,24
"4",512,12,"t0d",0.9345,24
"5",0,1,"t0d",1.5,24
"5",0,2,"t0d",1.5095,24
"5",0,3,"t0d",1.5195,24
"5",0,4,"t0d",1.534,24
"5",0,5,"t0d",1.5115,24
"5",0,6,"t0d",1.49,24
"5",0,7,"t0d",1.4975,24
"5",0,8,"t0d",1.467,24
"5",0,9,"t0d",1.477,24
"5",0,10,"t0d",1.332,24
"5",0,11,"t0d",1.501,24
"5",0,12,"t0d",1.517,24
"5",1,1,"t0d",1.388,24
"5",1,2,"t0d",1.4075,24
"5",1,3,"t0d",1.4155,24
"5",1,4,"t0d",1.405,24
"5",1,5,"t0d",1.342,24
"5",1,6,"t0d",1.301,24
"5",1,7,"t0d",1.329,24
"5",1,8,"t0d",1.251,24
"5",1,9,"t0d",1.281,24
"5",1,10,"t0d",1.104,24
"5",1,11,"t0d",1.2665,24
"5",1,12,"t0d",1.2085,24
"5",128,1,"t0d",1.061,24
"5",128,2,"t0d",1.1425,24
"5",128,3,"t0d",1.195,24
"5",128,4,"t0d",1.15,24
"5",128,5,"t0d",1.0755,24
"5",128,6,"t0d",1.014,24
"5",128,7,"t0d",1.0895,24
"5",128,8,"t0d",0.941,24
"5",128,9,"t0d",0.964,24
"5",128,10,"t0d",0.6885,24
"5",128,11,"t0d",0.9525,24
"5",128,12,"t0d",0.836,24
"5",512,1,"t0d",1.251,24
"5",512,2,"t0d",1.3185,24
"5",512,3,"t0d",1.3425,24
"5",512,4,"t0d",1.3635,24
"5",512,5,"t0d",1.261,24
"5",512,6,"t0d",1.232,24
"5",512,7,"t0d",1.265,24
"5",512,8,"t0d",1.14,24
"5",512,9,"t0d",1.1905,24
"5",512,10,"t0d",0.891,24
"5",512,11,"t0d",1.225,24
"5",512,12,"t0d",1.221,24
"6",0,1,"t0d",1.5975,24
"6",0,2,"t0d",1.6025,24
"6",0,3,"t0d",1.5995,24
"6",0,4,"t0d",1.6265,24
"6",0,5,"t0d",1.5775,24
"6",0,6,"t0d",1.5755,24
"6",0,7,"t0d",1.6075,24
"6",0,8,"t0d",1.616,24
"6",0,9,"t0d",1.621,24
"6",0,10,"t0d",1.583,24
"6",0,11,"t0d",1.5815,24
"6",0,12,"t0d",1.571,24
"6",1,1,"t0d",1.3495,24
"6",1,2,"t0d",1.3,24
"6",1,3,"t0d",1.295,24
"6",1,4,"t0d",1.3255,24
"6",1,5,"t0d",0.9825,24
"6",1,6,"t0d",1.0635,24
"6",1,7,"t0d",1.2365,24
"6",1,8,"t0d",1.317,24
"6",1,9,"t0d",1.3885,24
"6",1,10,"t0d",1.345,24
"6",1,11,"t0d",1.081,24
"6",1,12,"t0d",1.0615,24
"6",128,1,"t0d",0.612,24
"6",128,2,"t0d",0.3735,24
"6",128,3,"t0d",0.398,24
"6",128,4,"t0d",0.4065,24
"6",128,5,"t0d",0.403,24
"6",128,6,"t0d",0.308,24
"6",128,7,"t0d",0.554,24
"6",128,8,"t0d",0.611,24
"6",128,9,"t0d",0.6055,24
"6",128,10,"t0d",0.4055,24
"6",128,11,"t0d",0.3285,24
"6",128,12,"t0d",0.3065,24
"6",512,1,"t0d",0.8775,24
"6",512,2,"t0d",1.47,24
"6",512,3,"t0d",1.3345,24
"6",512,4,"t0d",1.472,24
"6",512,5,"t0d",1.257,24
"6",512,6,"t0d",1.5015,24
"6",512,7,"t0d",1.301,24
"6",512,8,"t0d",1.324,24
"6",512,9,"t0d",1.429,24
"6",512,10,"t0d",1.4385,24
"6",512,11,"t0d",1.369,24
"6",512,12,"t0d",1.1425,24
"7",0,1,"t0d",1.5265,24
"7",0,2,"t0d",1.529,24
"7",0,3,"t0d",1.548,24
"7",0,4,"t0d",1.528,24
"7",0,5,"t0d",1.518,24
"7",0,6,"t0d",1.5115,24
"7",0,7,"t0d",1.572,24
"7",0,8,"t0d",1.5265,24
"7",0,9,"t0d",1.552,24
"7",0,10,"t0d",1.539,24
"7",0,11,"t0d",1.547,24
"7",0,12,"t0d",1.559,24
"7",1,1,"t0d",1.325,24
"7",1,2,"t0d",1.1355,24
"7",1,3,"t0d",1.1075,24
"7",1,4,"t0d",1.3755,24
"7",1,5,"t0d",1.11,24
"7",1,6,"t0d",1.1385,24
"7",1,7,"t0d",1.4195,24
"7",1,8,"t0d",0.951,24
"7",1,9,"t0d",1.3285,24
"7",1,10,"t0d",1.235,24
"7",1,11,"t0d",1.072,24
"7",1,12,"t0d",1.329,24
"7",128,1,"t0d",0.0455,24
"7",128,2,"t0d",0.09,24
"7",128,3,"t0d",0.117,24
"7",128,4,"t0d",0.0605,24
"7",128,5,"t0d",0.091,24
"7",128,6,"t0d",0.1385,24
"7",128,7,"t0d",0.9225,24
"7",128,8,"t0d",0.0875,24
"7",128,9,"t0d",0.421,24
"7",128,10,"t0d",0.172,24
"7",128,11,"t0d",0.102,24
"7",128,12,"t0d",0.0935,24
"7",512,1,"t0d",1.491,24
"7",512,2,"t0d",1.4275,24
"7",512,3,"t0d",0.925,24
"7",512,4,"t0d",1.523,24
"7",512,5,"t0d",1.474,24
"7",512,6,"t0d",0.978,24
"7",512,7,"t0d",1.542,24
"7",512,8,"t0d",0.898,24
"7",512,9,"t0d",1.174,24
"7",512,10,"t0d",0.827,24
"7",512,11,"t0d",1.324,24
"7",512,12,"t0d",1.2835,24
"8",0,1,"t0d",1.5995,24
"8",0,2,"t0d",1.555,24
"8",0,3,"t0d",1.5835,24
"8",0,4,"t0d",1.577,24
"8",0,5,"t0d",1.59,24
"8",0,6,"t0d",1.5855,24
"8",0,7,"t0d",1.5525,24
"8",0,8,"t0d",1.613,24
"8",0,9,"t0d",1.6315,24
"8",0,10,"t0d",1.591,24
"8",0,11,"t0d",1.6315,24
"8",0,12,"t0d",1.605,24
"8",1,1,"t0d",0.759,24
"8",1,2,"t0d",0.239,24
"8",1,3,"t0d",0.5475,24
"8",1,4,"t0d",0.8635,24
"8",1,5,"t0d",0.773,24
"8",1,6,"t0d",0.6945,24
"8",1,7,"t0d",0.405,24
"8",1,8,"t0d",0.9805,24
"8",1,9,"t0d",1.202,24
"8",1,10,"t0d",0.9995,24
"8",1,11,"t0d",1.056,24
"8",1,12,"t0d",0.6425,24
"8",128,1,"t0d",0.162,24
"8",128,2,"t0d",0.0635,24
"8",128,3,"t0d",0.1065,24
"8",128,4,"t0d",0.134,24
"8",128,5,"t0d",0.152,24
"8",128,6,"t0d",0.197,24
"8",128,7,"t0d",0.111,24
"8",128,8,"t0d",0.2615,24
"8",128,9,"t0d",0.4345,24
"8",128,10,"t0d",0.2175,24
"8",128,11,"t0d",0.1955,24
"8",128,12,"t0d",0.1685,24
"8",512,1,"t0d",1.0055,24
