"line","enviro","rep","gen","data","time"
"1",0,1,"t0d",1.6825,72
"1",0,2,"t0d",1.659,72
"1",0,3,"t0d",1.6685,72
"1",0,4,"t0d",1.681,72
"1",0,5,"t0d",1.6555,72
"1",0,6,"t0d",1.663,72
"1",0,7,"t0d",1.6705,72
"1",0,8,"t0d",1.688,72
"1",0,9,"t0d",1.6535,72
"1",0,10,"t0d",1.6575,72
"1",0,11,"t0d",1.684,72
"1",0,12,"t0d",1.6645,72
"1",1,1,"t0d",1.6745,72
"1",1,2,"t0d",1.6645,72
"1",1,3,"t0d",1.6875,72
"1",1,4,"t0d",1.6745,72
"1",1,5,"t0d",1.6805,72
"1",1,6,"t0d",1.6695,72
"1",1,7,"t0d",1.6695,72
"1",1,8,"t0d",1.6935,72
"1",1,9,"t0d",1.6825,72
"1",1,10,"t0d",1.659,72
"1",1,11,"t0d",1.683,72
"1",1,12,"t0d",1.653,72
"1",128,1,"t0d",0.3835,72
"1",128,2,"t0d",0.719,72
"1",128,3,"t0d",0.884,72
"1",128,4,"t0d",0.9525,72
"1",128,5,"t0d",0.9665,72
"1",128,6,"t0d",1.1485,72
"1",128,7,"t0d",1.0995,72
"1",128,8,"t0d",1.0155,72
"1",128,9,"t0d",1.079,72
"1",128,10,"t0d",0.985,72
"1",128,11,"t0d",0.638,72
"1",128,12,"t0d",0.3935,72
"1",512,1,"t0d",1.594,72
"1",512,2,"t0d",1.5735,72
"1",512,3,"t0d",1.5755,72
"1",512,4,"t0d",1.6005,72
"1",512,5,"t0d",1.6085,72
"1",512,6,"t0d",1.584,72
"1",512,7,"t0d",1.586,72
"1",512,8,"t0d",1.578,72
"1",512,9,"t0d",1.5925,72
"1",512,10,"t0d",1.5625,72
"1",512,11,"t0d",1.583,72
"1",512,12,"t0d",1.5275,72
"2",0,1,"t0d",1.7005,72
"2",0,2,"t0d",1.666,72
"2",0,3,"t0d",1.6735,72
"2",0,4,"t0d",1.6875,72
"2",0,5,"t0d",1.663,72
"2",0,6,"t0d",1.6695,72
"2",0,7,"t0d",1.6725,72
"2",0,8,"t0d",1.702,72
"2",0,9,"t0d",1.6615,72
"2",0,10,"t0d",1.6645,72
"2",0,11,"t0d",1.687,72
"2",0,12,"t0d",1.6595,72
"2",1,1,"t0d",1.298,72
"2",1,2,"t0d",1.448,72
"2",1,3,"t0d",1.426,72
"2",1,4,"t0d",1.4135,72
"2",1,5,"t0d",1.4125,72
"2",1,6,"t0d",1.4655,72
"2",1,7,"t0d",1.4525,72
"2",1,8,"t0d",1.434,72
"2",1,9,"t0d",1.586,72
"2",1,10,"t0d",1.3115,72
"2",1,11,"t0d",1.295,72
"2",1,12,"t0d",1.3115,72
"2",128,1,"t0d",0.1285,72
"2",128,2,"t0d",0.249,72
"2",128,3,"t0d",0.255,72
"2",128,4,"t0d",0.158,72
"2",128,5,"t0d",0.1775,72
"2",128,6,"t0d",0.3595,72
"2",128,7,"t0d",0.271,72
"2",128,8,"t0d",0.192,72
"2",128,9,"t0d",0.571,72
"2",128,10,"t0d",0.127,72
"2",128,11,"t0d",0.0855,72
"2",128,12,"t0d",0.0775,72
"2",512,1,"t0d",1.3485,72
"2",512,2,"t0d",1.4895,72
"2",512,3,"t0d",1.48,72
"2",512,4,"t0d",1.461,72
"2",512,5,"t0d",1.5095,72
"2",512,6,"t0d",1.463,72
"2",512,7,"t0d",1.481,72
"2",512,8,"t0d",1.452,72
"2",512,9,"t0d",1.509,72
"2",512,10,"t0d",1.464,72
"2",512,11,"t0d",1.48,72
"2",512,12,"t0d",1.29,72
"3",0,1,"t0d",1.6855,72
"3",0,2,"t0d",1.6805,72
"3",0,3,"t0d",1.681,72
"3",0,4,"t0d",1.6835,72
"3",0,5,"t0d",1.691,72
"3",0,6,"t0d",1.674,72
"3",0,7,"t0d",1.675,72
"3",0,8,"t0d",1.686,72
"3",0,9,"t0d",1.679,72
"3",0,10,"t0d",1.663,72
"3",0,11,"t0d",1.702,72
"3",0,12,"t0d",1.6765,72
"3",1,1,"t0d",0.4855,72
"3",1,2,"t0d",0.539,72
"3",1,3,"t0d",1.147,72
"3",1,4,"t0d",1.4215,72
"3",1,5,"t0d",1.1425,72
"3",1,6,"t0d",1.3715,72
"3",1,7,"t0d",1.394,72
"3",1,8,"t0d",1.399,72
"3",1,9,"t0d",1.117,72
"3",1,10,"t0d",0.896,72
"3",1,11,"t0d",0.504,72
"3",1,12,"t0d",0.4885,72
"3",128,1,"t0d",0.493,72
"3",128,2,"t0d",0.711,72
"3",128,3,"t0d",1.147,72
"3",128,4,"t0d",1.36,72
"3",128,5,"t0d",1.116,72
"3",128,6,"t0d",1.336,72
"3",128,7,"t0d",1.359,72
"3",128,8,"t0d",1.353,72
"3",128,9,"t0d",1.244,72
"3",128,10,"t0d",1.049,72
"3",128,11,"t0d",0.6475,72
"3",128,12,"t0d",0.4075,72
"3",512,1,"t0d",1.386,72
"3",512,2,"t0d",1.44,72
"3",512,3,"t0d",1.4165,72
"3",512,4,"t0d",1.4115,72
"3",512,5,"t0d",1.4335,72
"3",512,6,"t0d",1.387,72
"3",512,7,"t0d",1.406,72
"3",512,8,"t0d",1.4115,72
"3",512,9,"t0d",1.4405,72
"3",512,10,"t0d",1.4125,72
"3",512,11,"t0d",1.463,72
"3",512,12,"t0d",1.295,72
"4",0,1,"t0d",1.689,72
"4",0,2,"t0d",1.6745,72
"4",0,3,"t0d",1.6825,72
"4",0,4,"t0d",1.6945,72
"4",0,5,"t0d",1.6755,72
"4",0,6,"t0d",1.681,72
"4",0,7,"t0d",1.685,72
"4",0,8,"t0d",1.707,72
"4",0,9,"t0d",1.675,72
"4",0,10,"t0d",1.6785,72
"4",0,11,"t0d",1.7235,72
"4",0,12,"t0d",1.683,72
"4",1,1,"t0d",0.987,72
"4",1,2,"t0d",0.953,72
"4",1,3,"t0d",1.263,72
"4",1,4,"t0d",1.18,72
"4",1,5,"t0d",1.076,72
"4",1,6,"t0d",0.9305,72
"4",1,7,"t0d",1.277,72
"4",1,8,"t0d",1.2325,72
"4",1,9,"t0d",1.283,72
"4",1,10,"t0d",1.088,72
"4",1,11,"t0d",0.921,72
"4",1,12,"t0d",1.1495,72
"4",128,1,"t0d",0.409,72
"4",128,2,"t0d",0.536,72
"4",128,3,"t0d",0.6735,72
"4",128,4,"t0d",0.637,72
"4",128,5,"t0d",0.8275,72
"4",128,6,"t0d",0.345,72
"4",128,7,"t0d",0.9025,72
"4",128,8,"t0d",0.697,72
"4",128,9,"t0d",1.1335,72
"4",128,10,"t0d",0.7095,72
"4",128,11,"t0d",0.5535,72
"4",128,12,"t0d",0.9825,72
"4",512,1,"t0d",1.56,72
"4",512,2,"t0d",1.438,72
"4",512,3,"t0d",1.444,72
"4",512,4,"t0d",1.591,72
"4",512,5,"t0d",1.525,72
"4",512,6,"t0d",1.439,72
