"line","enviro","rep","gen","data","time"
"1",0,1,"t0c",1.672,48
"1",0,2,"t0c",1.669,48
"1",0,3,"t0c",1.674,48
"1",0,4,"t0c",1.6795,48
"1",0,5,"t0c",1.6655,48
"1",0,6,"t0c",1.6675,48
"1",0,7,"t0c",1.6755,48
"1",0,8,"t0c",1.6845,48
"1",0,9,"t0c",1.66,48
"1",0,10,"t0c",1.6695,48
"1",0,11,"t0c",1.6765,48
"1",0,12,"t0c",1.664,48
"1",8,1,"t0c",0.163,48
"1",8,2,"t0c",0.141,48
"1",8,3,"t0c",0.114,48
"1",8,4,"t0c",0.174,48
"1",8,5,"t0c",0.131,48
"1",8,6,"t0c",0.1535,48
"1",8,7,"t0c",0.088,48
"1",8,8,"t0c",0.149,48
"1",8,9,"t0c",0.1835,48
"1",8,10,"t0c",0.166,48
"1",8,11,"t0c",0.096,48
"1",8,12,"t0c",0.166,48
"1",32,1,"t0c",0.068,48
"1",32,2,"t0c",0.0495,48
"1",32,3,"t0c",0.2315,48
"1",32,4,"t0c",0.053,48
"1",32,5,"t0c",0.0625,48
"1",32,6,"t0c",0.042,48
"1",32,7,"t0c",0.052,48
"1",32,8,"t0c",0.0985,48
"1",32,9,"t0c",0.0665,48
"1",32,10,"t0c",0.065,48
"1",32,11,"t0c",0.0365,48
"1",32,12,"t0c",0.071,48
"1",128,1,"t0c",0.107,48
"1",128,2,"t0c",0.0695,48
"1",128,3,"t0c",0.0845,48
"1",128,4,"t0c",0.1105,48
"1",128,5,"t0c",0.112,48
"1",128,6,"t0c",0.0935,48
"1",128,7,"t0c",0.0515,48
"1",128,8,"t0c",0.116,48
"1",128,9,"t0c",0.174,48
"1",128,10,"t0c",0.1315,48
"1",128,11,"t0c",0.0485,48
"1",128,12,"t0c",0.166,48
"2",0,1,"t0c",1.6525,48
"2",0,2,"t0c",1.658,48
"2",0,3,"t0c",1.6585,48
"2",0,4,"t0c",1.6645,48
"2",0,5,"t0c",1.6545,48
"2",0,6,"t0c",1.659,48
"2",0,7,"t0c",1.656,48
"2",0,8,"t0c",1.669,48
"2",0,9,"t0c",1.648,48
"2",0,10,"t0c",1.648,48
"2",0,11,"t0c",1.6685,48
"2",0,12,"t0c",1.646,48
"2",8,1,"t0c",0.0575,48
"2",8,2,"t0c",0.0485,48
"2",8,3,"t0c",0.048,48
"2",8,4,"t0c",0.045,48
"2",8,5,"t0c",0.0435,48
"2",8,6,"t0c",0.046,48
"2",8,7,"t0c",0.04,48
"2",8,8,"t0c",0.0405,48
"2",8,9,"t0c",0.041,48
"2",8,10,"t0c",0.042,48
"2",8,11,"t0c",0.047,48
"2",8,12,"t0c",0.0495,48
"2",32,1,"t0c",0.066,48
"2",32,2,"t0c",0.061,48
"2",32,3,"t0c",0.0385,48
"2",32,4,"t0c",0.0605,48
"2",32,5,"t0c",0.049,48
"2",32,6,"t0c",0.0465,48
"2",32,7,"t0c",0.0465,48
"2",32,8,"t0c",0.047,48
