"line","enviro","rep","gen","data","time"
"1",0,1,"t0c",1.6865,72
"1",0,2,"t0c",1.6795,72
"1",0,3,"t0c",1.685,72
"1",0,4,"t0c",1.69,72
"1",0,5,"t0c",1.671,72
"1",0,6,"t0c",1.676,72
"1",0,7,"t0c",1.687,72
"1",0,8,"t0c",1.6875,72
"1",0,9,"t0c",1.6655,72
"1",0,10,"t0c",1.671,72
"1",0,11,"t0c",1.6835,72
"1",0,12,"t0c",1.666,72
"1",8,1,"t0c",0.263,72
"1",8,2,"t0c",0.309,72
"1",8,3,"t0c",0.3085,72
"1",8,4,"t0c",0.396,72
"1",8,5,"t0c",0.317,72
"1",8,6,"t0c",0.3875,72
"1",8,7,"t0c",0.2735,72
"1",8,8,"t0c",0.349,72
"1",8,9,"t0c",0.361,72
"1",8,10,"t0c",0.3805,72
"1",8,11,"t0c",0.2825,72
"1",8,12,"t0c",0.2605,72
"1",32,1,"t0c",0.149,72
"1",32,2,"t0c",0.1405,72
"1",32,3,"t0c",0.1695,72
"1",32,4,"t0c",0.167,72
"1",32,5,"t0c",0.125,72
"1",32,6,"t0c",0.147,72
"1",32,7,"t0c",0.095,72
"1",32,8,"t0c",0.1515,72
"1",32,9,"t0c",0.163,72
"1",32,10,"t0c",0.1855,72
"1",32,11,"t0c",0.12,72
"1",32,12,"t0c",0.133,72
"1",128,1,"t0c",0.283,72
"1",128,2,"t0c",0.286,72
"1",128,3,"t0c",0.2795,72
"1",128,4,"t0c",0.375,72
"1",128,5,"t0c",0.3295,72
"1",128,6,"t0c",0.32,72
"1",128,7,"t0c",0.243,72
"1",128,8,"t0c",0.33,72
"1",128,9,"t0c",0.4015,72
"1",128,10,"t0c",0.3505,72
"1",128,11,"t0c",0.206,72
"1",128,12,"t0c",0.3205,72
"2",0,1,"t0c",1.6715,72
"2",0,2,"t0c",1.661,72
"2",0,3,"t0c",1.655,72
"2",0,4,"t0c",1.6605,72
"2",0,5,"t0c",1.6495,72
"2",0,6,"t0c",1.654,72
"2",0,7,"t0c",1.653,72
"2",0,8,"t0c",1.6735,72
"2",0,9,"t0c",1.648,72
"2",0,10,"t0c",1.6515,72
"2",0,11,"t0c",1.67,72
"2",0,12,"t0c",1.6585,72
"2",8,1,"t0c",0.0915,72
"2",8,2,"t0c",0.099,72
"2",8,3,"t0c",0.0865,72
"2",8,4,"t0c",0.078,72
"2",8,5,"t0c",0.0785,72
"2",8,6,"t0c",0.067,72
"2",8,7,"t0c",0.077,72
"2",8,8,"t0c",0.0695,72
"2",8,9,"t0c",0.0665,72
"2",8,10,"t0c",0.077,72
"2",8,11,"t0c",0.1055,72
"2",8,12,"t0c",0.0825,72
"2",32,1,"t0c",0.105,72
"2",32,2,"t0c",0.1075,72
"2",32,3,"t0c",0.0925,72
"2",32,4,"t0c",0.115,72
"2",32,5,"t0c",0.087,72
"2",32,6,"t0c",0.087,72
"2",32,7,"t0c",0.1,72
"2",32,8,"t0c",0.0845,72
"2",32,9,"t0c",0.0785,72
"2",32,10,"t0c",0.079,72
"2",32,11,"t0c",0.0905,72
"2",32,12,"t0c",0.079,72
"2",128,1,"t0c",0.0755,72
"2",128,2,"t0c",0.086,72
"2",128,3,"t0c",0.0755,72
"2",128,4,"t0c",0.0685,72
"2",128,5,"t0c",0.079,72
"2",128,6,"t0c",0.073,72
"2",128,7,"t0c",0.0855,72
"2",128,8,"t0c",0.064,72
"2",128,9,"t0c",0.0565,72
"2",128,10,"t0c",0.061,72
"2",128,11,"t0c",0.0675,72
"2",128,12,"t0c",0.0615,72
"3",0,1,"t0c",1.6845,72
"3",0,2,"t0c",1.679,72
"3",0,3,"t0c",1.6935,72
"3",0,4,"t0c",1.69,72
"3",0,5,"t0c",1.6745,72
"3",0,6,"t0c",1.6765,72
"3",0,7,"t0c",1.6855,72
"3",0,8,"t0c",1.6925,72
"3",0,9,"t0c",1.6645,72
"3",0,10,"t0c",1.66,72
"3",0,11,"t0c",1.682,72
"3",0,12,"t0c",1.6655,72
"3",8,1,"t0c",0.409,72
"3",8,2,"t0c",0.401,72
"3",8,3,"t0c",0.4325,72
"3",8,4,"t0c",0.405,72
"3",8,5,"t0c",0.2035,72
"3",8,6,"t0c",0.3675,72
"3",8,7,"t0c",0.1595,72
"3",8,8,"t0c",0.2625,72
"3",8,9,"t0c",0.2065,72
"3",8,10,"t0c",0.3295,72
"3",8,11,"t0c",0.2745,72
"3",8,12,"t0c",0.275,72
"3",32,1,"t0c",0.3625,72
"3",32,2,"t0c",0.165,72
"3",32,3,"t0c",0.251,72
"3",32,4,"t0c",0.3225,72
"3",32,5,"t0c",0.192,72
"3",32,6,"t0c",0.195,72
"3",32,7,"t0c",0.1895,72
"3",32,8,"t0c",0.225,72
"3",32,9,"t0c",0.1385,72
"3",32,10,"t0c",0.1785,72
"3",32,11,"t0c",0.035,72
"3",32,12,"t0c",0.099,72
"3",128,1,"t0c",0.458,72
"3",128,2,"t0c",0.445,72
"3",128,3,"t0c",0.423,72
"3",128,4,"t0c",0.4695,72
"3",128,5,"t0c",0.326,72
"3",128,6,"t0c",0.395,72
"3",128,7,"t0c",0.2835,72
"3",128,8,"t0c",0.211,72
"3",128,9,"t0c",0.2165,72
"3",128,10,"t0c",0.2505,72
"3",128,11,"t0c",0.1865,72
"3",128,12,"t0c",0.219,72
"4",0,1,"t0c",1.624,72
"4",0,2,"t0c",1.6785,72
"4",0,3,"t0c",1.6795,72
"4",0,4,"t0c",1.6865,72
"4",0,5,"t0c",1.669,72
