line,gen,enviro,Time,OD.24,OD.48,OD.72
A05,MA4_t0,8,24,1.763,1.937,
A05,MA4_t0,8,24,1.597,1.839,
A05,MA4_t0,8,24,1.618,1.829,
A05,MA4_t0,8,24,1.658,1.864,
A05,MA4_t0,8,24,1.631,1.851,
A05,MA4_t0,8,24,1.606,1.839,
A05,MA4_t0,8,24,1.586,1.848,
A05,MA4_t0,8,24,2.224,2.56,
A05,MA4_t0,8,24,1.577,1.831,
A05,MA4_t0,8,24,1.573,1.839,
A05,MA4_t0,8,24,1.599,1.845,
A05,MA4_t0,8,24,1.652,1.855,
A06,MA4_t0,8,24,0.367,0.596,
A06,MA4_t0,8,24,0.155,0.211,
A06,MA4_t0,8,24,0.306,0.487,
A06,MA4_t0,8,24,0.271,0.379,
A06,MA4_t0,8,24,0.208,0.306,
A06,MA4_t0,8,24,0.188,0.27,
A06,MA4_t0,8,24,0.214,0.415,
A06,MA4_t0,8,24,0.193,0.426,
A06,MA4_t0,8,24,0.277,0.359,
A06,MA4_t0,8,24,0.214,0.293,
A06,MA4_t0,8,24,0.18,0.262,
A06,MA4_t0,8,24,0.278,0.905,
A07,MA4_t0,8,24,0.103,0.234,
A07,MA4_t0,8,24,0.143,0.369,
A07,MA4_t0,8,24,0.126,0.307,
A07,MA4_t0,8,24,0.108,0.386,
A07,MA4_t0,8,24,0.18,1.406,
A07,MA4_t0,8,24,0.16,0.823,
A07,MA4_t0,8,24,0.15,0.398,
A07,MA4_t0,8,24,2.137,2.465,
A07,MA4_t0,8,24,0.166,0.45,
A07,MA4_t0,8,24,0.134,0.352,
A07,MA4_t0,8,24,0.137,0.364,
A07,MA4_t0,8,24,0.116,0.31,
A08,MA4_t0,8,24,0.383,1.585,
A08,MA4_t0,8,24,0.332,0.419,
A08,MA4_t0,8,24,0.243,0.279,
A08,MA4_t0,8,24,0.311,0.396,
A08,MA4_t0,8,24,0.339,0.471,
A08,MA4_t0,8,24,0.331,0.452,
A08,MA4_t0,8,24,0.13,0.204,
A08,MA4_t0,8,24,0.171,0.251,
A08,MA4_t0,8,24,0.482,1.936,
A08,MA4_t0,8,24,0.168,0.305,
A08,MA4_t0,8,24,0.368,0.514,
A08,MA4_t0,8,24,0.348,0.443,
A01,MA4_t0,128,24,0.701,1.259,
A01,MA4_t0,128,24,0.422,0.565,
A01,MA4_t0,128,24,0.256,0.301,
A01,MA4_t0,128,24,0.444,0.694,
A01,MA4_t0,128,24,0.468,0.642,
A01,MA4_t0,128,24,1.544,1.748,
A01,MA4_t0,128,24,0.16,0.181,
A01,MA4_t0,128,24,0.232,0.251,
A01,MA4_t0,128,24,0.102,0.214,
A01,MA4_t0,128,24,0.892,1.585,
A01,MA4_t0,128,24,0.568,0.881,
A01,MA4_t0,128,24,0.764,1.631,
A02,MA4_t0,128,24,0.078,0.25,
A02,MA4_t0,128,24,0.08,0.128,
A02,MA4_t0,128,24,0.107,0.275,
A02,MA4_t0,128,24,0.116,0.221,
A02,MA4_t0,128,24,0.154,0.326,
A02,MA4_t0,128,24,0.119,0.204,
A02,MA4_t0,128,24,0.095,0.299,
A02,MA4_t0,128,24,0.077,0.143,
A02,MA4_t0,128,24,0.102,0.158,
A02,MA4_t0,128,24,0.106,0.131,
A02,MA4_t0,128,24,0.095,0.152,
A02,MA4_t0,128,24,0.154,0.161,
A03,MA4_t0,128,24,0.332,0.407,
A03,MA4_t0,128,24,0.281,0.338,
A03,MA4_t0,128,24,0.247,0.296,
A03,MA4_t0,128,24,0.186,0.406,
A03,MA4_t0,128,24,0.235,0.276,
A03,MA4_t0,128,24,0.274,0.302,
A03,MA4_t0,128,24,0.304,0.336,
A03,MA4_t0,128,24,0.184,0.281,
A03,MA4_t0,128,24,0.251,0.305,
A03,MA4_t0,128,24,0.158,0.332,
A03,MA4_t0,128,24,0.249,0.301,
A03,MA4_t0,128,24,0.255,0.292,
A04,MA4_t0,128,24,0.398,0.802,
A04,MA4_t0,128,24,0.181,0.443,
A04,MA4_t0,128,24,0.234,0.427,
