"line","enviro","rep","gen","data","time"
"1",0,1,"t0b",1.676,48
"1",0,2,"t0b",1.677,48
"1",0,3,"t0b",1.6785,48
"1",0,4,"t0b",1.6905,48
"1",0,5,"t0b",1.691,48
"1",0,6,"t0b",1.684,48
"1",0,7,"t0b",1.6865,48
"1",0,8,"t0b",1.697,48
"1",0,9,"t0b",1.6865,48
"1",0,10,"t0b",1.677,48
"1",0,11,"t0b",1.6935,48
"1",0,12,"t0b",1.674,48
"1",32,1,"t0b",0.1535,48
"1",32,2,"t0b",0.1985,48
"1",32,3,"t0b",0.146,48
"1",32,4,"t0b",0.1815,48
"1",32,5,"t0b",0.1455,48
"1",32,6,"t0b",0.1695,48
"1",32,7,"t0b",0.18,48
"1",32,8,"t0b",0.159,48
"1",32,9,"t0b",0.1575,48
"1",32,10,"t0b",0.137,48
"1",32,11,"t0b",0.094,48
"1",32,12,"t0b",0.0805,48
"1",128,1,"t0b",0.234,48
"1",128,2,"t0b",0.2755,48
"1",128,3,"t0b",0.2215,48
"1",128,4,"t0b",0.266,48
"1",128,5,"t0b",0.2425,48
"1",128,6,"t0b",0.251,48
"1",128,7,"t0b",0.2305,48
"1",128,8,"t0b",0.2445,48
"1",128,9,"t0b",0.2665,48
"1",128,10,"t0b",0.222,48
"1",128,11,"t0b",0.147,48
"1",128,12,"t0b",0.146,48
"1",512,1,"t0b",0.383,48
"1",512,2,"t0b",0.3555,48
"1",512,3,"t0b",0.298,48
"1",512,4,"t0b",0.3825,48
"1",512,5,"t0b",0.3085,48
"1",512,6,"t0b",0.3325,48
"1",512,7,"t0b",0.2855,48
"1",512,8,"t0b",0.2785,48
"1",512,9,"t0b",0.2915,48
"1",512,10,"t0b",0.261,48
"1",512,11,"t0b",0.2165,48
"1",512,12,"t0b",0.165,48
"2",0,1,"t0b",1.6755,48
"2",0,2,"t0b",1.677,48
"2",0,3,"t0b",1.683,48
"2",0,4,"t0b",1.318,48
"2",0,5,"t0b",1.692,48
"2",0,6,"t0b",1.698,48
"2",0,7,"t0b",1.69,48
"2",0,8,"t0b",1.2175,48
"2",0,9,"t0b",1.686,48
"2",0,10,"t0b",1.6785,48
"2",0,11,"t0b",1.696,48
"2",0,12,"t0b",1.675,48
"2",32,1,"t0b",0.079,48
"2",32,2,"t0b",0.0475,48
"2",32,3,"t0b",0.0425,48
"2",32,4,"t0b",1.117,48
"2",32,5,"t0b",0.0395,48
"2",32,6,"t0b",0.0545,48
"2",32,7,"t0b",0.0365,48
"2",32,8,"t0b",1.016,48
"2",32,9,"t0b",0.0445,48
"2",32,10,"t0b",0.039,48
"2",32,11,"t0b",0.0455,48
"2",32,12,"t0b",0.0045,48
"2",128,1,"t0b",0.0875,48
"2",128,2,"t0b",0.0915,48
"2",128,3,"t0b",0.071,48
"2",128,4,"t0b",1.003,48
"2",128,5,"t0b",0.0645,48
"2",128,6,"t0b",0.0735,48
"2",128,7,"t0b",0.0595,48
"2",128,8,"t0b",0.91,48
"2",128,9,"t0b",0.073,48
"2",128,10,"t0b",0.081,48
"2",128,11,"t0b",0.07,48
"2",128,12,"t0b",0.047,48
"2",512,1,"t0b",0.1495,48
"2",512,2,"t0b",0.1405,48
"2",512,3,"t0b",0.1475,48
"2",512,4,"t0b",0.7175,48
"2",512,5,"t0b",0.1235,48
"2",512,6,"t0b",0.133,48
"2",512,7,"t0b",0.123,48
"2",512,8,"t0b",0.657,48
"2",512,9,"t0b",0.1265,48
"2",512,10,"t0b",0.112,48
"2",512,11,"t0b",0.1255,48
"2",512,12,"t0b",0.143,48
"3",0,1,"t0b",1.685,48
"3",0,2,"t0b",1.6765,48
"3",0,3,"t0b",1.6705,48
"3",0,4,"t0b",1.7025,48
"3",0,5,"t0b",1.693,48
"3",0,6,"t0b",1.697,48
"3",0,7,"t0b",1.6885,48
"3",0,8,"t0b",1.6975,48
"3",0,9,"t0b",1.6865,48
"3",0,10,"t0b",1.667,48
"3",0,11,"t0b",1.6965,48
"3",0,12,"t0b",1.6825,48
"3",32,1,"t0b",0.131,48
"3",32,2,"t0b",0.1015,48
"3",32,3,"t0b",0.117,48
"3",32,4,"t0b",0.107,48
"3",32,5,"t0b",0.0975,48
"3",32,6,"t0b",0.1115,48
"3",32,7,"t0b",0.122,48
"3",32,8,"t0b",0.1135,48
"3",32,9,"t0b",0.07,48
"3",32,10,"t0b",0.0855,48
"3",32,11,"t0b",0.094,48
"3",32,12,"t0b",0.1415,48
"3",128,1,"t0b",0.18,48
"3",128,2,"t0b",0.1625,48
"3",128,3,"t0b",0.161,48
"3",128,4,"t0b",0.1685,48
"3",128,5,"t0b",0.1565,48
"3",128,6,"t0b",0.1345,48
"3",128,7,"t0b",0.137,48
"3",128,8,"t0b",0.139,48
"3",128,9,"t0b",0.136,48
"3",128,10,"t0b",0.1155,48
"3",128,11,"t0b",0.1385,48
"3",128,12,"t0b",0.179,48
"3",512,1,"t0b",0.3165,48
"3",512,2,"t0b",0.2635,48
"3",512,3,"t0b",0.2335,48
"3",512,4,"t0b",0.2485,48
"3",512,5,"t0b",0.267,48
"3",512,6,"t0b",0.2835,48
"3",512,7,"t0b",0.2945,48
"3",512,8,"t0b",0.275,48
"3",512,9,"t0b",0.256,48
"3",512,10,"t0b",0.2645,48
"3",512,11,"t0b",0.2905,48
"3",512,12,"t0b",0.3055,48
"4",0,1,"t0b",1.6855,48
"4",0,2,"t0b",1.4005,48
"4",0,3,"t0b",1.688,48
"4",0,4,"t0b",1.6945,48
"4",0,5,"t0b",1.372,48
"4",0,6,"t0b",1.6845,48
"4",0,7,"t0b",1.6645,48
"4",0,8,"t0b",1.6965,48
"4",0,9,"t0b",1.664,48
"4",0,10,"t0b",1.6605,48
"4",0,11,"t0b",1.337,48
"4",0,12,"t0b",1.669,48
"4",32,1,"t0b",0.032,48
"4",32,2,"t0b",1.0995,48
"4",32,3,"t0b",0.069,48
"4",32,4,"t0b",0.061,48
"4",32,5,"t0b",1.046,48
"4",32,6,"t0b",0.073,48
"4",32,7,"t0b",0.0365,48
"4",32,8,"t0b",0.035,48
"4",32,9,"t0b",0.0485,48
"4",32,10,"t0b",0.059,48
"4",32,11,"t0b",1.022,48
"4",32,12,"t0b",0.054,48
"4",128,1,"t0b",0.066,48
"4",128,2,"t0b",1.0235,48
"4",128,3,"t0b",0.095,48
"4",128,4,"t0b",0.0705,48
"4",128,5,"t0b",0.977,48
"4",128,6,"t0b",0.0605,48
"4",128,7,"t0b",0.057,48
"4",128,8,"t0b",0.019,48
"4",128,9,"t0b",0.0975,48
"4",128,10,"t0b",0.0655,48
"4",128,11,"t0b",0.8895,48
"4",128,12,"t0b",0.0815,48
"4",512,1,"t0b",0.174,48
"4",512,2,"t0b",0.7695,48
"4",512,3,"t0b",0.1795,48
"4",512,4,"t0b",0.195,48
"4",512,5,"t0b",0.7105,48
"4",512,6,"t0b",0.169,48
"4",512,7,"t0b",0.1145,48
"4",512,8,"t0b",0.1085,48
"4",512,9,"t0b",0.2845,48
"4",512,10,"t0b",0.174,48
"4",512,11,"t0b",0.6095,48
"4",512,12,"t0b",0.2085,48
"5",0,1,"t0b",1.6515,48
"5",0,2,"t0b",1.644,48
"5",0,3,"t0b",1.651,48
"5",0,4,"t0b",1.664,48
"5",0,5,"t0b",1.6335,48
"5",0,6,"t0b",1.6365,48
"5",0,7,"t0b",1.632,48
"5",0,8,"t0b",1.4355,48
"5",0,9,"t0b",1.6165,48
"5",0,10,"t0b",1.6245,48
"5",0,11,"t0b",1.6565,48
"5",0,12,"t0b",1.63,48
"5",32,1,"t0b",1.454,48
"5",32,2,"t0b",1.466,48
"5",32,3,"t0b",1.464,48
"5",32,4,"t0b",1.4745,48
"5",32,5,"t0b",1.464,48
"5",32,6,"t0b",1.4215,48
"5",32,7,"t0b",1.4195,48
"5",32,8,"t0b",1.1525,48
"5",32,9,"t0b",1.451,48
"5",32,10,"t0b",1.441,48
"5",32,11,"t0b",1.451,48
"5",32,12,"t0b",1.4605,48
"5",128,1,"t0b",1.476,48
"5",128,2,"t0b",1.456,48
"5",128,3,"t0b",1.4595,48
"5",128,4,"t0b",1.467,48
"5",128,5,"t0b",1.483,48
"5",128,6,"t0b",1.445,48
"5",128,7,"t0b",1.4345,48
"5",128,8,"t0b",1.23,48
"5",128,9,"t0b",1.476,48
"5",128,10,"t0b",1.4615,48
"5",128,11,"t0b",1.4665,48
"5",128,12,"t0b",1.4625,48
"5",512,1,"t0b",1.395,48
"5",512,2,"t0b",1.411,48
"5",512,3,"t0b",1.443,48
"5",512,4,"t0b",1.418,48
"5",512,5,"t0b",1.422,48
"5",512,6,"t0b",1.3605,48
"5",512,7,"t0b",1.3805,48
"5",512,8,"t0b",1.268,48
"5",512,9,"t0b",1.372,48
"5",512,10,"t0b",1.339,48
"5",512,11,"t0b",1.334,48
"5",512,12,"t0b",1.363,48
"6",0,1,"t0b",1.725,48
"6",0,2,"t0b",1.7045,48
"6",0,3,"t0b",1.71,48
"6",0,4,"t0b",1.723,48
"6",0,5,"t0b",1.7085,48
"6",0,6,"t0b",1.7065,48
"6",0,7,"t0b",1.491,48
"6",0,8,"t0b",1.713,48
"6",0,9,"t0b",1.691,48
"6",0,10,"t0b",1.6705,48
"6",0,11,"t0b",1.7025,48
"6",0,12,"t0b",1.6685,48
"6",32,1,"t0b",0.1345,48
"6",32,2,"t0b",0.155,48
"6",32,3,"t0b",0.1725,48
"6",32,4,"t0b",0.128,48
"6",32,5,"t0b",0.165,48
"6",32,6,"t0b",0.1325,48
"6",32,7,"t0b",0.9025,48
"6",32,8,"t0b",0.142,48
"6",32,9,"t0b",0.1425,48
"6",32,10,"t0b",0.1295,48
"6",32,11,"t0b",0.1515,48
"6",32,12,"t0b",0.155,48
"6",128,1,"t0b",0.1735,48
"6",128,2,"t0b",0.2465,48
"6",128,3,"t0b",0.235,48
"6",128,4,"t0b",0.178,48
"6",128,5,"t0b",0.2145,48
"6",128,6,"t0b",0.183,48
"6",128,7,"t0b",0.6475,48
"6",128,8,"t0b",0.2295,48
"6",128,9,"t0b",0.1775,48
"6",128,10,"t0b",0.1715,48
"6",128,11,"t0b",0.184,48
"6",128,12,"t0b",0.2055,48
"6",512,1,"t0b",0.2545,48
"6",512,2,"t0b",0.306,48
"6",512,3,"t0b",0.3155,48
"6",512,4,"t0b",0.2635,48
"6",512,5,"t0b",0.269,48
"6",512,6,"t0b",0.254,48
"6",512,7,"t0b",0.4665,48
"6",512,8,"t0b",0.262,48
"6",512,9,"t0b",0.2575,48
"6",512,10,"t0b",0.2665,48
"6",512,11,"t0b",0.2925,48
"6",512,12,"t0b",0.2895,48
"7",0,1,"t0b",1.6235,48
"7",0,2,"t0b",1.6115,48
"7",0,3,"t0b",1.657,48
"7",0,4,"t0b",1.664,48
"7",0,5,"t0b",1.656,48
"7",0,6,"t0b",1.6575,48
"7",0,7,"t0b",1.645,48
"7",0,8,"t0b",1.678,48
"7",0,9,"t0b",1.654,48
"7",0,10,"t0b",1.6315,48
"7",0,11,"t0b",1.6555,48
"7",0,12,"t0b",1.641,48
"7",32,1,"t0b",0.1385,48
"7",32,2,"t0b",0.2195,48
"7",32,3,"t0b",0.215,48
"7",32,4,"t0b",0.298,48
"7",32,5,"t0b",0.146,48
"7",32,6,"t0b",0.279,48
"7",32,7,"t0b",0.1585,48
"7",32,8,"t0b",0.147,48
"7",32,9,"t0b",0.201,48
"7",32,10,"t0b",0.193,48
"7",32,11,"t0b",0.231,48
"7",32,12,"t0b",0.189,48
"7",128,1,"t0b",0.1965,48
"7",128,2,"t0b",0.2685,48
"7",128,3,"t0b",0.2835,48
"7",128,4,"t0b",0.306,48
"7",128,5,"t0b",0.149,48
"7",128,6,"t0b",0.463,48
"7",128,7,"t0b",0.113,48
"7",128,8,"t0b",0.1335,48
"7",128,9,"t0b",0.268,48
"7",128,10,"t0b",0.33,48
"7",128,11,"t0b",0.176,48
"7",128,12,"t0b",0.212,48
"7",512,1,"t0b",0.1465,48
"7",512,2,"t0b",0.1435,48
"7",512,3,"t0b",0.14,48
"7",512,4,"t0b",0.1315,48
"7",512,5,"t0b",0.1155,48
"7",512,6,"t0b",0.141,48
"7",512,7,"t0b",0.1255,48
"7",512,8,"t0b",0.1115,48
"7",512,9,"t0b",0.151,48
"7",512,10,"t0b",0.146,48
"7",512,11,"t0b",0.126,48
"7",512,12,"t0b",0.1225,48
"8",0,1,"t0b",1.672,48
"8",0,2,"t0b",1.216,48
"8",0,3,"t0b",1.5745,48
"8",0,4,"t0b",1.6745,48
"8",0,5,"t0b",1.362,48
"8",0,6,"t0b",1.646,48
"8",0,7,"t0b",1.6455,48
"8",0,8,"t0b",1.6665,48
"8",0,9,"t0b",1.641,48
"8",0,10,"t0b",1.642,48
"8",0,11,"t0b",1.671,48
"8",0,12,"t0b",1.633,48
"8",32,1,"t0b",0.174,48
"8",32,2,"t0b",1.0715,48
"8",32,3,"t0b",0.2235,48
"8",32,4,"t0b",0.1765,48
"8",32,5,"t0b",0.9435,48
"8",32,6,"t0b",0.1545,48
"8",32,7,"t0b",0.1495,48
"8",32,8,"t0b",0.0635,48
"8",32,9,"t0b",0.1115,48
"8",32,10,"t0b",0.188,48
"8",32,11,"t0b",0.068,48
"8",32,12,"t0b",0.2015,48
"8",128,1,"t0b",0.269,48
"8",128,2,"t0b",0.892,48
"8",128,3,"t0b",0.53,48
"8",128,4,"t0b",0.1945,48
"8",128,5,"t0b",0.805,48
"8",128,6,"t0b",0.2195,48
"8",128,7,"t0b",0.202,48
"8",128,8,"t0b",0.1915,48
"8",128,9,"t0b",0.166,48
"8",128,10,"t0b",0.1605,48
"8",128,11,"t0b",0.148,48
"8",128,12,"t0b",0.134,48
"8",512,1,"t0b",0.2645,48
"8",512,2,"t0b",0.2745,48
"8",512,3,"t0b",0.214,48
"8",512,4,"t0b",0.1795,48
"8",512,5,"t0b",0.2215,48
"8",512,6,"t0b",0.2845,48
"8",512,7,"t0b",0.246,48
"8",512,8,"t0b",0.288,48
"8",512,9,"t0b",0.3375,48
"8",512,10,"t0b",0.2785,48
"8",512,11,"t0b",0.254,48
"8",512,12,"t0b",0.3495,48
"9",0,1,"t0b",1.674,48
"9",0,2,"t0b",1.6725,48
"9",0,3,"t0b",1.666,48
"9",0,4,"t0b",1.687,48
"9",0,5,"t0b",1.673,48
"9",0,6,"t0b",1.6585,48
"9",0,7,"t0b",1.662,48
"9",0,8,"t0b",1.654,48
"9",0,9,"t0b",1.6775,48
"9",0,10,"t0b",1.6685,48
"9",0,11,"t0b",1.7005,48
"9",0,12,"t0b",1.688,48
"9",32,1,"t0b",0.107,48
"9",32,2,"t0b",0.1045,48
"9",32,3,"t0b",0.1045,48
"9",32,4,"t0b",0.101,48
"9",32,5,"t0b",0.1215,48
"9",32,6,"t0b",0.1445,48
"9",32,7,"t0b",0.1015,48
"9",32,8,"t0b",0.188,48
"9",32,9,"t0b",0.151,48
"9",32,10,"t0b",0.122,48
"9",32,11,"t0b",0.1,48
"9",32,12,"t0b",0.103,48
"9",128,1,"t0b",0.171,48
"9",128,2,"t0b",0.1945,48
"9",128,3,"t0b",0.2115,48
"9",128,4,"t0b",0.2305,48
"9",128,5,"t0b",0.201,48
"9",128,6,"t0b",0.228,48
"9",128,7,"t0b",0.213,48
"9",128,8,"t0b",0.254,48
"9",128,9,"t0b",0.22,48
"9",128,10,"t0b",0.2075,48
"9",128,11,"t0b",0.1775,48
"9",128,12,"t0b",0.198,48
"9",512,1,"t0b",0.4,48
"9",512,2,"t0b",0.383,48
"9",512,3,"t0b",0.4365,48
"9",512,4,"t0b",0.398,48
"9",512,5,"t0b",0.4295,48
"9",512,6,"t0b",0.385,48
"9",512,7,"t0b",0.457,48
"9",512,8,"t0b",0.4195,48
"9",512,9,"t0b",0.3615,48
"9",512,10,"t0b",0.3775,48
"9",512,11,"t0b",0.353,48
"9",512,12,"t0b",0.4125,48
"10",0,1,"t0b",1.6305,48
"10",0,2,"t0b",1.62,48
"10",0,3,"t0b",1.626,48
"10",0,4,"t0b",1.64,48
"10",0,5,"t0b",1.6225,48
"10",0,6,"t0b",1.613,48
"10",0,7,"t0b",1.6075,48
"10",0,8,"t0b",1.635,48
"10",0,9,"t0b",1.6235,48
"10",0,10,"t0b",1.612,48
"10",0,11,"t0b",1.642,48
"10",0,12,"t0b",1.6365,48
"10",32,1,"t0b",1.1465,48
"10",32,2,"t0b",1.1195,48
"10",32,3,"t0b",1.064,48
"10",32,4,"t0b",1.1245,48
"10",32,5,"t0b",1.0105,48
"10",32,6,"t0b",1.1575,48
"10",32,7,"t0b",0.782,48
"10",32,8,"t0b",0.9375,48
"10",32,9,"t0b",1.0815,48
"10",32,10,"t0b",1.092,48
"10",32,11,"t0b",0.9835,48
"10",32,12,"t0b",1.0745,48
"10",128,1,"t0b",1.2775,48
"10",128,2,"t0b",1.266,48
"10",128,3,"t0b",1.2475,48
"10",128,4,"t0b",1.2715,48
"10",128,5,"t0b",1.2065,48
"10",128,6,"t0b",1.282,48
"10",128,7,"t0b",1.157,48
"10",128,8,"t0b",1.1545,48
"10",128,9,"t0b",1.246,48
"10",128,10,"t0b",1.252,48
"10",128,11,"t0b",1.1505,48
"10",128,12,"t0b",1.183,48
"10",512,1,"t0b",1.2365,48
"10",512,2,"t0b",1.2355,48
"10",512,3,"t0b",1.1885,48
"10",512,4,"t0b",1.1995,48
"10",512,5,"t0b",1.1495,48
"10",512,6,"t0b",1.217,48
"10",512,7,"t0b",1.0885,48
"10",512,8,"t0b",1.13,48
"10",512,9,"t0b",1.161,48
"10",512,10,"t0b",1.155,48
"10",512,11,"t0b",1.0205,48
"10",512,12,"t0b",1.127,48
"11",0,1,"t0b",1.6585,48
"11",0,2,"t0b",1.6555,48
"11",0,3,"t0b",1.6475,48
"11",0,4,"t0b",1.6635,48
"11",0,5,"t0b",1.641,48
"11",0,6,"t0b",1.6405,48
"11",0,7,"t0b",1.6505,48
"11",0,8,"t0b",1.6845,48
"11",0,9,"t0b",1.646,48
"11",0,10,"t0b",1.638,48
"11",0,11,"t0b",1.2055,48
"11",0,12,"t0b",1.6465,48
"11",32,1,"t0b",0.4635,48
"11",32,2,"t0b",0.403,48
"11",32,3,"t0b",0.5065,48
"11",32,4,"t0b",0.4685,48
"11",32,5,"t0b",0.3815,48
"11",32,6,"t0b",0.346,48
"11",32,7,"t0b",0.334,48
"11",32,8,"t0b",0.2965,48
"11",32,9,"t0b",0.4685,48
"11",32,10,"t0b",0.425,48
"11",32,11,"t0b",0.9345,48
"11",32,12,"t0b",0.471,48
"11",128,1,"t0b",0.4275,48
"11",128,2,"t0b",0.406,48
"11",128,3,"t0b",0.4715,48
"11",128,4,"t0b",0.4575,48
"11",128,5,"t0b",0.339,48
"11",128,6,"t0b",0.341,48
"11",128,7,"t0b",0.3585,48
"11",128,8,"t0b",0.332,48
"11",128,9,"t0b",0.463,48
"11",128,10,"t0b",0.3455,48
"11",128,11,"t0b",0.7975,48
"11",128,12,"t0b",0.52,48
"11",512,1,"t0b",0.384,48
"11",512,2,"t0b",0.361,48
"11",512,3,"t0b",0.358,48
"11",512,4,"t0b",0.367,48
"11",512,5,"t0b",0.3005,48
"11",512,6,"t0b",0.305,48
"11",512,7,"t0b",0.2955,48
"11",512,8,"t0b",0.3155,48
"11",512,9,"t0b",0.3625,48
"11",512,10,"t0b",0.309,48
"11",512,11,"t0b",0.355,48
"11",512,12,"t0b",0.365,48
"12",0,1,"t0b",1.5645,48
"12",0,2,"t0b",1.5815,48
"12",0,3,"t0b",1.5855,48
"12",0,4,"t0b",1.5955,48
"12",0,5,"t0b",1.5875,48
"12",0,6,"t0b",1.576,48
"12",0,7,"t0b",1.5755,48
"12",0,8,"t0b",1.054,48
"12",0,9,"t0b",1.584,48
"12",0,10,"t0b",1.561,48
"12",0,11,"t0b",1.581,48
"12",0,12,"t0b",1.571,48
"12",32,1,"t0b",1.5665,48
"12",32,2,"t0b",1.578,48
"12",32,3,"t0b",1.5825,48
"12",32,4,"t0b",1.5945,48
"12",32,5,"t0b",1.5785,48
"12",32,6,"t0b",1.573,48
"12",32,7,"t0b",1.5655,48
"12",32,8,"t0b",1.044,48
"12",32,9,"t0b",1.564,48
"12",32,10,"t0b",1.575,48
"12",32,11,"t0b",1.558,48
"12",32,12,"t0b",1.582,48
"12",128,1,"t0b",0.3955,48
"12",128,2,"t0b",0.4325,48
"12",128,3,"t0b",0.4715,48
"12",128,4,"t0b",0.4635,48
"12",128,5,"t0b",0.447,48
"12",128,6,"t0b",0.397,48
"12",128,7,"t0b",0.5695,48
"12",128,8,"t0b",0.818,48
"12",128,9,"t0b",0.394,48
"12",128,10,"t0b",0.35,48
"12",128,11,"t0b",0.356,48
"12",128,12,"t0b",0.358,48
"12",512,1,"t0b",0.3895,48
"12",512,2,"t0b",0.375,48
"12",512,3,"t0b",0.425,48
"12",512,4,"t0b",0.346,48
"12",512,5,"t0b",0.3375,48
"12",512,6,"t0b",0.3655,48
"12",512,7,"t0b",0.336,48
"12",512,8,"t0b",0.3385,48
"12",512,9,"t0b",0.376,48
"12",512,10,"t0b",0.358,48
"12",512,11,"t0b",0.382,48
"12",512,12,"t0b",0.3,48
"13",0,1,"t0b",1.6415,48
"13",0,2,"t0b",1.6115,48
"13",0,3,"t0b",1.6055,48
"13",0,4,"t0b",1.6525,48
"13",0,5,"t0b",1.615,48
"13",0,6,"t0b",1.6125,48
"13",0,7,"t0b",1.625,48
"13",0,8,"t0b",1.646,48
"13",0,9,"t0b",1.613,48
"13",0,10,"t0b",1.617,48
"13",0,11,"t0b",1.625,48
"13",0,12,"t0b",1.6045,48
"13",32,1,"t0b",0.0595,48
"13",32,2,"t0b",0.0585,48
"13",32,3,"t0b",0.127,48
"13",32,4,"t0b",0.1105,48
"13",32,5,"t0b",0.1175,48
"13",32,6,"t0b",0.0925,48
"13",32,7,"t0b",0.13,48
"13",32,8,"t0b",0.072,48
"13",32,9,"t0b",0.1295,48
"13",32,10,"t0b",0.0875,48
"13",32,11,"t0b",0.079,48
"13",32,12,"t0b",0.053,48
"13",128,1,"t0b",0.104,48
"13",128,2,"t0b",0.1105,48
"13",128,3,"t0b",0.123,48
"13",128,4,"t0b",0.12,48
"13",128,5,"t0b",0.1215,48
"13",128,6,"t0b",0.0925,48
"13",128,7,"t0b",0.1215,48
"13",128,8,"t0b",0.1095,48
"13",128,9,"t0b",0.0995,48
"13",128,10,"t0b",0.0895,48
"13",128,11,"t0b",0.075,48
"13",128,12,"t0b",0.0635,48
"13",512,1,"t0b",0.165,48
"13",512,2,"t0b",0.14,48
"13",512,3,"t0b",0.1765,48
"13",512,4,"t0b",0.1425,48
"13",512,5,"t0b",0.148,48
"13",512,6,"t0b",0.162,48
"13",512,7,"t0b",0.1505,48
"13",512,8,"t0b",0.1645,48
"13",512,9,"t0b",0.1355,48
"13",512,10,"t0b",0.129,48
"13",512,11,"t0b",0.1705,48
"13",512,12,"t0b",0.179,48
"14",0,1,"t0b",1.649,48
"14",0,2,"t0b",1.6455,48
"14",0,3,"t0b",1.6445,48
"14",0,4,"t0b",1.656,48
"14",0,5,"t0b",1.6505,48
"14",0,6,"t0b",1.6285,48
"14",0,7,"t0b",1.633,48
"14",0,8,"t0b",1.651,48
"14",0,9,"t0b",1.6285,48
"14",0,10,"t0b",1.621,48
"14",0,11,"t0b",1.647,48
"14",0,12,"t0b",1.634,48
"14",32,1,"t0b",0.4075,48
"14",32,2,"t0b",0.4405,48
"14",32,3,"t0b",0.373,48
"14",32,4,"t0b",0.315,48
"14",32,5,"t0b",0.198,48
"14",32,6,"t0b",0.4645,48
"14",32,7,"t0b",0.31,48
"14",32,8,"t0b",0.489,48
"14",32,9,"t0b",0.4015,48
"14",32,10,"t0b",0.5385,48
"14",32,11,"t0b",0.7485,48
"14",32,12,"t0b",0.3795,48
"14",128,1,"t0b",0.8935,48
"14",128,2,"t0b",1.009,48
"14",128,3,"t0b",0.9815,48
"14",128,4,"t0b",0.8185,48
"14",128,5,"t0b",0.5815,48
"14",128,6,"t0b",0.9995,48
"14",128,7,"t0b",0.8845,48
"14",128,8,"t0b",0.884,48
"14",128,9,"t0b",0.767,48
"14",128,10,"t0b",0.77,48
"14",128,11,"t0b",0.758,48
"14",128,12,"t0b",0.6785,48
"14",512,1,"t0b",0.796,48
"14",512,2,"t0b",0.7,48
"14",512,3,"t0b",0.682,48
"14",512,4,"t0b",0.6965,48
"14",512,5,"t0b",0.6365,48
"14",512,6,"t0b",0.7205,48
"14",512,7,"t0b",0.771,48
"14",512,8,"t0b",0.897,48
"14",512,9,"t0b",0.729,48
"14",512,10,"t0b",0.7045,48
"14",512,11,"t0b",0.7055,48
"14",512,12,"t0b",0.681,48
"15",0,1,"t0b",1.683,48
"15",0,2,"t0b",1.649,48
"15",0,3,"t0b",1.676,48
"15",0,4,"t0b",1.693,48
"15",0,5,"t0b",1.699,48
"15",0,6,"t0b",1.687,48
"15",0,7,"t0b",1.687,48
"15",0,8,"t0b",1.699,48
"15",0,9,"t0b",1.6905,48
"15",0,10,"t0b",1.6825,48
"15",0,11,"t0b",1.692,48
"15",0,12,"t0b",1.672,48
"15",32,1,"t0b",0.492,48
"15",32,2,"t0b",0.5065,48
"15",32,3,"t0b",0.4105,48
"15",32,4,"t0b",0.3425,48
"15",32,5,"t0b",0.349,48
"15",32,6,"t0b",0.338,48
"15",32,7,"t0b",0.522,48
"15",32,8,"t0b",0.3665,48
"15",32,9,"t0b",0.3695,48
"15",32,10,"t0b",0.556,48
"15",32,11,"t0b",0.443,48
"15",32,12,"t0b",0.2775,48
"15",128,1,"t0b",0.827,48
"15",128,2,"t0b",0.7355,48
"15",128,3,"t0b",0.756,48
"15",128,4,"t0b",0.6115,48
"15",128,5,"t0b",0.754,48
"15",128,6,"t0b",0.575,48
"15",128,7,"t0b",0.871,48
"15",128,8,"t0b",0.6615,48
"15",128,9,"t0b",0.6645,48
"15",128,10,"t0b",0.9365,48
"15",128,11,"t0b",0.725,48
"15",128,12,"t0b",0.414,48
"15",512,1,"t0b",0.934,48
"15",512,2,"t0b",0.937,48
"15",512,3,"t0b",0.873,48
"15",512,4,"t0b",0.762,48
"15",512,5,"t0b",0.78,48
"15",512,6,"t0b",0.768,48
"15",512,7,"t0b",0.925,48
