"line","enviro","col","gen","data"
1,0,1,"t0",1.6
1,0,2,"t0",1.579
1,0,3,"t0",1.581
1,0,4,"t0",1.568
1,0,5,"t0",1.505
1,0,6,"t0",1.429
1,0,7,"t0",1.456
1,0,8,"t0",1.442
1,0,9,"t0",1.482
1,0,10,"t0",1.423
1,0,11,"t0",1.473
1,0,12,"t0",1.502
1,1,1,"t0",1.624
1,1,2,"t0",1.572
1,1,3,"t0",1.584
1,1,4,"t0",1.585
1,1,5,"t0",1.537
1,1,6,"t0",1.52
1,1,7,"t0",1.524
1,1,8,"t0",1.532
1,1,9,"t0",1.504
1,1,10,"t0",1.515
1,1,11,"t0",1.509
1,1,12,"t0",1.542
1,0.5,1,"t0",1.587
1,0.5,2,"t0",1.576
1,0.5,3,"t0",1.592
1,0.5,4,"t0",1.548
1,0.5,5,"t0",1.503
1,0.5,6,"t0",1.442
1,0.5,7,"t0",1.486
1,0.5,8,"t0",1.436
1,0.5,9,"t0",1.452
1,0.5,10,"t0",1.43
1,0.5,11,"t0",1.502
1,0.5,12,"t0",1.475
1,4,1,"t0",1.253
1,4,2,"t0",1.234
1,4,3,"t0",1.238
1,4,4,"t0",1.081
1,4,5,"t0",0.952
1,4,6,"t0",1.041
1,4,7,"t0",0.921
1,4,8,"t0",0.851
1,4,9,"t0",0.737
1,4,10,"t0",0.916
1,4,11,"t0",0.798
1,4,12,"t0",0.88
2,0,1,"t0",1.605
2,0,2,"t0",1.539
2,0,3,"t0",1.531
2,0,4,"t0",1.586
2,0,5,"t0",1.521
2,0,6,"t0",1.537
2,0,7,"t0",1.526
2,0,8,"t0",1.579
2,0,9,"t0",1.495
2,0,10,"t0",1.499
2,0,11,"t0",1.546
2,0,12,"t0",1.545
2,1,1,"t0",1.593
2,1,2,"t0",1.563
2,1,3,"t0",1.555
2,1,4,"t0",1.596
2,1,5,"t0",1.558
2,1,6,"t0",1.578
2,1,7,"t0",1.558
2,1,8,"t0",1.58
2,1,9,"t0",1.559
2,1,10,"t0",1.552
2,1,11,"t0",1.577
2,1,12,"t0",1.529
2,0.5,1,"t0",1.538
2,0.5,2,"t0",1.503
2,0.5,3,"t0",1.5
2,0.5,4,"t0",1.523
2,0.5,5,"t0",1.496
2,0.5,6,"t0",1.511
2,0.5,7,"t0",1.492
2,0.5,8,"t0",1.482
2,0.5,9,"t0",1.475
2,0.5,10,"t0",1.446
2,0.5,11,"t0",1.474
2,0.5,12,"t0",1.4
2,4,1,"t0",0.194
2,4,2,"t0",0.194
2,4,3,"t0",0.15
2,4,4,"t0",0.149
2,4,5,"t0",0.144
2,4,6,"t0",0.172
2,4,7,"t0",0.122
2,4,8,"t0",0.112
2,4,9,"t0",0.126
2,4,10,"t0",0.118
2,4,11,"t0",0.108
2,4,12,"t0",0.096
3,0,1,"t0",1.551
3,0,2,"t0",1.464
3,0,3,"t0",1.486
3,0,4,"t0",1.54
3,0,5,"t0",1.495
3,0,6,"t0",1.488
3,0,7,"t0",1.466
3,0,8,"t0",1.558
3,0,9,"t0",1.489
3,0,10,"t0",1.467
3,0,11,"t0",1.499
3,0,12,"t0",1.488
3,1,1,"t0",0.813
3,1,2,"t0",0.584
3,1,3,"t0",0.751
3,1,4,"t0",0.694
3,1,5,"t0",0.571
3,1,6,"t0",0.684
3,1,7,"t0",0.609
3,1,8,"t0",0.791
3,1,9,"t0",0.791
3,1,10,"t0",0.664
3,1,11,"t0",0.67
3,1,12,"t0",0.444
3,0.5,1,"t0",0.522
3,0.5,2,"t0",0.323
3,0.5,3,"t0",0.438
3,0.5,4,"t0",0.399
3,0.5,5,"t0",0.326
3,0.5,6,"t0",0.349
3,0.5,7,"t0",0.307
3,0.5,8,"t0",0.433
3,0.5,9,"t0",0.474
3,0.5,10,"t0",0.349
3,0.5,11,"t0",0.268
3,0.5,12,"t0",0.201
3,4,1,"t0",0.143
3,4,2,"t0",0.09
3,4,3,"t0",0.112
3,4,4,"t0",0.095
3,4,5,"t0",0.095
3,4,6,"t0",0.101
3,4,7,"t0",0.086
3,4,8,"t0",0.115
3,4,9,"t0",0.128
3,4,10,"t0",0.107
3,4,11,"t0",0.096
3,4,12,"t0",0.079
4,0,1,"t0",1.549
4,0,2,"t0",1.532
4,0,3,"t0",1.523
4,0,4,"t0",1.546
4,0,5,"t0",1.37
4,0,6,"t0",1.502
4,0,7,"t0",1.497
4,0,8,"t0",1.505
4,0,9,"t0",1.506
4,0,10,"t0",1.455
4,0,11,"t0",1.526
4,0,12,"t0",1.485
4,1,1,"t0",1.555
4,1,2,"t0",1.56
4,1,3,"t0",1.538
4,1,4,"t0",1.538
4,1,5,"t0",1.376
4,1,6,"t0",1.537
4,1,7,"t0",1.527
4,1,8,"t0",1.547
4,1,9,"t0",1.516
4,1,10,"t0",1.496
4,1,11,"t0",1.538
4,1,12,"t0",1.56
4,0.5,1,"t0",1.394
4,0.5,2,"t0",1.434
4,0.5,3,"t0",1.383
4,0.5,4,"t0",1.334
4,0.5,5,"t0",0.695
4,0.5,6,"t0",1.269
4,0.5,7,"t0",1.144
4,0.5,8,"t0",1.094
4,0.5,9,"t0",1.287
4,0.5,10,"t0",1.277
4,0.5,11,"t0",1.288
4,0.5,12,"t0",1.137
4,4,1,"t0",0.127
4,4,2,"t0",0.188
4,4,3,"t0",0.15
4,4,4,"t0",0.124
4,4,5,"t0",0.071
4,4,6,"t0",0.137
4,4,7,"t0",0.138
4,4,8,"t0",0.128
4,4,9,"t0",0.146
4,4,10,"t0",0.109
4,4,11,"t0",0.107
4,4,12,"t0",0.126
5,0,1,"t0",1.548
5,0,2,"t0",1.494
5,0,3,"t0",1.477
5,0,4,"t0",1.575
5,0,5,"t0",1.507
5,0,6,"t0",1.487
5,0,7,"t0",1.517
5,0,8,"t0",1.563
5,0,9,"t0",1.43
5,0,10,"t0",1.457
5,0,11,"t0",1.458
5,0,12,"t0",1.543
5,1,1,"t0",1.554
5,1,2,"t0",1.461
5,1,3,"t0",1.484
5,1,4,"t0",1.572
5,1,5,"t0",1.49
5,1,6,"t0",1.487
5,1,7,"t0",1.542
5,1,8,"t0",1.544
5,1,9,"t0",1.456
5,1,10,"t0",1.47
5,1,11,"t0",1.472
5,1,12,"t0",1.544
5,0.5,1,"t0",1.511
5,0.5,2,"t0",1.446
5,0.5,3,"t0",1.459
5,0.5,4,"t0",1.51
5,0.5,5,"t0",1.444
5,0.5,6,"t0",1.444
5,0.5,7,"t0",1.509
5,0.5,8,"t0",1.468
5,0.5,9,"t0",1.358
5,0.5,10,"t0",1.403
5,0.5,11,"t0",1.427
5,0.5,12,"t0",1.503
5,4,1,"t0",0.89
5,4,2,"t0",0.735
5,4,3,"t0",0.799
5,4,4,"t0",0.888
5,4,5,"t0",0.635
5,4,6,"t0",0.591
5,4,7,"t0",0.797
5,4,8,"t0",0.646
5,4,9,"t0",0.526
5,4,10,"t0",0.533
5,4,11,"t0",0.557
5,4,12,"t0",0.703
6,0,1,"t0",1.514
6,0,2,"t0",1.473
6,0,3,"t0",1.492
6,0,4,"t0",1.546
6,0,5,"t0",1.446
6,0,6,"t0",1.496
6,0,7,"t0",1.476
6,0,8,"t0",1.519
6,0,9,"t0",1.442
6,0,10,"t0",1.421
6,0,11,"t0",1.431
6,0,12,"t0",1.476
6,1,1,"t0",1.536
6,1,2,"t0",1.478
6,1,3,"t0",1.528
6,1,4,"t0",1.553
6,1,5,"t0",1.471
6,1,6,"t0",1.521
6,1,7,"t0",1.519
6,1,8,"t0",1.523
6,1,9,"t0",1.481
6,1,10,"t0",1.469
6,1,11,"t0",1.462
6,1,12,"t0",1.498
6,0.5,1,"t0",1.483
6,0.5,2,"t0",1.44
6,0.5,3,"t0",1.487
6,0.5,4,"t0",1.483
6,0.5,5,"t0",1.345
6,0.5,6,"t0",1.454
6,0.5,7,"t0",1.423
6,0.5,8,"t0",1.388
6,0.5,9,"t0",1.359
6,0.5,10,"t0",1.333
6,0.5,11,"t0",1.379
6,0.5,12,"t0",1.313
6,4,1,"t0",0.225
6,4,2,"t0",0.22
6,4,3,"t0",0.26
6,4,4,"t0",0.228
6,4,5,"t0",0.167
6,4,6,"t0",0.182
6,4,7,"t0",0.171
6,4,8,"t0",0.163
6,4,9,"t0",0.151
6,4,10,"t0",0.135
6,4,11,"t0",0.15
6,4,12,"t0",0.134
7,0,1,"t0",1.592
7,0,2,"t0",1.532
7,0,3,"t0",1.504
7,0,4,"t0",1.607
7,0,5,"t0",1.499
7,0,6,"t0",1.481
7,0,7,"t0",1.513
7,0,8,"t0",1.536
7,0,9,"t0",1.487
7,0,10,"t0",1.484
7,0,11,"t0",1.515
7,0,12,"t0",1.49
7,1,1,"t0",1.622
7,1,2,"t0",1.553
7,1,3,"t0",1.533
7,1,4,"t0",1.62
7,1,5,"t0",1.518
7,1,6,"t0",1.519
7,1,7,"t0",1.536
7,1,8,"t0",1.541
7,1,9,"t0",1.514
7,1,10,"t0",1.513
7,1,11,"t0",1.527
7,1,12,"t0",1.459
7,0.5,1,"t0",1.531
7,0.5,2,"t0",1.498
7,0.5,3,"t0",1.489
7,0.5,4,"t0",1.53
7,0.5,5,"t0",1.486
7,0.5,6,"t0",1.469
7,0.5,7,"t0",1.505
7,0.5,8,"t0",1.419
7,0.5,9,"t0",1.4
7,0.5,10,"t0",1.404
7,0.5,11,"t0",1.433
7,0.5,12,"t0",1.178
7,4,1,"t0",0.243
7,4,2,"t0",0.186
7,4,3,"t0",0.174
7,4,4,"t0",0.273
7,4,5,"t0",0.167
7,4,6,"t0",0.117
7,4,7,"t0",0.154
7,4,8,"t0",0.099
7,4,9,"t0",0.129
7,4,10,"t0",0.158
7,4,11,"t0",0.108
7,4,12,"t0",0.094
8,0,1,"t0",1.635
8,0,2,"t0",1.6
8,0,3,"t0",1.591
8,0,4,"t0",1.648
8,0,5,"t0",1.595
8,0,6,"t0",1.596
8,0,7,"t0",1.531
8,0,8,"t0",1.636
8,0,9,"t0",1.564
8,0,10,"t0",1.574
8,0,11,"t0",1.581
8,0,12,"t0",1.576
8,1,1,"t0",1.638
8,1,2,"t0",1.587
8,1,3,"t0",1.607
8,1,4,"t0",1.658
8,1,5,"t0",1.619
8,1,6,"t0",1.634
8,1,7,"t0",1.562
8,1,8,"t0",1.655
8,1,9,"t0",1.592
8,1,10,"t0",1.603
8,1,11,"t0",1.616
8,1,12,"t0",1.607
8,0.5,1,"t0",1.511
8,0.5,2,"t0",1.469
8,0.5,3,"t0",1.438
8,0.5,4,"t0",1.521
8,0.5,5,"t0",1.492
8,0.5,6,"t0",1.505
8,0.5,7,"t0",1.354
8,0.5,8,"t0",1.473
8,0.5,9,"t0",1.431
8,0.5,10,"t0",1.453
8,0.5,11,"t0",1.478
8,0.5,12,"t0",1.238
8,4,1,"t0",0.154
8,4,2,"t0",0.127
8,4,3,"t0",0.133
8,4,4,"t0",0.157
8,4,5,"t0",0.15
8,4,6,"t0",0.142
8,4,7,"t0",0.082
8,4,8,"t0",0.138
8,4,9,"t0",0.096
8,4,10,"t0",0.114
8,4,11,"t0",0.091
8,4,12,"t0",0.081
9,0,1,"t0",1.454
9,0,2,"t0",1.032
9,0,3,"t0",0.897
9,0,4,"t0",1.27
9,0,5,"t0",0.977
9,0,6,"t0",1.195
9,0,7,"t0",0.978
9,0,8,"t0",0.922
9,0,9,"t0",1.172
9,0,10,"t0",1.003
9,0,11,"t0",0.694
9,0,12,"t0",0.764
9,1,1,"t0",0.574
9,1,2,"t0",0.276
9,1,3,"t0",0.228
9,1,4,"t0",0.37
9,1,5,"t0",0.28
9,1,6,"t0",0.297
9,1,7,"t0",0.229
9,1,8,"t0",0.272
9,1,9,"t0",0.345
9,1,10,"t0",0.283
9,1,11,"t0",0.142
9,1,12,"t0",0.162
9,4,1,"t0",0.079
9,4,2,"t0",0.069
9,4,3,"t0",0.06
9,4,4,"t0",0.06
9,4,5,"t0",0.063
9,4,6,"t0",0.062
9,4,7,"t0",0.061
9,4,8,"t0",0.076
9,4,9,"t0",0.074
9,4,10,"t0",0.062
9,4,11,"t0",0.057
9,4,12,"t0",0.054
9,1,1,"t0",0.358
9,1,2,"t0",0.192
9,1,3,"t0",0.172
9,1,4,"t0",0.243
9,1,5,"t0",0.167
9,1,6,"t0",0.219
9,1,7,"t0",0.176
9,1,8,"t0",0.189
9,1,9,"t0",0.235
9,1,10,"t0",0.217
9,1,11,"t0",0.107
9,1,12,"t0",0.155
10,0,1,"t0",1.476
10,0,2,"t0",1.371
10,0,3,"t0",1.404
10,0,4,"t0",1.436
10,0,5,"t0",1.331
10,0,6,"t0",1.264
10,0,7,"t0",1.249
10,0,8,"t0",1.006
10,0,9,"t0",0.869
10,0,10,"t0",0.856
10,0,11,"t0",0.663
10,0,12,"t0",1.033
10,1,1,"t0",0.613
10,1,2,"t0",0.396
10,1,3,"t0",0.504
10,1,4,"t0",0.464
10,1,5,"t0",0.36
10,1,6,"t0",0.361
10,1,7,"t0",0.302
10,1,8,"t0",0.213
10,1,9,"t0",0.181
10,1,10,"t0",0.24
10,1,11,"t0",0.19
10,1,12,"t0",0.304
