"line","enviro","col","gen","data"
1,0,1,"t0",1.861
1,0,2,"t0",1.866
1,0,3,"t0",1.864
1,0,4,"t0",1.857
1,0,5,"t0",1.861
1,0,6,"t0",1.859
1,0,7,"t0",1.848
1,0,8,"t0",1.855
1,0,9,"t0",1.851
1,0,10,"t0",1.809
1,0,11,"t0",1.819
1,0,12,"t0",1.785
1,1,1,"t0",1.845
1,1,2,"t0",1.855
1,1,3,"t0",1.866
1,1,4,"t0",1.851
1,1,5,"t0",1.87
1,1,6,"t0",1.874
1,1,7,"t0",1.851
1,1,8,"t0",1.85
1,1,9,"t0",1.86
1,1,10,"t0",1.815
1,1,11,"t0",1.841
1,1,12,"t0",1.812
1,8,1,"t0",0.309
1,8,2,"t0",0.297
1,8,3,"t0",0.3
1,8,4,"t0",0.324
1,8,5,"t0",0.31
1,8,6,"t0",0.331
1,8,7,"t0",0.316
1,8,8,"t0",0.289
1,8,9,"t0",0.361
1,8,10,"t0",0.367
1,8,11,"t0",0.358
1,8,12,"t0",0.288
1,32,1,"t0",0.24
1,32,2,"t0",0.239
1,32,3,"t0",0.252
1,32,4,"t0",0.257
1,32,5,"t0",0.207
1,32,6,"t0",0.245
1,32,7,"t0",0.173
1,32,8,"t0",0.197
1,32,9,"t0",0.276
1,32,10,"t0",0.301
1,32,11,"t0",0.309
1,32,12,"t0",0.289
2,0,1,"t0",1.911
2,0,2,"t0",1.89
2,0,3,"t0",1.88
2,0,4,"t0",1.871
2,0,5,"t0",1.868
2,0,6,"t0",1.863
2,0,7,"t0",1.845
2,0,8,"t0",1.854
2,0,9,"t0",1.844
2,0,10,"t0",1.826
2,0,11,"t0",1.696
2,0,12,"t0",1.516
2,1,1,"t0",1.745
2,1,2,"t0",1.624
2,1,3,"t0",1.624
2,1,4,"t0",1.59
2,1,5,"t0",1.613
2,1,6,"t0",1.478
2,1,7,"t0",1.469
2,1,8,"t0",1.604
2,1,9,"t0",1.205
2,1,10,"t0",0.996
2,1,11,"t0",1.156
2,1,12,"t0",1.17
2,8,1,"t0",0.147
2,8,2,"t0",0.186
2,8,3,"t0",0.191
2,8,4,"t0",0.179
2,8,5,"t0",0.167
2,8,6,"t0",0.185
2,8,7,"t0",0.15
2,8,8,"t0",0.17
2,8,9,"t0",0.192
2,8,10,"t0",0.174
2,8,11,"t0",0.183
2,8,12,"t0",0.198
2,32,1,"t0",0.15
2,32,2,"t0",0.162
2,32,3,"t0",0.175
2,32,4,"t0",0.145
2,32,5,"t0",0.144
2,32,6,"t0",0.132
2,32,7,"t0",0.127
2,32,8,"t0",0.141
2,32,9,"t0",0.173
2,32,10,"t0",0.164
2,32,11,"t0",0.171
2,32,12,"t0",0.208
3,0,1,"t0",1.903
3,0,2,"t0",1.906
3,0,3,"t0",1.889
3,0,4,"t0",1.872
3,0,5,"t0",1.879
3,0,6,"t0",1.872
3,0,7,"t0",1.85
3,0,8,"t0",1.845
3,0,9,"t0",1.834
3,0,10,"t0",1.77
3,0,11,"t0",1.757
3,0,12,"t0",1.614
3,1,1,"t0",0.25
3,1,2,"t0",0.21
3,1,3,"t0",0.225
3,1,4,"t0",0.204
3,1,5,"t0",0.251
3,1,6,"t0",0.247
3,1,7,"t0",0.179
3,1,8,"t0",0.2
3,1,9,"t0",0.216
3,1,10,"t0",0.232
3,1,11,"t0",0.263
3,1,12,"t0",0.176
3,8,1,"t0",0.288
3,8,2,"t0",0.228
3,8,3,"t0",0.183
3,8,4,"t0",0.198
3,8,5,"t0",0.179
3,8,6,"t0",0.206
3,8,7,"t0",0.163
3,8,8,"t0",0.187
3,8,9,"t0",0.204
3,8,10,"t0",0.138
3,8,11,"t0",0.148
3,8,12,"t0",0.193
3,32,1,"t0",0.272
3,32,2,"t0",0.237
3,32,3,"t0",0.193
3,32,4,"t0",0.23
3,32,5,"t0",0.201
3,32,6,"t0",0.173
3,32,7,"t0",0.165
3,32,8,"t0",0.181
3,32,9,"t0",0.159
3,32,10,"t0",0.142
3,32,11,"t0",0.214
3,32,12,"t0",0.184
4,0,1,"t0",1.922
4,0,2,"t0",1.896
4,0,3,"t0",1.897
4,0,4,"t0",1.884
4,0,5,"t0",1.892
4,0,6,"t0",1.866
4,0,7,"t0",1.834
4,0,8,"t0",1.821
4,0,9,"t0",1.804
4,0,10,"t0",1.708
4,0,11,"t0",1.751
4,0,12,"t0",1.578
4,1,1,"t0",0.267
4,1,2,"t0",0.245
4,1,3,"t0",0.259
4,1,4,"t0",0.182
4,1,5,"t0",0.202
4,1,6,"t0",0.144
4,1,7,"t0",0.15
4,1,8,"t0",0.21
4,1,9,"t0",0.221
4,1,10,"t0",0.151
4,1,11,"t0",0.173
4,1,12,"t0",0.155
4,8,1,"t0",0.166
4,8,2,"t0",0.151
4,8,3,"t0",0.155
4,8,4,"t0",0.132
4,8,5,"t0",0.131
4,8,6,"t0",0.131
4,8,7,"t0",0.136
4,8,8,"t0",0.134
4,8,9,"t0",0.175
4,8,10,"t0",0.144
4,8,11,"t0",0.144
4,8,12,"t0",0.144
4,32,1,"t0",0.138
4,32,2,"t0",0.148
4,32,3,"t0",0.13
4,32,4,"t0",0.139
4,32,5,"t0",0.128
4,32,6,"t0",0.131
4,32,7,"t0",0.128
4,32,8,"t0",0.126
4,32,9,"t0",0.132
4,32,10,"t0",0.132
4,32,11,"t0",0.131
4,32,12,"t0",0.133
5,0,1,"t0",1.897
5,0,2,"t0",1.884
5,0,3,"t0",1.877
5,0,4,"t0",1.876
5,0,5,"t0",1.857
5,0,6,"t0",1.846
5,0,7,"t0",1.838
5,0,8,"t0",1.834
5,0,9,"t0",1.811
5,0,10,"t0",1.658
5,0,11,"t0",1.756
5,0,12,"t0",1.738
5,1,1,"t0",1.846
5,1,2,"t0",1.792
5,1,3,"t0",1.76
5,1,4,"t0",1.788
5,1,5,"t0",1.752
5,1,6,"t0",1.741
5,1,7,"t0",1.767
5,1,8,"t0",1.711
5,1,9,"t0",1.719
5,1,10,"t0",1.579
5,1,11,"t0",1.492
5,1,12,"t0",1.71
5,8,1,"t0",1.664
5,8,2,"t0",1.624
5,8,3,"t0",1.593
5,8,4,"t0",1.581
5,8,5,"t0",1.552
5,8,6,"t0",1.483
5,8,7,"t0",1.47
5,8,8,"t0",1.477
5,8,9,"t0",1.462
5,8,10,"t0",1.326
5,8,11,"t0",1.418
5,8,12,"t0",1.402
5,32,1,"t0",1.605
5,32,2,"t0",1.587
5,32,3,"t0",1.512
5,32,4,"t0",1.532
5,32,5,"t0",1.489
5,32,6,"t0",1.487
5,32,7,"t0",1.3
5,32,8,"t0",1.45
5,32,9,"t0",1.369
5,32,10,"t0",1.433
5,32,11,"t0",1.503
5,32,12,"t0",1.579
6,0,1,"t0",1.893
6,0,2,"t0",1.855
6,0,3,"t0",1.844
6,0,4,"t0",1.898
6,0,5,"t0",1.852
6,0,6,"t0",1.852
6,0,7,"t0",1.849
6,0,8,"t0",1.866
