strain,rep,enviro,anc.1.72,evol.1.72,MIC24,MIC48,MIC72,MIC24.10,MIC48.10,MIC72.10,SMG24,SMG48,SMG72,SMG24.10,SMG48.10,SMG72.10,tabMIC10
17,7,1,0.640125,1.41,0.25,0.000125,0.000125,1,1,1,0.045718876,0.103299031,0.191720608,0.117533471,0.081175792,0.157752699,1
17,8,1,0.573375,1.6015,0.25,0.000125,0.000125,1,1,1,0.048130239,0.088415089,0.175931147,0.154047976,0.070087706,0.111459129,1
17,9,1,0.596625,1.70525,0.25,0.000125,0.000125,1,1,1,0.047418987,0.096479831,0.187288647,0.163559942,0.075750469,0.129961686,1
17,10,1,0.51425,1.22275,0.25,0.000125,0.000125,1,1,1,0.044212245,0.091414679,0.203704261,0.180125523,0.113860611,0.211051982,1
17,11,1,0.489,1.36,0.25,0.000125,0.000125,1,1,1,0.040584949,0.079551159,0.182550733,0.08596326,0.050825111,0.078684077,1
17,12,1,0.48325,1.41025,0.25,0.000125,0.000125,1,1,1,0.046562352,0.095692631,0.185589325,0.062758906,0.032856408,0.054513228,1
18,1,1,1.71975,1.77575,4,4,512,4,4,512,0.113813123,0.509363296,0.714157438,0.06254064,0.49359164,0.72804029,>1
18,2,1,1.726,1.764,4,4,512,4,4,512,0.110284801,0.452920859,0.670618247,0.051112408,0.443398576,0.632806285,>1
18,3,1,1.732625,1.75425,4,4,512,4,8,512,0.121081201,0.507231146,0.694943148,0.090598291,0.576767828,0.751692553,>1
18,4,1,1.747875,1.7535,4,4,512,4,8,512,0.108572355,0.480686055,0.671269488,0.120917264,0.60617451,0.767784629,>1
18,5,1,1.73475,1.7765,4,4,512,4,8,512,0.096488331,0.479283089,0.746431067,0.07246909,0.482214229,0.718718568,>1
18,6,1,1.727625,1.76,4,4,512,4,4,512,0.111885405,0.468320802,0.671535748,0.053946725,0.420279061,0.668857356,>1
18,7,1,1.722375,1.75475,4,4,512,4,4,8,0.110134836,0.474082995,0.718745332,0.059479783,0.3355188,0.48574107,>1
18,8,1,1.751875,1.75625,4,4,512,4,4,512,0.132612967,0.508454465,0.678298585,0.092724845,0.502553424,0.700589313,>1
18,9,1,1.73125,1.774,4,4,512,4,4,512,0.115858669,0.493285046,0.725121572,0.055555556,0.453689872,0.70989044,>1
18,10,1,1.719625,1.7565,4,4,512,4,4,8,0.123992216,0.542427443,0.779751154,0.044602369,0.365079365,0.56563987,>1
18,11,1,1.727125,1.7695,4,4,512,4,4,8,0.131911532,0.529063402,0.766139461,0.047788134,0.387859014,0.619906381,>1
18,12,1,1.705375,1.734,4,4,512,4,4,512,0.125769423,0.49369885,0.698659815,0.041254433,0.384293819,0.635760929,>1
19,1,1,1.367625,1.70025,0.25,1,1,4,4,4,0.119852695,0.264650891,0.404845104,0.044301075,0.158366636,0.310132647,>1
19,2,1,1.4345,1.781,0.25,1,1,4,4,4,0.140140374,0.315584225,0.483460859,0.039748131,0.224353256,0.404533136,>1
19,3,1,1.4495,1.7795,0.25,1,1,1,4,4,0.119633774,0.290658454,0.425717228,0.124052518,0.400187126,0.618908742,1
19,4,1,1.33075,1.81075,0.25,1,1,1,1,1,0.134053874,0.284454212,0.4351629,0.128400435,0.266463325,0.454472611,1
19,5,1,1.239625,1.7795,0.25,1,1,1,1,4,0.103767821,0.23611844,0.403154016,0.17872807,0.292325403,0.480131698,1
19,6,1,1.35225,1.6995,0.25,1,1,1,1,4,0.119338336,0.267080745,0.410431175,0.131046788,0.247803299,0.428187869,1
19,7,1,1.334875,1.816,0.25,1,1,1,1,1,0.120481513,0.274601994,0.392925089,0.108945742,0.094225935,0.159793437,1
19,8,1,1.452125,1.972,0.25,1,1,8,8,8,0.052447552,0.212382904,0.326529119,0.004058214,0.005186722,0.005377754,>1
19,9,1,1.328625,1.697,0.25,1,1,8,32,512,0.130727944,0.302517027,0.424022596,0.025607354,0.613291634,0.763671572,>1
19,10,1,1.43975,1.7275,0.25,1,1,1,1,512,0.123209751,0.302297999,0.458314757,0.105473856,0.373296487,0.585558069,1
19,11,1,1.248875,1.78975,0.25,1,1,1,1,4,0.117098976,0.240487375,0.412465171,0.126375,0.20021978,0.401719365,1
19,12,1,1.268875,1.6525,0.25,1,1,1,4,4,0.12289767,0.228760671,0.385282407,0.087920937,0.281726847,0.467283494,1
20,1,1,1.65475,1.7545,4,4,4,1,1,4,0.067092652,0.274255309,0.525806775,0.092491243,0.248695393,0.403367605,1
20,2,1,1.659125,1.72575,4,4,4,1,1,512,0.069375069,0.222338988,0.41209649,0.066817667,0.294258016,0.602349244,1
20,3,1,1.64825,1.73675,4,4,4,1,1,512,0.065968704,0.240975853,0.48447174,0.105790161,0.432413119,0.763385471,1
20,4,1,1.689875,1.7585,4,4,4,1,1,512,0.063185583,0.179620548,0.371126341,0.090996723,0.372825925,0.650750595,1
20,5,1,1.659375,1.7415,4,4,4,1,1,1,0.060155939,0.211394303,0.390220757,0.080037665,0.186038618,0.329746551,1
20,6,1,1.664375,1.716,4,4,4,1,1,1,0.068029568,0.202099342,0.372038153,0.057917002,0.305405405,0.630410364,1
20,7,1,1.66375,1.75825,4,4,4,1,1,1,0.069609211,0.213742381,0.414942355,0.06569746,0.180313199,0.28718425,1
20,8,1,1.663625,1.76175,4,4,4,1,1,512,0.07576279,0.255197453,0.463412214,0.10072402,0.402088579,0.708277999,1
20,9,1,1.628125,1.76175,4,4,4,1,1,1,0.070673442,0.242232278,0.425114224,0.079310732,0.188498643,0.374755676,1
20,10,1,1.64975,1.747,4,4,4,1,1,4,0.065667255,0.245330514,0.442682374,0.082252747,0.152315161,0.287462687,1
20,11,1,1.650625,1.7075,4,4,4,1,1,1,0.061681772,0.214844524,0.360571457,0.051180536,0.227641369,0.519929966,1
20,12,1,1.640125,1.7115,4,4,4,1,1,1,0.062322775,0.176616915,0.350956926,0.061322497,0.21500678,0.442400301,1
