"name","MIC24","MIC48","MIC72","MIC24.10","MIC48.10","MIC72.10","SMG24","SMG48","SMG72","SMG24.10","SMG48.10","SMG72.10","SMG24.2","SMG48.2","SMG72.2","SMG24.10.2","SMG48.10.2","SMG72.10.2","line","rep","change24","change48","change72"
"2_1",1,1,1,1,1,1,0.0986,0.138,0.1621,0.0803,0.1397,0.19735,0.0617794486215539,0.0805957074025405,0.0942852988221608,0.083104786545925,0.0822974963181149,0.115291368482547,"2","1",0,0,0
"2_2",1,1,1,1,1,1,0.08265,0.126,0.14975,0.067,0.0941,0.13215,0.0532796132151491,0.0747552654998517,0.0884916531245383,0.115219260533104,0.057404300747293,0.0783691623424759,"2","2",0,0,0
"2_3",1,1,1,1,1,1,0.08555,0.12285,0.1387,0.068,0.08115,0.10065,0.0552648578811369,0.0725742135578201,0.0816122388937923,0.0624282763369291,0.0480106493122319,0.0588682555929229,"2","3",0,0,0
"2_4",1,1,1,1,1,1,0.09385,0.27515,0.3304,0.06025,0.066,0.0711,0.0596915248847194,0.161948204826368,0.193669402110199,0.0480271024312475,0.0381282495667244,0.0408092983211365,"2","4",0,0,0
"2_5",1,1,1,1,1,1,0.09125,0.1247,0.1384,0.05815,0.0775,0.10615,0.0603405521573814,0.0736888757571281,0.0813639035861258,0.0654473832301632,0.0470623956277516,0.0638112413585813,"2","5",0,0,0
"2_6",1,1,1,1,1,1,0.08855,0.1265,0.1389,0.0688,0.08225,0.0864,0.0570829975825947,0.074664305740003,0.0816338524831031,0.109860279441118,0.0499772140361537,0.0517830386574768,"2","6",0,0,0
"2_7",1,1,1,4,1,1,0.0833,0.11805,0.1427,0.0245625,0.0468125,0.082375,0.0541788617886179,0.0696562914884201,0.0838795003673769,0.070480631276901,0.0287678598863113,0.0499545178896301,"2","7",3,0,0
"2_8",1,1,1,1,1,1,0.07005,0.23705,0.3076,0.08195,0.15805,0.21435,0.0447246608140463,0.138564956890253,0.178448150833938,0.10452806122449,0.0937147939519715,0.126665681784606,"2","8",0,0,0
"2_9",1,1,1,1,1,1,0.07255,0.10645,0.1263,0.0703,0.08695,0.0953,0.0471869918699187,0.0628951255539143,0.0745902849549683,0.0810374639769453,0.0529214850882532,0.0578627808136005,"2","9",0,0,0
"2_10",1,1,1,1,1,1,0.0813,0.11665,0.1328,0.03825,0.0419,0.04825,0.0550533265617065,0.069249035322054,0.0786496890731418,0.182577565632458,0.027399051822789,0.0291717049576784,"2","10",0,0,0
"2_11",1,1,1,1,1,1,0.05945,0.0983,0.1292,0.0433,0.0552,0.07425,0.0406079234972678,0.0579599056603774,0.075412228221217,0.0804832713754647,0.0333182435491172,0.0442688925324191,"2","11",0,0,0
"2_12",1,1,1,1,1,1,0.0596,0.0919,0.12465,0.04925,0.0993,0.1576,0.0399865816839987,0.0550711610486891,0.0749211119459053,0.0634664948453608,0.0611453201970443,0.0950542822677925,"2","12",0,0,0
"3_1",0.000125,0.000125,0.000125,1,512,512,0.150964285714286,0.289607142857143,0.463071428571429,0.56285,1.1175,1.243,0.0967564721770779,0.169286653723304,0.27096046142272,0.404346264367816,0.641411967283685,0.737904422677352,"3","1",0.999875,511.999875,511.999875
"3_2",0.000125,0.000125,0.000125,0.5,512,512,0.114142857142857,0.227535714285714,0.386392857142857,0.560416666666667,1.05295833333333,1.17479166666667,0.0770584689572031,0.133530348759222,0.226424176468126,0.430758390981296,0.614597013473418,0.696482387233832,"3","2",0.499875,511.999875,511.999875
"3_3",0.000125,0.000125,0.000125,8,512,512,0.125642857142857,0.265392857142857,0.451714285714286,0.666166666666667,1.2995,1.43525,0.0833037342236746,0.155450494738824,0.263505489697702,0.492362650899236,0.771903771903772,0.847255017709563,"3","3",7.999875,511.999875,511.999875
"3_4",0.000125,0.000125,0.000125,0.5,4,512,0.157,0.295357142857143,0.435892857142857,0.263208333333333,0.756,1.19741666666667,0.10135571336346,0.170874829538411,0.25207046820463,0.227001581141297,0.479695431472081,0.695970163712099,"3","4",0.499875,3.999875,511.999875
"3_5",0.000125,0.000125,0.000125,4,128,512,0.124214285714286,0.24825,0.400571428571429,0.1845625,0.907875,1.178625,0.082630491078853,0.144900043776448,0.234457962289393,0.189100922131148,0.539919714540589,0.702712773885825,"3","5",3.999875,127.999875,511.999875
"3_6",0.000125,0.000125,0.000125,1,512,512,0.119392857142857,0.270607142857143,0.45225,0.2541,0.9408,1.13045,0.0801563324221934,0.158807008718981,0.264435024119281,0.216531742650192,0.558669833729216,0.6750970438937,"3","6",0.999875,511.999875,511.999875
"3_7",0.000125,0.000125,0.000125,4,1,512,0.128714285714286,0.252928571428571,0.380071428571429,0.2425,0.829125,1.0488125,0.0894625791237433,0.148934827869025,0.222948484277125,0.219755323969189,0.488582793164408,0.625783114558472,"3","7",3.999875,0.999875,511.999875
"3_8",0.000125,0.000125,0.000125,1,512,512,0.146178571428571,0.291607142857143,0.410107142857143,0.5366,1.219,1.34865,0.0962334242452741,0.170033319450229,0.238088326767572,0.415405457712406,0.710476468016902,0.793090267568362,"3","8",0.999875,511.999875,511.999875
"3_9",0.000125,0.000125,0.000125,1,512,512,0.128571428571429,0.256035714285714,0.402714285714286,0.41175,1.107,1.28375,0.0900360144057623,0.150299802926747,0.237274582833575,0.313296556971657,0.669387755102041,0.775796948179483,"3","9",0.999875,511.999875,511.999875
"3_10",0.000125,0.000125,0.000125,0.5,1,512,0.128071428571429,0.220964285714286,0.359035714285714,0.47425,0.943833333333333,1.11620833333333,0.0903342821875708,0.130574256589916,0.212478599961955,0.345160116448326,0.557903551549185,0.66708999452164,"3","10",0.499875,0.999875,511.999875
"3_11",0.000125,0.000125,0.000125,1,1,512,0.0970357142857143,0.196,0.317535714285714,0.3397,0.86655,1.1289,0.0689663925271601,0.113821138211382,0.184399369503899,0.318220140515223,0.512069729649874,0.657675502475969,"3","11",0.999875,0.999875,511.999875
"3_12",0.000125,0.000125,0.000125,4,1,512,0.0851785714285714,0.192928571428571,0.312785714285714,0.167375,0.84175,1.172375,0.0599743505921996,0.114684839606819,0.186988919017016,0.231741086881274,0.505403782647853,0.701600837821664,"3","12",3.999875,0.999875,511.999875
"4_1",0.5,0.5,0.5,1,1,4,0.0937916666666667,0.185833333333333,0.380166666666667,0.13275,0.481,0.7427,0.0660504694835681,0.108515815085158,0.222157292427563,0.156961276973101,0.292890850966662,0.43130081300813,"4","1",0.5,0.5,3.5
