"line","rep","enviro","data","sd","se"
1,1,0,1.5833,NA,NA
1,1,0.5,1.587,NA,NA
1,1,1,1.643625,NA,NA
1,1,4,1.1985,NA,NA
1,1,8,0.134166666666667,NA,NA
1,1,32,0.0876666666666667,NA,NA
1,1,128,0.06825,NA,NA
1,2,0,1.5205,NA,NA
1,2,0.5,1.576,NA,NA
1,2,1,1.608625,NA,NA
1,2,4,1.2125,NA,NA
1,2,8,0.136833333333333,NA,NA
1,2,32,0.0965,NA,NA
1,2,128,0.08025,NA,NA
1,3,0,1.5282,NA,NA
1,3,0.5,1.592,NA,NA
1,3,1,1.601625,NA,NA
1,3,4,1.226,NA,NA
1,3,8,0.128,NA,NA
1,3,32,0.1165,NA,NA
1,3,128,0.055,NA,NA
1,4,0,1.5318,NA,NA
1,4,0.5,1.548,NA,NA
1,4,1,1.600375,NA,NA
1,4,4,1.08,NA,NA
1,4,8,0.129333333333333,NA,NA
1,4,32,0.0778333333333333,NA,NA
1,4,128,0.04725,NA,NA
1,5,0,1.5099,NA,NA
1,5,0.5,1.503,NA,NA
1,5,1,1.5625,NA,NA
1,5,4,1.0265,NA,NA
1,5,8,0.123333333333333,NA,NA
1,5,32,0.0745,NA,NA
1,5,128,0.04,NA,NA
1,6,0,1.4675,NA,NA
1,6,0.5,1.442,NA,NA
1,6,1,1.515375,NA,NA
1,6,4,1.094,NA,NA
1,6,8,0.135333333333333,NA,NA
1,6,32,0.0836666666666667,NA,NA
1,6,128,0.04275,NA,NA
1,7,0,1.4513,NA,NA
1,7,0.5,1.486,NA,NA
1,7,1,1.539125,NA,NA
1,7,4,1.0165,NA,NA
1,7,8,0.143666666666667,NA,NA
1,7,32,0.0936666666666667,NA,NA
1,7,128,0.053,NA,NA
1,8,0,1.4887,NA,NA
1,8,0.5,1.436,NA,NA
1,8,1,1.551,NA,NA
1,8,4,0.95,NA,NA
1,8,8,0.113333333333333,NA,NA
1,8,32,0.0701666666666667,NA,NA
1,8,128,0.0435,NA,NA
1,9,0,1.5043,NA,NA
1,9,0.5,1.452,NA,NA
1,9,1,1.564125,NA,NA
1,9,4,0.9205,NA,NA
1,9,8,0.133333333333333,NA,NA
1,9,32,0.0876666666666667,NA,NA
1,9,128,0.0695,NA,NA
1,10,0,1.4681,NA,NA
1,10,0.5,1.43,NA,NA
1,10,1,1.538875,NA,NA
1,10,4,0.9305,NA,NA
1,10,8,0.118,NA,NA
1,10,32,0.0808333333333333,NA,NA
1,10,128,0.072,NA,NA
1,11,0,1.4265,NA,NA
1,11,0.5,1.502,NA,NA
1,11,1,1.551625,NA,NA
1,11,4,0.9055,NA,NA
1,11,8,0.114,NA,NA
1,11,32,0.0961666666666667,NA,NA
1,11,128,0.03975,NA,NA
1,12,0,1.5394,NA,NA
1,12,0.5,1.475,NA,NA
1,12,1,1.596875,NA,NA
1,12,4,0.963,NA,NA
1,12,8,0.1205,NA,NA
1,12,32,0.0965,NA,NA
1,12,128,0.0575,NA,NA
2,1,0,1.6278,NA,NA
2,1,0.5,1.538,NA,NA
2,1,1,1.165375,NA,NA
2,1,4,0.1795,NA,NA
2,1,8,0.109166666666667,NA,NA
2,1,32,0.102,NA,NA
2,1,128,0.07725,NA,NA
2,2,0,1.5902,NA,NA
2,2,0.5,1.503,NA,NA
2,2,1,1.159,NA,NA
2,2,4,0.158,NA,NA
2,2,8,0.103333333333333,NA,NA
2,2,32,0.0945,NA,NA
2,2,128,0.1285,NA,NA
2,3,0,1.6028,NA,NA
2,3,0.5,1.5,NA,NA
2,3,1,1.144,NA,NA
2,3,4,0.154,NA,NA
2,3,8,0.110166666666667,NA,NA
2,3,32,0.096,NA,NA
2,3,128,0.11875,NA,NA
2,4,0,1.5976,NA,NA
2,4,0.5,1.523,NA,NA
2,4,1,1.10175,NA,NA
2,4,4,0.167,NA,NA
2,4,8,0.112166666666667,NA,NA
2,4,32,0.102833333333333,NA,NA
2,4,128,0.07225,NA,NA
2,5,0,1.571,NA,NA
2,5,0.5,1.496,NA,NA
2,5,1,1.08175,NA,NA
