"line","rep","enviro","data","sd","se"
1,1,0,1.7456,NA,NA
1,1,0.5,1.767,NA,NA
1,1,1,1.762375,NA,NA
1,1,4,1.606,NA,NA
1,1,8,0.351,NA,NA
1,1,32,0.3,NA,NA
1,1,128,0.33325,NA,NA
1,2,0,1.7368,NA,NA
1,2,0.5,1.748,NA,NA
1,2,1,1.755875,NA,NA
1,2,4,1.644,NA,NA
1,2,8,0.395666666666667,NA,NA
1,2,32,0.339,NA,NA
1,2,128,0.5025,NA,NA
1,3,0,1.7403,NA,NA
1,3,0.5,1.784,NA,NA
1,3,1,1.764875,NA,NA
1,3,4,1.643,NA,NA
1,3,8,0.372666666666667,NA,NA
1,3,32,0.331166666666667,NA,NA
1,3,128,0.58175,NA,NA
1,4,0,1.7505,NA,NA
1,4,0.5,1.745,NA,NA
1,4,1,1.774125,NA,NA
1,4,4,1.6425,NA,NA
1,4,8,0.4205,NA,NA
1,4,32,0.326833333333333,NA,NA
1,4,128,0.66375,NA,NA
1,5,0,1.73,NA,NA
1,5,0.5,1.728,NA,NA
1,5,1,1.764875,NA,NA
1,5,4,1.61,NA,NA
1,5,8,0.372,NA,NA
1,5,32,0.288333333333333,NA,NA
1,5,128,0.648,NA,NA
1,6,0,1.7299,NA,NA
1,6,0.5,1.736,NA,NA
1,6,1,1.758125,NA,NA
1,6,4,1.6025,NA,NA
1,6,8,0.418333333333333,NA,NA
1,6,32,0.323666666666667,NA,NA
1,6,128,0.73425,NA,NA
1,7,0,1.7332,NA,NA
1,7,0.5,1.749,NA,NA
1,7,1,1.752125,NA,NA
1,7,4,1.6345,NA,NA
1,7,8,0.3385,NA,NA
1,7,32,0.2415,NA,NA
1,7,128,0.67125,NA,NA
1,8,0,1.7487,NA,NA
1,8,0.5,1.756,NA,NA
1,8,1,1.778375,NA,NA
1,8,4,1.606,NA,NA
1,8,8,0.371333333333333,NA,NA
1,8,32,0.274,NA,NA
1,8,128,0.67275,NA,NA
1,9,0,1.7268,NA,NA
1,9,0.5,1.746,NA,NA
1,9,1,1.757875,NA,NA
1,9,4,1.6145,NA,NA
1,9,8,0.4395,NA,NA
1,9,32,0.360666666666667,NA,NA
1,9,128,0.74025,NA,NA
1,10,0,1.7176,NA,NA
1,10,0.5,1.729,NA,NA
1,10,1,1.742,NA,NA
1,10,4,1.5905,NA,NA
1,10,8,0.427833333333333,NA,NA
1,10,32,0.347666666666667,NA,NA
1,10,128,0.66775,NA,NA
1,11,0,1.7396,NA,NA
1,11,0.5,1.739,NA,NA
1,11,1,1.75625,NA,NA
1,11,4,1.6325,NA,NA
1,11,8,0.371833333333333,NA,NA
1,11,32,0.307833333333333,NA,NA
1,11,128,0.422,NA,NA
1,12,0,1.723,NA,NA
1,12,0.5,1.748,NA,NA
1,12,1,1.74225,NA,NA
1,12,4,1.5915,NA,NA
1,12,8,0.322166666666667,NA,NA
1,12,32,0.303166666666667,NA,NA
1,12,128,0.357,NA,NA
2,1,0,1.754,NA,NA
2,1,0.5,1.69,NA,NA
2,1,1,1.31825,NA,NA
2,1,4,0.215,NA,NA
2,1,8,0.168666666666667,NA,NA
2,1,32,0.157666666666667,NA,NA
2,1,128,0.102,NA,NA
2,2,0,1.7259,NA,NA
2,2,0.5,1.669,NA,NA
2,2,1,1.30475,NA,NA
2,2,4,0.196,NA,NA
2,2,8,0.1825,NA,NA
2,2,32,0.154833333333333,NA,NA
2,2,128,0.1675,NA,NA
2,3,0,1.7265,NA,NA
2,3,0.5,1.682,NA,NA
2,3,1,1.30525,NA,NA
2,3,4,0.1825,NA,NA
2,3,8,0.1575,NA,NA
2,3,32,0.164666666666667,NA,NA
2,3,128,0.16525,NA,NA
2,4,0,1.7391,NA,NA
2,4,0.5,1.693,NA,NA
2,4,1,1.316375,NA,NA
2,4,4,0.2035,NA,NA
2,4,8,0.183166666666667,NA,NA
2,4,32,0.159,NA,NA
2,4,128,0.11325,NA,NA
2,5,0,1.7186,NA,NA
2,5,0.5,1.674,NA,NA
2,5,1,1.300125,NA,NA
2,5,4,0.1885,NA,NA
2,5,8,0.170666666666667,NA,NA
2,5,32,0.140666666666667,NA,NA
2,5,128,0.12825,NA,NA
2,6,0,1.7185,NA,NA
2,6,0.5,1.681,NA,NA
2,6,1,1.290375,NA,NA
2,6,4,0.2025,NA,NA
2,6,8,0.153666666666667,NA,NA
2,6,32,0.130166666666667,NA,NA
2,6,128,0.21625,NA,NA
2,7,0,1.7187,NA,NA
2,7,0.5,1.687,NA,NA
2,7,1,1.290875,NA,NA
2,7,4,0.1905,NA,NA
2,7,8,0.1555,NA,NA
2,7,32,0.141333333333333,NA,NA
2,7,128,0.17825,NA,NA
2,8,0,1.7466,NA,NA
2,8,0.5,1.681,NA,NA
2,8,1,1.30025,NA,NA
2,8,4,0.1665,NA,NA
2,8,8,0.165333333333333,NA,NA
2,8,32,0.139833333333333,NA,NA
2,8,128,0.128,NA,NA
2,9,0,1.7157,NA,NA
2,9,0.5,1.689,NA,NA
2,9,1,1.259,NA,NA
2,9,4,0.153,NA,NA
2,9,8,0.152666666666667,NA,NA
2,9,32,0.152666666666667,NA,NA
2,9,128,0.31375,NA,NA
2,10,0,1.7113,NA,NA
2,10,0.5,1.684,NA,NA
2,10,1,1.144125,NA,NA
2,10,4,0.171,NA,NA
2,10,8,0.1605,NA,NA
2,10,32,0.152,NA,NA
2,10,128,0.094,NA,NA
2,11,0,1.7194,NA,NA
2,11,0.5,1.668,NA,NA
2,11,1,1.16775,NA,NA
2,11,4,0.156,NA,NA
2,11,8,0.169166666666667,NA,NA
2,11,32,0.150666666666667,NA,NA
2,11,128,0.0765,NA,NA
2,12,0,1.6804,NA,NA
2,12,0.5,1.683,NA,NA
2,12,1,1.162375,NA,NA
2,12,4,0.128,NA,NA
2,12,8,0.148666666666667,NA,NA
2,12,32,0.159166666666667,NA,NA
2,12,128,0.0695,NA,NA
3,1,0,1.7561,NA,NA
3,1,0.5,0.77,NA,NA
3,1,1,0.648625,NA,NA
3,1,4,0.3155,NA,NA
3,1,8,0.416666666666667,NA,NA
3,1,32,0.386166666666667,NA,NA
3,1,128,0.4755,NA,NA
3,2,0,1.7464,NA,NA
3,2,0.5,0.477,NA,NA
3,2,1,0.60325,NA,NA
3,2,4,0.2715,NA,NA
3,2,8,0.374333333333333,NA,NA
3,2,32,0.2955,NA,NA
3,2,128,0.578,NA,NA
3,3,0,1.7469,NA,NA
3,3,0.5,0.625,NA,NA
3,3,1,0.781,NA,NA
3,3,4,0.249,NA,NA
3,3,8,0.381166666666667,NA,NA
3,3,32,0.2945,NA,NA
3,3,128,0.785,NA,NA
3,4,0,1.7554,NA,NA
3,4,0.5,0.561,NA,NA
3,4,1,0.822375,NA,NA
3,4,4,0.2315,NA,NA
3,4,8,0.350166666666667,NA,NA
3,4,32,0.320166666666667,NA,NA
3,4,128,0.91475,NA,NA
3,5,0,1.7429,NA,NA
3,5,0.5,0.486,NA,NA
3,5,1,0.772875,NA,NA
3,5,4,0.246,NA,NA
3,5,8,0.327333333333333,NA,NA
3,5,32,0.290166666666667,NA,NA
3,5,128,0.721,NA,NA
3,6,0,1.7346,NA,NA
3,6,0.5,0.507,NA,NA
3,6,1,0.899875,NA,NA
3,6,4,0.233,NA,NA
3,6,8,0.330166666666667,NA,NA
3,6,32,0.2635,NA,NA
3,6,128,0.8655,NA,NA
3,7,0,1.7317,NA,NA
3,7,0.5,0.438,NA,NA
3,7,1,0.79225,NA,NA
3,7,4,0.259,NA,NA
3,7,8,0.229166666666667,NA,NA
3,7,32,0.254,NA,NA
3,7,128,0.82125,NA,NA
3,8,0,1.7504,NA,NA
3,8,0.5,0.61,NA,NA
3,8,1,0.8375,NA,NA
3,8,4,0.2435,NA,NA
3,8,8,0.2805,NA,NA
3,8,32,0.2665,NA,NA
3,8,128,0.782,NA,NA
3,9,0,1.7278,NA,NA
3,9,0.5,0.656,NA,NA
3,9,1,0.75325,NA,NA
