"line","rep","enviro","data","exper"
1,1,0,1.861,"4"
1,1,1,1.845,"4"
1,1,8,0.309,"4"
1,1,32,0.24,"4"
1,2,0,1.866,"4"
1,2,1,1.855,"4"
1,2,8,0.297,"4"
1,2,32,0.239,"4"
1,3,0,1.864,"4"
1,3,1,1.866,"4"
1,3,8,0.3,"4"
1,3,32,0.252,"4"
1,4,0,1.857,"4"
1,4,1,1.851,"4"
1,4,8,0.324,"4"
1,4,32,0.257,"4"
1,5,0,1.861,"4"
1,5,1,1.87,"4"
1,5,8,0.31,"4"
1,5,32,0.207,"4"
1,6,0,1.859,"4"
1,6,1,1.874,"4"
1,6,8,0.331,"4"
1,6,32,0.245,"4"
1,7,0,1.848,"4"
1,7,1,1.851,"4"
1,7,8,0.316,"4"
1,7,32,0.173,"4"
1,8,0,1.855,"4"
1,8,1,1.85,"4"
1,8,8,0.289,"4"
1,8,32,0.197,"4"
1,9,0,1.851,"4"
1,9,1,1.86,"4"
1,9,8,0.361,"4"
1,9,32,0.276,"4"
1,10,0,1.809,"4"
1,10,1,1.815,"4"
1,10,8,0.367,"4"
1,10,32,0.301,"4"
1,11,0,1.819,"4"
1,11,1,1.841,"4"
1,11,8,0.358,"4"
1,11,32,0.309,"4"
1,12,0,1.785,"4"
1,12,1,1.812,"4"
1,12,8,0.288,"4"
1,12,32,0.289,"4"
2,1,0,1.911,"4"
2,1,1,1.745,"4"
2,1,8,0.147,"4"
2,1,32,0.15,"4"
2,2,0,1.89,"4"
2,2,1,1.624,"4"
2,2,8,0.186,"4"
2,2,32,0.162,"4"
2,3,0,1.88,"4"
2,3,1,1.624,"4"
2,3,8,0.191,"4"
2,3,32,0.175,"4"
2,4,0,1.871,"4"
2,4,1,1.59,"4"
2,4,8,0.179,"4"
2,4,32,0.145,"4"
2,5,0,1.868,"4"
2,5,1,1.613,"4"
2,5,8,0.167,"4"
2,5,32,0.144,"4"
2,6,0,1.863,"4"
2,6,1,1.478,"4"
2,6,8,0.185,"4"
2,6,32,0.132,"4"
2,7,0,1.845,"4"
2,7,1,1.469,"4"
2,7,8,0.15,"4"
2,7,32,0.127,"4"
2,8,0,1.854,"4"
2,8,1,1.604,"4"
2,8,8,0.17,"4"
2,8,32,0.141,"4"
2,9,0,1.844,"4"
2,9,1,1.205,"4"
2,9,8,0.192,"4"
2,9,32,0.173,"4"
2,10,0,1.826,"4"
2,10,1,0.996,"4"
2,10,8,0.174,"4"
2,10,32,0.164,"4"
2,11,0,1.696,"4"
2,11,1,1.156,"4"
2,11,8,0.183,"4"
2,11,32,0.171,"4"
2,12,0,1.516,"4"
2,12,1,1.17,"4"
2,12,8,0.198,"4"
2,12,32,0.208,"4"
3,1,0,1.903,"4"
3,1,1,0.25,"4"
3,1,8,0.288,"4"
3,1,32,0.272,"4"
3,2,0,1.906,"4"
3,2,1,0.21,"4"
3,2,8,0.228,"4"
3,2,32,0.237,"4"
3,3,0,1.889,"4"
3,3,1,0.225,"4"
3,3,8,0.183,"4"
3,3,32,0.193,"4"
3,4,0,1.872,"4"
3,4,1,0.204,"4"
3,4,8,0.198,"4"
3,4,32,0.23,"4"
3,5,0,1.879,"4"
3,5,1,0.251,"4"
3,5,8,0.179,"4"
3,5,32,0.201,"4"
3,6,0,1.872,"4"
3,6,1,0.247,"4"
3,6,8,0.206,"4"
3,6,32,0.173,"4"
3,7,0,1.85,"4"
3,7,1,0.179,"4"
3,7,8,0.163,"4"
3,7,32,0.165,"4"
3,8,0,1.845,"4"
3,8,1,0.2,"4"
3,8,8,0.187,"4"
3,8,32,0.181,"4"
3,9,0,1.834,"4"
3,9,1,0.216,"4"
3,9,8,0.204,"4"
3,9,32,0.159,"4"
3,10,0,1.77,"4"
3,10,1,0.232,"4"
3,10,8,0.138,"4"
3,10,32,0.142,"4"
3,11,0,1.757,"4"
3,11,1,0.263,"4"
3,11,8,0.148,"4"
3,11,32,0.214,"4"
3,12,0,1.614,"4"
3,12,1,0.176,"4"
3,12,8,0.193,"4"
3,12,32,0.184,"4"
4,1,0,1.922,"4"
4,1,1,0.267,"4"
4,1,8,0.166,"4"
4,1,32,0.138,"4"
4,2,0,1.896,"4"
4,2,1,0.245,"4"
4,2,8,0.151,"4"
4,2,32,0.148,"4"
4,3,0,1.897,"4"
4,3,1,0.259,"4"
4,3,8,0.155,"4"
4,3,32,0.13,"4"
4,4,0,1.884,"4"
4,4,1,0.182,"4"
4,4,8,0.132,"4"
4,4,32,0.139,"4"
4,5,0,1.892,"4"
4,5,1,0.202,"4"
4,5,8,0.131,"4"
4,5,32,0.128,"4"
4,6,0,1.866,"4"
4,6,1,0.144,"4"
4,6,8,0.131,"4"
4,6,32,0.131,"4"
4,7,0,1.834,"4"
4,7,1,0.15,"4"
4,7,8,0.136,"4"
4,7,32,0.128,"4"
4,8,0,1.821,"4"
4,8,1,0.21,"4"
4,8,8,0.134,"4"
4,8,32,0.126,"4"
4,9,0,1.804,"4"
4,9,1,0.221,"4"
4,9,8,0.175,"4"
4,9,32,0.132,"4"
4,10,0,1.708,"4"
4,10,1,0.151,"4"
4,10,8,0.144,"4"
4,10,32,0.132,"4"
4,11,0,1.751,"4"
4,11,1,0.173,"4"
4,11,8,0.144,"4"
4,11,32,0.131,"4"
4,12,0,1.578,"4"
4,12,1,0.155,"4"
4,12,8,0.144,"4"
4,12,32,0.133,"4"
5,1,0,1.897,"4"
5,1,1,1.846,"4"
5,1,8,1.664,"4"
5,1,32,1.605,"4"
5,2,0,1.884,"4"
5,2,1,1.792,"4"
5,2,8,1.624,"4"
5,2,32,1.587,"4"
5,3,0,1.877,"4"
5,3,1,1.76,"4"
5,3,8,1.593,"4"
5,3,32,1.512,"4"
5,4,0,1.876,"4"
5,4,1,1.788,"4"
5,4,8,1.581,"4"
5,4,32,1.532,"4"
5,5,0,1.857,"4"
5,5,1,1.752,"4"
5,5,8,1.552,"4"
5,5,32,1.489,"4"
5,6,0,1.846,"4"
5,6,1,1.741,"4"
5,6,8,1.483,"4"
5,6,32,1.487,"4"
5,7,0,1.838,"4"
5,7,1,1.767,"4"
5,7,8,1.47,"4"
5,7,32,1.3,"4"
5,8,0,1.834,"4"
5,8,1,1.711,"4"
5,8,8,1.477,"4"
5,8,32,1.45,"4"
5,9,0,1.811,"4"
5,9,1,1.719,"4"
5,9,8,1.462,"4"
5,9,32,1.369,"4"
5,10,0,1.658,"4"
5,10,1,1.579,"4"
5,10,8,1.326,"4"
5,10,32,1.433,"4"
5,11,0,1.756,"4"
5,11,1,1.492,"4"
5,11,8,1.418,"4"
5,11,32,1.503,"4"
5,12,0,1.738,"4"
5,12,1,1.71,"4"
5,12,8,1.402,"4"
5,12,32,1.579,"4"
6,1,0,1.893,"4"
6,1,1,1.333,"4"
6,1,8,0.207,"4"
6,1,32,0.225,"4"
6,2,0,1.855,"4"
6,2,1,0.945,"4"
6,2,8,0.237,"4"
6,2,32,0.229,"4"
6,3,0,1.844,"4"
6,3,1,1.349,"4"
6,3,8,0.219,"4"
6,3,32,0.212,"4"
