"line","rep","enviro","data","sd","se"
1,1,0,1.7945,0.115064112563388,0.0813626142647838
1,1,0.5,1.809,NA,NA
1,1,1,1.853,0.0509116882454315,0.0509116882454315
1,1,4,1.593,NA,NA
1,1,8,0.24475,0.0908632213824714,0.0908632213824714
1,1,32,0.2055,0.153442171517481,0.153442171517481
1,1,128,0.1095,NA,NA
1,2,0,1.766,0.117042727240952,0.0827617061206449
1,2,0.5,1.786,NA,NA
1,2,1,1.8315,0.0544472221513643,0.0544472221513643
1,2,4,1.54,NA,NA
1,2,8,0.16875,0.153088618126888,0.153088618126888
1,2,32,0.16775,0.194100811435707,0.194100811435707
1,2,128,0.039,NA,NA
1,3,0,1.76666666666667,0.104001602551756,0.0735402384186145
1,3,0.5,1.794,NA,NA
1,3,1,1.8275,0.0360624458405139,0.0360624458405139
1,3,4,1.472,NA,NA
1,3,8,0.19375,0.127632774004172,0.127632774004172
1,3,32,0.17175,0.196929238560453,0.196929238560453
1,3,128,0.035,NA,NA
1,4,0,1.79116666666667,0.0992475860327763,0.0701786411001714
1,4,0.5,1.79,NA,NA
1,4,1,1.844,0.0395979797464467,0.0395979797464467
1,4,4,1.533,NA,NA
1,4,8,0.2385,0.0883883476483184,0.0883883476483184
1,4,32,0.21375,0.151674404564514,0.151674404564514
1,4,128,0.1365,NA,NA
1,5,0,1.74516666666667,0.100563827161327,0.0711093641278466
1,5,0.5,1.756,NA,NA
1,5,1,1.82,0.0367695526217005,0.0367695526217005
1,5,4,1.485,NA,NA
1,5,8,0.193,0.0989949493661167,0.0989949493661167
1,5,32,0.14975,0.165816540188245,0.165816540188245
1,5,128,0.075,NA,NA
1,6,0,1.75,0.09559811713627,0.0675980768957224
1,6,0.5,1.765,NA,NA
1,6,1,1.816,0.029698484809835,0.029698484809835
1,6,4,1.576,NA,NA
1,6,8,0.2,0.103237590053236,0.103237590053236
1,6,32,0.17925,0.169352074094178,0.169352074094178
1,6,128,0.0815,NA,NA
1,7,0,1.76016666666667,0.0829974899218846,0.0586880879452268
1,7,0.5,1.79,NA,NA
1,7,1,1.818,0.0240416305603426,0.0240416305603426
1,7,4,1.517,NA,NA
1,7,8,0.23125,0.11985459941112,0.11985459941112
1,7,32,0.169,0.182433549546129,0.182433549546129
1,7,128,0.0925,NA,NA
1,8,0,1.7855,0.0898039531423868,0.0635009842443407
