"line","rep","enviro","dataM","exper"
1,1,0,1.896,"4"
1,1,1,1.889,"4"
1,1,8,0.309,"4"
1,1,32,0.314,"4"
1,2,0,1.873,"4"
1,2,1,1.87,"4"
1,2,8,0.277,"4"
1,2,32,0.305,"4"
1,3,0,1.859,"4"
1,3,1,1.853,"4"
1,3,8,0.284,"4"
1,3,32,0.311,"4"
1,4,0,1.879,"4"
1,4,1,1.872,"4"
1,4,8,0.301,"4"
1,4,32,0.321,"4"
1,5,0,1.85,"4"
1,5,1,1.846,"4"
1,5,8,0.263,"4"
1,5,32,0.267,"4"
1,6,0,1.843,"4"
1,6,1,1.837,"4"
1,6,8,0.273,"4"
1,6,32,0.299,"4"
1,7,0,1.836,"4"
1,7,1,1.835,"4"
1,7,8,0.316,"4"
1,7,32,0.298,"4"
1,8,0,1.869,"4"
1,8,1,1.861,"4"
1,8,8,0.256,"4"
1,8,32,0.3,"4"
1,9,0,1.835,"4"
1,9,1,1.861,"4"
1,9,8,0.292,"4"
1,9,32,0.297,"4"
1,10,0,1.806,"4"
1,10,1,1.816,"4"
1,10,8,0.305,"4"
1,10,32,0.325,"4"
1,11,0,1.861,"4"
1,11,1,1.876,"4"
1,11,8,0.298,"4"
1,11,32,0.318,"4"
1,12,0,1.752,"4"
1,12,1,1.852,"4"
1,12,8,0.293,"4"
1,12,32,0.318,"4"
2,1,0,1.881,"4"
2,1,1,1.368,"4"
2,1,8,0.183,"4"
2,1,32,0.168,"4"
2,2,0,1.903,"4"
2,2,1,1.33,"4"
2,2,8,0.146,"4"
2,2,32,0.141,"4"
2,3,0,1.831,"4"
2,3,1,1.747,"4"
2,3,8,0.144,"4"
2,3,32,0.139,"4"
2,4,0,1.865,"4"
2,4,1,1.837,"4"
2,4,8,0.145,"4"
2,4,32,0.14,"4"
2,5,0,1.826,"4"
2,5,1,1.239,"4"
2,5,8,0.133,"4"
2,5,32,0.13,"4"
2,6,0,1.805,"4"
2,6,1,1.709,"4"
2,6,8,0.137,"4"
2,6,32,0.136,"4"
2,7,0,1.716,"4"
2,7,1,1.651,"4"
2,7,8,0.136,"4"
2,7,32,0.132,"4"
2,8,0,1.784,"4"
2,8,1,1.403,"4"
2,8,8,0.216,"4"
2,8,32,0.226,"4"
2,9,0,1.771,"4"
2,9,1,1.698,"4"
2,9,8,0.146,"4"
2,9,32,0.134,"4"
2,10,0,1.657,"4"
2,10,1,1.306,"4"
2,10,8,0.136,"4"
2,10,32,0.132,"4"
2,11,0,1.808,"4"
2,11,1,1.751,"4"
2,11,8,0.137,"4"
2,11,32,0.131,"4"
2,12,0,1.592,"4"
2,12,1,1.348,"4"
2,12,8,0.158,"4"
2,12,32,0.145,"4"
3,1,0,1.853,"4"
3,1,1,1.12,"4"
3,1,8,1.117,"4"
3,1,32,1.12,"4"
3,2,0,1.793,"4"
3,2,1,1.028,"4"
3,2,8,0.959,"4"
3,2,32,0.949,"4"
3,3,0,1.85,"4"
3,3,1,1.55,"4"
3,3,8,1.5,"4"
3,3,32,1.259,"4"
3,4,0,1.25,"4"
3,4,1,0.625,"4"
3,4,8,0.513,"4"
3,4,32,0.325,"4"
3,5,0,1.811,"4"
3,5,1,1.282,"4"
3,5,8,1.237,"4"
3,5,32,1.114,"4"
3,6,0,1.815,"4"
3,6,1,1.069,"4"
3,6,8,1.128,"4"
3,6,32,0.995,"4"
3,7,0,1.79,"4"
3,7,1,1.162,"4"
3,7,8,1.085,"4"
3,7,32,1.024,"4"
3,8,0,1.816,"4"
3,8,1,1.443,"4"
3,8,8,1.425,"4"
3,8,32,1.333,"4"
3,9,0,1.809,"4"
3,9,1,1.167,"4"
3,9,8,1.243,"4"
3,9,32,1.167,"4"
3,10,0,1.81,"4"
3,10,1,1.089,"4"
3,10,8,1.072,"4"
3,10,32,0.944,"4"
3,11,0,1.836,"4"
3,11,1,1.195,"4"
3,11,8,1.074,"4"
3,11,32,1.02,"4"
3,12,0,1.787,"4"
3,12,1,1.247,"4"
3,12,8,1.112,"4"
3,12,32,1.075,"4"
4,1,0,1.865,"4"
4,1,1,1.815,"4"
4,1,8,0.558,"4"
4,1,32,0.377,"4"
4,2,0,1.881,"4"
4,2,1,1.85,"4"
4,2,8,0.249,"4"
4,2,32,0.153,"4"
4,3,0,1.891,"4"
4,3,1,1.848,"4"
4,3,8,0.138,"4"
4,3,32,0.127,"4"
4,4,0,1.922,"4"
4,4,1,1.923,"4"
4,4,8,0.16,"4"
4,4,32,0.193,"4"
4,5,0,1.9,"4"
4,5,1,1.883,"4"
4,5,8,0.145,"4"
4,5,32,0.132,"4"
4,6,0,1.882,"4"
4,6,1,1.616,"4"
4,6,8,1.158,"4"
4,6,32,1.084,"4"
4,7,0,1.876,"4"
4,7,1,1.827,"4"
4,7,8,0.145,"4"
4,7,32,0.128,"4"
4,8,0,1.893,"4"
4,8,1,1.847,"4"
4,8,8,0.165,"4"
4,8,32,0.128,"4"
4,9,0,1.87,"4"
4,9,1,1.899,"4"
4,9,8,0.155,"4"
4,9,32,0.136,"4"
4,10,0,1.836,"4"
4,10,1,1.808,"4"
4,10,8,0.148,"4"
4,10,32,0.207,"4"
4,11,0,1.855,"4"
4,11,1,1.803,"4"
4,11,8,0.135,"4"
4,11,32,0.132,"4"
4,12,0,1.244,"4"
4,12,1,1.538,"4"
4,12,8,0.168,"4"
4,12,32,0.162,"4"
5,1,0,1.865,"4"
5,1,1,1.825,"4"
5,1,8,1.668,"4"
5,1,32,1.648,"4"
5,2,0,1.85,"4"
5,2,1,1.808,"4"
5,2,8,1.653,"4"
5,2,32,1.626,"4"
5,3,0,1.861,"4"
5,3,1,1.809,"4"
5,3,8,1.67,"4"
5,3,32,1.651,"4"
5,4,0,1.849,"4"
5,4,1,1.826,"4"
5,4,8,1.709,"4"
5,4,32,1.693,"4"
5,5,0,1.82,"4"
5,5,1,1.794,"4"
5,5,8,1.693,"4"
5,5,32,1.633,"4"
5,6,0,1.846,"4"
5,6,1,1.79,"4"
5,6,8,1.631,"4"
5,6,32,1.61,"4"
5,7,0,1.836,"4"
5,7,1,1.791,"4"
5,7,8,1.614,"4"
5,7,32,1.542,"4"
5,8,0,1.842,"4"
5,8,1,1.797,"4"
5,8,8,1.614,"4"
5,8,32,1.553,"4"
5,9,0,1.84,"4"
5,9,1,1.789,"4"
5,9,8,1.668,"4"
5,9,32,1.642,"4"
5,10,0,1.818,"4"
5,10,1,1.794,"4"
5,10,8,1.647,"4"
5,10,32,1.639,"4"
5,11,0,1.835,"4"
5,11,1,1.782,"4"
5,11,8,1.65,"4"
5,11,32,1.587,"4"
5,12,0,1.829,"4"
5,12,1,1.786,"4"
5,12,8,1.687,"4"
5,12,32,1.634,"4"
6,1,0,1.802,"4"
6,1,1,1.803,"4"
6,1,8,0.334,"4"
6,1,32,0.308,"4"
6,2,0,1.812,"4"
6,2,1,1.831,"4"
6,2,8,0.331,"4"
6,2,32,0.264,"4"
6,3,0,1.763,"4"
6,3,1,1.797,"4"
6,3,8,0.318,"4"
6,3,32,0.315,"4"
6,4,0,1.869,"4"
6,4,1,1.854,"4"
6,4,8,0.232,"4"
6,4,32,0.211,"4"
6,5,0,1.779,"4"
6,5,1,1.796,"4"
6,5,8,0.29,"4"
6,5,32,0.279,"4"
6,6,0,1.864,"4"
6,6,1,1.838,"4"
6,6,8,0.196,"4"
6,6,32,0.184,"4"
6,7,0,1.834,"4"
6,7,1,1.816,"4"
6,7,8,0.198,"4"
6,7,32,0.198,"4"
6,8,0,1.795,"4"
6,8,1,1.771,"4"
6,8,8,0.242,"4"
6,8,32,0.242,"4"
6,9,0,1.824,"4"
6,9,1,1.808,"4"
6,9,8,0.185,"4"
6,9,32,0.184,"4"
6,10,0,1.824,"4"
6,10,1,1.841,"4"
6,10,8,0.293,"4"
6,10,32,0.262,"4"
6,11,0,1.691,"4"
6,11,1,1.681,"4"
6,11,8,0.318,"4"
6,11,32,0.291,"4"
6,12,0,1.734,"4"
6,12,1,1.794,"4"
6,12,8,0.207,"4"
6,12,32,0.171,"4"
7,1,0,1.686,"4"
7,1,1,1.594,"4"
7,1,8,0.213,"4"
7,1,32,0.21,"4"
7,2,0,1.81,"4"
7,2,1,1.789,"4"
7,2,8,0.249,"4"
7,2,32,0.136,"4"
7,3,0,1.844,"4"
7,3,1,1.807,"4"
7,3,8,0.316,"4"
7,3,32,0.201,"4"
7,4,0,1.83,"4"
7,4,1,1.77,"4"
7,4,8,0.294,"4"
7,4,32,0.242,"4"
7,5,0,1.729,"4"
7,5,1,1.732,"4"
7,5,8,0.233,"4"
7,5,32,0.23,"4"
7,6,0,1.842,"4"
7,6,1,1.807,"4"
7,6,8,0.24,"4"
7,6,32,0.134,"4"
7,7,0,1.858,"4"
7,7,1,1.747,"4"
7,7,8,0.233,"4"
7,7,32,0.146,"4"
7,8,0,1.857,"4"
7,8,1,1.808,"4"
7,8,8,0.16,"4"
