"line","enviro","data","sd","se"
1,0,1.73516666666667,NA,NA
1,0.5,1.74791666666667,NA,NA
1,1,1.75909375,NA,NA
1,4,1.618125,NA,NA
1,8,0.383444444444444,NA,NA
1,32,0.311986111111111,NA,NA
1,128,0.582875,NA,NA
2,0,1.72289166666667,NA,NA
2,0.5,1.68175,NA,NA
2,1,1.26329166666667,NA,NA
2,4,0.179416666666667,NA,NA
2,8,0.164,NA,NA
2,32,0.150222222222222,NA,NA
2,128,0.146041666666667,NA,NA
3,0,1.73646666666667,NA,NA
3,0.5,0.52225,NA,NA
3,1,0.723177083333333,NA,NA
3,4,0.246708333333333,NA,NA
3,8,0.309125,NA,NA
3,32,0.263430555555556,NA,NA
3,128,0.671104166666667,NA,NA
4,0,1.74033333333333,NA,NA
4,0.5,1.74066666666667,NA,NA
4,1,0.951072916666667,NA,NA
4,4,0.273833333333333,NA,NA
4,8,0.190194444444444,NA,NA
4,32,0.17,NA,NA
4,128,0.437583333333333,NA,NA
5,0,1.702825,NA,NA
5,0.5,1.65783333333333,NA,NA
5,1,1.6739375,NA,NA
5,4,1.53441666666667,NA,NA
5,8,1.58897222222222,NA,NA
5,32,1.58147222222222,NA,NA
5,128,1.4938125,NA,NA
6,0,1.72330833333333,NA,NA
6,0.5,1.69775,NA,NA
6,1,1.44222916666667,NA,NA
6,4,0.386708333333333,NA,NA
6,8,0.372,NA,NA
6,32,0.389041666666667,NA,NA
6,128,0.836729166666667,NA,NA
7,0,1.71238333333333,NA,NA
7,0.5,1.68158333333333,NA,NA
7,1,1.48180208333333,NA,NA
7,4,0.449083333333333,NA,NA
7,8,0.580861111111111,NA,NA
7,32,0.514638888888889,NA,NA
7,128,0.890125,NA,NA
8,0,1.73043333333333,NA,NA
8,0.5,1.69525,NA,NA
8,1,1.19582291666667,NA,NA
8,4,0.354708333333333,NA,NA
8,8,0.315305555555556,NA,NA
8,32,0.26475,NA,NA
8,128,0.650604166666667,NA,NA
9,0,1.74948333333333,NA,NA
9,1,0.744895833333333,NA,NA
9,4,0.221166666666667,NA,NA
9,8,0.291319444444444,NA,NA
9,32,0.302083333333333,NA,NA
9,128,0.342625,NA,NA
10,0,1.684075,NA,NA
10,1,1.5014375,NA,NA
10,4,1.22591666666667,NA,NA
10,8,1.34618055555556,NA,NA
10,32,1.31704166666667,NA,NA
10,128,1.26197916666667,NA,NA
11,0,1.7278,NA,NA
11,1,0.62940625,NA,NA
11,4,0.412833333333333,NA,NA
11,8,0.368777777777778,NA,NA
11,32,0.449277777777778,NA,NA
11,128,0.770166666666667,NA,NA
12,0,1.64589166666667,NA,NA
12,1,1.68608333333333,NA,NA
12,4,1.66520833333333,NA,NA
12,8,1.66890277777778,NA,NA
12,32,1.64431944444444,NA,NA
12,128,0.762145833333333,NA,NA
13,0,1.7108,NA,NA
13,1,1.17352083333333,NA,NA
13,4,0.659333333333333,NA,NA
13,8,0.633236111111111,NA,NA
13,32,0.565847222222222,NA,NA
13,128,0.74225,NA,NA
14,0,1.71855833333333,NA,NA
14,1,1.1511875,NA,NA
14,4,0.647,NA,NA
14,8,1.00976388888889,NA,NA
14,32,0.929347222222222,NA,NA
14,128,1.08535416666667,NA,NA
15,0,1.60880833333333,NA,NA
15,1,1.20138541666667,NA,NA
15,4,0.327833333333333,NA,NA
15,8,0.345625,NA,NA
15,32,0.27925,NA,NA
15,128,0.7959375,NA,NA
16,0,1.69365833333333,NA,NA
16,1,1.36265625,NA,NA
16,4,0.629166666666667,NA,NA
16,8,0.7705,NA,NA
16,32,0.785972222222222,NA,NA
16,128,0.80125,NA,NA
17,0,1.70109166666667,NA,NA
17,1,0.502739583333333,NA,NA
17,4,0.25775,NA,NA
17,8,0.250402777777778,NA,NA
17,32,0.242069444444444,NA,NA
17,128,0.287583333333333,NA,NA
18,0,1.70770833333333,NA,NA
18,1,1.72885416666667,NA,NA
18,4,1.68829166666667,NA,NA
18,8,1.22636111111111,NA,NA
18,32,0.952597222222222,NA,NA
18,128,1.09483333333333,NA,NA
19,0,1.71899166666667,NA,NA
19,1,1.35394791666667,NA,NA
19,4,0.392375,NA,NA
19,8,0.362916666666667,NA,NA
19,32,0.321083333333333,NA,NA
19,128,0.726520833333333,NA,NA
20,0,1.69719166666667,NA,NA
20,1,1.65597916666667,NA,NA
20,4,1.02170833333333,NA,NA
20,8,0.946791666666667,NA,NA
20,32,0.643638888888889,NA,NA
20,128,0.589083333333333,NA,NA
