"line","rep","enviro","dataM","exper"
5,2,8,0.991,"4"
5,2,32,0.733,"4"
5,3,0,1.779,"4"
5,3,1,1.664,"4"
5,3,8,0.829,"4"
5,3,32,0.815,"4"
5,4,0,1.748,"4"
5,4,1,1.702,"4"
5,4,8,1.024,"4"
5,4,32,0.739,"4"
5,5,0,1.727,"4"
5,5,1,1.62,"4"
5,5,8,0.479,"4"
5,5,32,0.331,"4"
5,6,0,1.65,"4"
5,6,1,1.654,"4"
5,6,8,0.646,"4"
5,6,32,0.436,"4"
5,7,0,1.729,"4"
5,7,1,1.669,"4"
5,7,8,0.534,"4"
5,7,32,0.265,"4"
5,8,0,1.745,"4"
5,8,1,1.662,"4"
5,8,8,0.412,"4"
5,8,32,0.319,"4"
5,9,0,1.661,"4"
5,9,1,1.623,"4"
5,9,8,0.755,"4"
5,9,32,0.709,"4"
5,10,0,1.614,"4"
5,10,1,1.667,"4"
5,10,8,0.794,"4"
5,10,32,0.827,"4"
5,11,0,1.455,"4"
5,11,1,1.612,"4"
5,11,8,0.877,"4"
5,11,32,0.532,"4"
5,12,0,1.741,"4"
5,12,1,1.625,"4"
5,12,8,0.972,"4"
5,12,32,0.827,"4"
6,1,0,0.91,"4"
6,1,1,1.336,"4"
6,1,8,0.204,"4"
6,1,32,0.176,"4"
6,2,0,0.958,"4"
6,2,1,1.022,"4"
6,2,8,0.225,"4"
6,2,32,0.154,"4"
6,3,0,0.732,"4"
6,3,1,0.904,"4"
6,3,8,0.201,"4"
6,3,32,0.255,"4"
6,4,0,1.711,"4"
6,4,1,1.691,"4"
6,4,8,0.201,"4"
6,4,32,0.184,"4"
6,5,0,1.34,"4"
6,5,1,1.175,"4"
6,5,8,0.182,"4"
6,5,32,0.152,"4"
6,6,0,1.621,"4"
6,6,1,1.159,"4"
6,6,8,0.152,"4"
6,6,32,0.139,"4"
6,7,0,1.71,"4"
6,7,1,1.667,"4"
6,7,8,0.177,"4"
6,7,32,0.128,"4"
6,8,0,1.426,"4"
6,8,1,1.152,"4"
6,8,8,0.165,"4"
6,8,32,0.142,"4"
6,9,0,1.687,"4"
6,9,1,1.67,"4"
6,9,8,0.162,"4"
6,9,32,0.167,"4"
6,10,0,1.262,"4"
6,10,1,1.302,"4"
6,10,8,0.199,"4"
6,10,32,0.182,"4"
6,11,0,0.927,"4"
6,11,1,0.846,"4"
6,11,8,0.246,"4"
6,11,32,0.185,"4"
6,12,0,1.076,"4"
6,12,1,1.006,"4"
6,12,8,0.171,"4"
6,12,32,0.147,"4"
7,1,0,0.996,"4"
7,1,1,0.904,"4"
7,1,8,0.15,"4"
7,1,32,0.14,"4"
7,2,0,1.141,"4"
7,2,1,1.212,"4"
7,2,8,0.146,"4"
7,2,32,0.136,"4"
7,3,0,1.734,"4"
7,3,1,1.725,"4"
7,3,8,0.174,"4"
7,3,32,0.136,"4"
7,4,0,1.501,"4"
7,4,1,1.211,"4"
7,4,8,0.15,"4"
7,4,32,0.137,"4"
7,5,0,0.899,"4"
7,5,1,0.786,"4"
7,5,8,0.139,"4"
7,5,32,0.131,"4"
7,6,0,1.665,"4"
7,6,1,1.333,"4"
7,6,8,0.146,"4"
7,6,32,0.128,"4"
7,7,0,1.32,"4"
7,7,1,0.738,"4"
7,7,8,0.156,"4"
7,7,32,0.141,"4"
7,8,0,1.677,"4"
7,8,1,1.474,"4"
7,8,8,0.142,"4"
7,8,32,0.138,"4"
7,9,0,1.481,"4"
7,9,1,1.305,"4"
7,9,8,0.16,"4"
7,9,32,0.143,"4"
7,10,0,1.543,"4"
7,10,1,1.317,"4"
7,10,8,0.174,"4"
7,10,32,0.142,"4"
7,11,0,1.515,"4"
7,11,1,1.491,"4"
7,11,8,0.188,"4"
7,11,32,0.136,"4"
7,12,0,1.301,"4"
7,12,1,0.373,"4"
7,12,8,0.149,"4"
7,12,32,0.132,"4"
8,1,0,1.703,"4"
8,1,1,1.752,"4"
8,1,8,0.249,"4"
8,1,32,0.219,"4"
8,2,0,1.793,"4"
8,2,1,1.784,"4"
8,2,8,0.262,"4"
8,2,32,0.189,"4"
8,3,0,1.552,"4"
8,3,1,1.551,"4"
8,3,8,0.154,"4"
8,3,32,0.149,"4"
8,4,0,1.779,"4"
8,4,1,1.786,"4"
8,4,8,0.202,"4"
8,4,32,0.149,"4"
8,5,0,0.942,"4"
8,5,1,0.888,"4"
8,5,8,0.268,"4"
8,5,32,0.132,"4"
8,6,0,0.701,"4"
8,6,1,0.798,"4"
8,6,8,0.231,"4"
8,6,32,0.245,"4"
8,7,0,0.438,"4"
8,7,1,0.295,"4"
8,7,8,0.168,"4"
8,7,32,0.136,"4"
8,8,0,1.743,"4"
8,8,1,1.678,"4"
8,8,8,0.153,"4"
8,8,32,0.138,"4"
8,9,0,1.736,"4"
8,9,1,1.734,"4"
8,9,8,0.159,"4"
8,9,32,0.17,"4"
8,10,0,1.599,"4"
8,10,1,0.755,"4"
8,10,8,0.19,"4"
8,10,32,0.169,"4"
8,11,0,1.46,"4"
8,11,1,1.448,"4"
8,11,8,0.139,"4"
8,11,32,0.133,"4"
8,12,0,1.499,"4"
8,12,1,1.248,"4"
8,12,8,0.163,"4"
8,12,32,0.172,"4"
9,1,0,1.059,"4"
9,1,1,0.335,"4"
9,1,8,0.228,"4"
9,1,32,0.182,"4"
9,2,0,0.747,"4"
9,2,1,0.344,"4"
9,2,8,0.201,"4"
9,2,32,0.156,"4"
9,3,0,1.265,"4"
9,3,1,0.969,"4"
9,3,8,0.166,"4"
9,3,32,0.138,"4"
9,4,0,1.454,"4"
9,4,1,1.431,"4"
9,4,8,0.244,"4"
9,4,32,0.155,"4"
9,5,0,0.507,"4"
9,5,1,0.234,"4"
9,5,8,0.229,"4"
9,5,32,0.156,"4"
9,6,0,0.73,"4"
9,6,1,0.237,"4"
9,6,8,0.165,"4"
9,6,32,0.138,"4"
9,7,0,0.647,"4"
9,7,1,0.263,"4"
9,7,8,0.177,"4"
9,7,32,0.147,"4"
9,8,0,1.59,"4"
9,8,1,1.568,"4"
9,8,8,0.144,"4"
9,8,32,0.155,"4"
9,9,0,1.218,"4"
9,9,1,0.246,"4"
9,9,8,0.194,"4"
9,9,32,0.175,"4"
9,10,0,1.074,"4"
9,10,1,0.274,"4"
9,10,8,0.233,"4"
9,10,32,0.185,"4"
9,11,0,0.228,"4"
9,11,1,0.215,"4"
9,11,8,0.156,"4"
9,11,32,0.137,"4"
9,12,0,0.317,"4"
9,12,1,0.209,"4"
9,12,8,0.188,"4"
9,12,32,0.149,"4"
10,1,0,1.73,"4"
10,1,1,1.003,"4"
10,1,8,0.355,"4"
10,1,32,0.359,"4"
10,2,0,1.71,"4"
10,2,1,0.942,"4"
10,2,8,0.527,"4"
10,2,32,0.35,"4"
10,3,0,0.85,"4"
10,3,1,0.752,"4"
10,3,8,0.139,"4"
10,3,32,0.132,"4"
10,4,0,1.678,"4"
10,4,1,1.123,"4"
10,4,8,0.401,"4"
10,4,32,0.232,"4"
10,5,0,1.535,"4"
10,5,1,1.465,"4"
10,5,8,0.164,"4"
10,5,32,0.135,"4"
10,6,0,1.606,"4"
10,6,1,1.07,"4"
10,6,8,0.517,"4"
10,6,32,0.305,"4"
10,7,0,1.659,"4"
10,7,1,0.83,"4"
10,7,8,0.353,"4"
10,7,32,0.274,"4"
10,8,0,0.352,"4"
10,8,1,0.409,"4"
10,8,8,0.181,"4"
10,8,32,0.144,"4"
10,9,0,1.504,"4"
10,9,1,0.52,"4"
10,9,8,0.318,"4"
10,9,32,0.258,"4"
10,10,0,1.4,"4"
10,10,1,1.061,"4"
10,10,8,0.428,"4"
10,10,32,0.309,"4"
10,11,0,1.574,"4"
10,11,1,0.776,"4"
10,11,8,0.352,"4"
10,11,32,0.279,"4"
