"line","rep","enviro","data","sd","se"
1,1,0,1.79933333333333,0.109609914393422,0.0775059137528657
1,1,0.5,1.781,NA,NA
1,1,1,1.8465,0.0728319984622144,0.0728319984622144
1,1,4,1.69,NA,NA
1,1,8,0.48875,0.105005357006202,0.105005357006202
1,1,32,0.43675,0.134703841816037,0.134703841816037
1,1,128,0.331,NA,NA
1,2,0,1.77433333333333,0.104710712600638,0.0740416549427866
1,2,0.5,1.763,NA,NA
1,2,1,1.828,0.05939696961967,0.05939696961967
1,2,4,1.677,NA,NA
1,2,8,0.3705,0.163341666454092,0.163341666454092
1,2,32,0.34675,0.250669353930631,0.250669353930631
1,2,128,0.181,NA,NA
1,3,0,1.7765,0.0911221707379715,0.064433104845258
1,3,0.5,1.773,NA,NA
1,3,1,1.822,0.0523259018078046,0.0523259018078046
1,3,4,1.638,NA,NA
1,3,8,0.433,0.0523259018078045,0.0523259018078045
1,3,32,0.36225,0.221677975901983,0.221677975901983
1,3,128,0.189,NA,NA
1,4,0,1.79416666666667,0.100337347649484,0.0709492189292219
1,4,0.5,1.77,NA,NA
1,4,1,1.841,0.0565685424949239,0.0565685424949239
1,4,4,1.661,NA,NA
1,4,8,0.534,0.104651803615609,0.104651803615609
1,4,32,0.5215,0.210010714012405,0.210010714012405
1,4,128,0.437,NA,NA
1,5,0,1.75733333333333,0.100021664319953,0.0707259971062032
1,5,0.5,1.742,NA,NA
1,5,1,1.8205,0.064346717087976,0.064346717087976
1,5,4,1.681,NA,NA
1,5,8,0.37125,0.0562149891043305,0.0562149891043305
1,5,32,0.302,0.173948268171891,0.173948268171891
1,5,128,0.288,NA,NA
1,6,0,1.7585,0.10142608145837,0.0717190699883929
1,6,0.5,1.741,NA,NA
1,6,1,1.811,0.0537401153701777,0.0537401153701777
1,6,4,1.679,NA,NA
1,6,8,0.3915,0.112429978208661,0.112429978208661
1,6,32,0.3515,0.190211724139181,0.190211724139181
1,6,128,0.2835,NA,NA
1,7,0,1.76533333333333,0.0879564286071993,0.062194587117101
1,7,0.5,1.773,NA,NA
1,7,1,1.818,0.0466690475583122,0.0466690475583122
1,7,4,1.729,NA,NA
1,7,8,0.4625,0.096873629022557,0.096873629022557
1,7,32,0.40525,0.207535840278252,0.207535840278252
1,7,128,0.3765,NA,NA
1,8,0,1.78966666666667,0.0890299575049507,0.0629536866805008
1,8,0.5,1.77,NA,NA
1,8,1,1.841,0.029698484809835,0.029698484809835
1,8,4,1.709,NA,NA
1,8,8,0.374,0.045254833995939,0.045254833995939
1,8,32,0.37225,0.184908423280282,0.184908423280282
1,8,128,0.3405,NA,NA
1,9,0,1.76066666666667,0.101283430694923,0.071618200666218
1,9,0.5,1.763,NA,NA
1,9,1,1.8385,0.0516187950266179,0.0516187950266179
1,9,4,1.695,NA,NA
1,9,8,0.353,0.209303607231218,0.209303607231218
1,9,32,0.305,0.326683332908185,0.326683332908185
1,9,128,0.178,NA,NA
1,10,0,1.7415,0.0885480095767262,0.0626128980322745
1,10,0.5,1.729,NA,NA
1,10,1,1.796,0.0579827560572969,0.0579827560572969
1,10,4,1.641,NA,NA
1,10,8,0.51275,0.0413657466994131,0.0413657466994131
1,10,32,0.40325,0.252790674274191,0.252790674274191
1,10,128,0.4165,NA,NA
1,11,0,1.78083333333333,0.0992022345178441,0.0701465727364258
1,11,0.5,1.765,NA,NA
1,11,1,1.8335,0.0643467170879758,0.0643467170879758
1,11,4,1.653,NA,NA
1,11,8,0.36175,0.17713024868723,0.17713024868723
1,11,32,0.31175,0.385019642356075,0.385019642356075
1,11,128,0.1365,NA,NA
1,12,0,1.7635,0.100587026996527,0.0711257688886383
1,12,0.5,1.772,NA,NA
1,12,1,1.8145,0.0572756492761103,0.0572756492761103
1,12,4,1.592,NA,NA
1,12,8,0.45125,0.0449012806053458,0.0449012806053458
1,12,32,0.4315,0.0954594154601839,0.0954594154601839
1,12,128,0.442,NA,NA
2,1,0,1.7685,0.111791099824628,0.0790482447622968
2,1,0.5,1.704,NA,NA
2,1,1,1.8015,0.0770746391493337,0.0770746391493337
2,1,4,0.462,NA,NA
2,1,8,0.133,0.147078210486802,0.147078210486802
2,1,32,0.11675,0.141774909627903,0.141774909627903
2,1,128,0.0485,NA,NA
2,2,0,1.7595,0.129076527688035,0.0912708880202225
2,2,0.5,1.704,NA,NA
2,2,1,1.685,0.172534054609518,0.172534054609518
2,2,4,0.257,NA,NA
2,2,8,0.11725,0.0477297077300919,0.0477297077300919
2,2,32,0.095,0.089095454429505,0.089095454429505
2,2,128,0.0445,NA,NA
2,3,0,1.7495,0.0782799463464302,0.0553522808924799
2,3,0.5,1.71,NA,NA
2,3,1,1.7255,0.0219203102167831,0.0219203102167831
2,3,4,0.288,NA,NA
2,3,8,0.0815,0.0898025612106915,0.0898025612106915
2,3,32,0.078,0.0862670273047588,0.0862670273047588
2,3,128,0.017,NA,NA
2,4,0,1.78416666666667,0.0874504621676372,0.0618368148166339
2,4,0.5,1.75,NA,NA
2,4,1,1.7965,0.0459619407771256,0.0459619407771256
2,4,4,0.194,NA,NA
2,4,8,0.08925,0.0802566196646731,0.0802566196646731
2,4,32,0.083,0.0806101730552664,0.0806101730552664
2,4,128,0.0245,NA,NA
2,5,0,1.71733333333333,0.0943627751464174,0.0667245581976132
2,5,0.5,1.688,NA,NA
2,5,1,1.714,0.00565685424949239,0.00565685424949239
2,5,4,0.256,NA,NA
2,5,8,0.07225,0.0873276874765386,0.0873276874765386
2,5,32,0.07,0.0862670273047588,0.0862670273047588
2,5,128,0.02,NA,NA
2,6,0,1.716,0.085842879728024,0.060700082372267
2,6,0.5,1.689,NA,NA
2,6,1,1.712,0.0155563491861041,0.0155563491861041
2,6,4,0.235,NA,NA
2,6,8,0.0775,0.0926309883354377,0.0926309883354377
2,6,32,0.07275,0.0908632213824714,0.0908632213824714
2,6,128,0.011,NA,NA
2,7,0,1.67733333333333,0.0495714971867235,0.0350523418143021
2,7,0.5,1.643,NA,NA
2,7,1,1.632,0.0410121933088198,0.0410121933088198
2,7,4,0.208,NA,NA
2,7,8,0.0945,0.0586898628384835,0.0586898628384835
2,7,32,0.06925,0.0887419010389117,0.0887419010389117
2,7,128,0.08,NA,NA
2,8,0,1.7255,0.0735510027124036,0.0520084127810107
2,8,0.5,1.697,NA,NA
2,8,1,1.6165,0.119501046020527,0.119501046020527
2,8,4,0.38,NA,NA
2,8,8,0.19125,0.183494209717909,0.183494209717909
2,8,32,0.19575,0.225213509807915,0.225213509807915
2,8,128,0.1245,NA,NA
2,9,0,1.68966666666667,0.0771059876620054,0.0545221667458903
2,9,0.5,1.712,NA,NA
2,9,1,1.7045,0.00212132034355957,0.00212132034355957
2,9,4,0.318,NA,NA
2,9,8,0.077,0.0975807358037435,0.0975807358037435
2,9,32,0.07175,0.0894490078200983,0.0894490078200983
2,9,128,0.0105,NA,NA
2,10,0,1.70166666666667,0.0913089991913904,0.0645652125115891
2,10,0.5,1.709,NA,NA
2,10,1,1.684,0.0014142135623731,0.0014142135623731
2,10,4,0.112,NA,NA
2,10,8,0.0725,0.0926309883354377,0.0926309883354377
2,10,32,0.06925,0.0887419010389117,0.0887419010389117
2,10,128,0.00900000000000001,NA,NA
2,11,0,1.72416666666667,0.0819700148428274,0.0579615533493252
2,11,0.5,1.678,NA,NA
2,11,1,1.7145,0.0685893577750951,0.0685893577750951
2,11,4,0.162,NA,NA
2,11,8,0.0735,0.0912167747730646,0.0912167747730646
2,11,32,0.071,0.0848528137423857,0.0848528137423857
2,11,128,0.0125,NA,NA
2,12,0,1.67933333333333,0.0424538965624279,0.0300194381470851
2,12,0.5,1.721,NA,NA
2,12,1,1.716,0.0339411254969543,0.0339411254969543
2,12,4,0.174,NA,NA
2,12,8,0.16775,0.110662211255695,0.110662211255695
2,12,32,0.11975,0.0526794551983978,0.0526794551983978
2,12,128,0.0975,NA,NA
3,1,0,1.743,0.108392804189208,0.0766452868740147
3,1,0.5,1.299,NA,NA
3,1,1,1.318,0.0395979797464467,0.0395979797464467
3,1,4,1.187,NA,NA
3,1,8,1.26675,0.0965200756319638,0.0965200756319638
3,1,32,1.27475,0.0696500179468749,0.0696500179468749
3,1,128,1.1815,NA,NA
3,2,0,1.74816666666667,0.118516173298556,0.0838035898196889
3,2,0.5,1.251,NA,NA
3,2,1,1.201,0.0452548339959391,0.0452548339959391
3,2,4,1.13,NA,NA
3,2,8,1.1805,0.0459619407771257,0.0459619407771257
3,2,32,1.16225,0.0385373195746668,0.0385373195746668
3,2,128,1.138,NA,NA
3,3,0,1.74733333333333,0.110699292379551,0.0782762203141329
3,3,0.5,1.542,NA,NA
3,3,1,1.6185,0.0898025612106915,0.0898025612106915
3,3,4,1.511,NA,NA
3,3,8,1.515,0.171119841047145,0.171119841047145
3,3,32,1.4845,0.125157900270019,0.125157900270019
3,3,128,1.3835,NA,NA
3,4,0,1.74516666666667,0.0938966630574981,0.0663949671787453
3,4,0.5,1.301,NA,NA
3,4,1,1.351,0.0325269119345812,0.0325269119345812
3,4,4,1.246,NA,NA
3,4,8,1.26225,0.0873276874765387,0.0873276874765387
3,4,32,1.1045,0.0756604255869606,0.0756604255869606
3,4,128,1.1495,NA,NA
3,5,0,1.72283333333333,0.0969488696856922,0.0685532031831239
3,5,0.5,1.313,NA,NA
3,5,1,1.3755,0.1209152595829,0.1209152595829
3,5,4,1.191,NA,NA
3,5,8,1.32025,0.141067802846716,0.141067802846716
3,5,32,1.304,0.103237590053236,0.103237590053236
3,5,128,1.1295,NA,NA
3,6,0,1.7235,0.0983272596994344,0.0695278721089608
3,6,0.5,1.253,NA,NA
3,6,1,1.274,0.00282842712474619,0.00282842712474619
3,6,4,1.078,NA,NA
3,6,8,1.16675,0.2365272183069,0.2365272183069
3,6,32,1.06475,0.164402326625872,0.164402326625872
3,6,128,0.904,NA,NA
