"line","enviro","data","sd","se"
1,0,1.737525,NA,NA
1,0.5,1.76116666666667,NA,NA
1,1,1.76757291666667,NA,NA
1,4,1.40029166666667,NA,NA
1,8,0.232791666666667,NA,NA
1,32,0.183861111111111,NA,NA
1,128,0.228604166666667,NA,NA
2,0,1.71485833333333,NA,NA
2,0.5,1.67933333333333,NA,NA
2,1,1.21472916666667,NA,NA
2,4,0.155958333333333,NA,NA
2,8,0.121041666666667,NA,NA
2,32,0.111569444444444,NA,NA
2,128,0.1235625,NA,NA
3,0,1.73205833333333,NA,NA
3,0.5,0.447666666666667,NA,NA
3,1,0.498791666666667,NA,NA
3,4,0.160083333333333,NA,NA
3,8,0.158263888888889,NA,NA
3,32,0.141777777777778,NA,NA
3,128,0.416416666666667,NA,NA
4,0,1.73101666666667,NA,NA
4,0.5,1.63141666666667,NA,NA
4,1,0.704416666666667,NA,NA
4,4,0.171291666666667,NA,NA
4,8,0.102722222222222,NA,NA
4,32,0.0982222222222222,NA,NA
4,128,0.171854166666667,NA,NA
5,0,1.69250833333333,NA,NA
5,0.5,1.66458333333333,NA,NA
5,1,1.62296875,NA,NA
5,4,1.37241666666667,NA,NA
5,8,1.39683333333333,NA,NA
5,32,1.36376388888889,NA,NA
5,128,1.29829166666667,NA,NA
6,0,1.72438333333333,NA,NA
6,0.5,1.71466666666667,NA,NA
6,1,1.33478125,NA,NA
6,4,0.267333333333333,NA,NA
6,8,0.21075,NA,NA
6,32,0.213736111111111,NA,NA
6,128,0.582229166666667,NA,NA
7,0,1.7101,NA,NA
7,0.5,1.68491666666667,NA,NA
7,1,1.31294791666667,NA,NA
7,4,0.251083333333333,NA,NA
7,8,0.264597222222222,NA,NA
7,32,0.223180555555556,NA,NA
7,128,0.485708333333333,NA,NA
8,0,1.7272,NA,NA
8,0.5,1.63558333333333,NA,NA
8,1,0.9900625,NA,NA
8,4,0.203125,NA,NA
8,8,0.156777777777778,NA,NA
8,32,0.136513888888889,NA,NA
8,128,0.355270833333333,NA,NA
9,0,1.750025,NA,NA
9,1,0.6070625,NA,NA
9,4,0.145,NA,NA
9,8,0.197888888888889,NA,NA
9,32,0.199180555555556,NA,NA
9,128,0.248333333333333,NA,NA
10,0,1.67841666666667,NA,NA
10,1,1.33220833333333,NA,NA
10,4,0.856291666666667,NA,NA
10,8,0.928680555555556,NA,NA
10,32,0.875722222222222,NA,NA
10,128,0.818666666666667,NA,NA
11,0,1.72434166666667,NA,NA
11,1,0.551947916666667,NA,NA
11,4,0.351833333333333,NA,NA
11,8,0.2925,NA,NA
11,32,0.345138888888889,NA,NA
11,128,0.606,NA,NA
12,0,1.63058333333333,NA,NA
12,1,1.68326041666667,NA,NA
12,4,1.65983333333333,NA,NA
12,8,1.64984722222222,NA,NA
12,32,1.60836111111111,NA,NA
12,128,0.522333333333333,NA,NA
13,0,1.69526666666667,NA,NA
13,1,0.489979166666667,NA,NA
13,4,0.203625,NA,NA
13,8,0.169763888888889,NA,NA
13,32,0.146791666666667,NA,NA
13,128,0.434270833333333,NA,NA
14,0,1.7121,NA,NA
14,1,0.924208333333333,NA,NA
14,4,0.425333333333333,NA,NA
14,8,0.66025,NA,NA
14,32,0.588138888888889,NA,NA
14,128,0.746416666666667,NA,NA
15,0,1.58450833333333,NA,NA
15,1,0.69453125,NA,NA
15,4,0.0960833333333333,NA,NA
15,8,0.109861111111111,NA,NA
15,32,0.102722222222222,NA,NA
15,128,0.341270833333333,NA,NA
16,0,1.69494166666667,NA,NA
16,1,1.13546875,NA,NA
16,4,0.377333333333333,NA,NA
16,8,0.441569444444444,NA,NA
16,32,0.428152777777778,NA,NA
16,128,0.491791666666667,NA,NA
17,0,1.694325,NA,NA
17,1,0.271072916666667,NA,NA
17,4,0.120041666666667,NA,NA
17,8,0.101236111111111,NA,NA
17,32,0.0972361111111111,NA,NA
17,128,0.0874166666666667,NA,NA
18,0,1.70469166666667,NA,NA
18,1,1.72627083333333,NA,NA
18,4,1.69241666666667,NA,NA
18,8,0.721111111111111,NA,NA
18,32,0.595583333333333,NA,NA
18,128,0.826166666666667,NA,NA
19,0,1.71148333333333,NA,NA
19,1,1.0010625,NA,NA
19,4,0.21975,NA,NA
19,8,0.160319444444444,NA,NA
19,32,0.146430555555556,NA,NA
19,128,0.515333333333333,NA,NA
20,0,1.69296666666667,NA,NA
20,1,1.40290625,NA,NA
20,4,0.940875,NA,NA
20,8,0.656805555555556,NA,NA
20,32,0.363791666666667,NA,NA
20,128,0.31125,NA,NA
