"line","enviro","data","sd","se"
1,0,1.501625,NA,NA
1,0.5,1.50241666666667,NA,NA
1,1,1.5728125,NA,NA
1,4,1.043625,NA,NA
1,8,0.127486111111111,NA,NA
1,32,0.0884722222222222,NA,NA
1,128,0.0557291666666667,NA,NA
2,0,1.54780833333333,NA,NA
2,0.5,1.48666666666667,NA,NA
2,1,1.05977083333333,NA,NA
2,4,0.142958333333333,NA,NA
2,8,0.100458333333333,NA,NA
2,32,0.0931805555555556,NA,NA
2,128,0.0939375,NA,NA
3,0,1.49214166666667,NA,NA
3,0.5,0.36575,NA,NA
3,1,0.29353125,NA,NA
3,4,0.107083333333333,NA,NA
3,8,0.0888194444444444,NA,NA
3,32,0.0867777777777778,NA,NA
3,128,0.1285,NA,NA
4,0,1.34815833333333,NA,NA
4,0.5,1.228,NA,NA
4,1,0.534802083333333,NA,NA
4,4,0.107375,NA,NA
4,8,0.0734722222222222,NA,NA
4,32,0.0731944444444445,NA,NA
4,128,0.0547083333333333,NA,NA
5,0,1.41960833333333,NA,NA
5,0.5,1.45683333333333,NA,NA
5,1,1.31233333333333,NA,NA
5,4,0.83275,NA,NA
5,8,0.583875,NA,NA
5,32,0.486236111111111,NA,NA
5,128,0.609041666666667,NA,NA
6,0,1.51890833333333,NA,NA
6,0.5,1.40725,NA,NA
6,1,1.08538541666667,NA,NA
6,4,0.168458333333333,NA,NA
6,8,0.105888888888889,NA,NA
6,32,0.0980277777777778,NA,NA
6,128,0.231166666666667,NA,NA
7,0,1.5485,NA,NA
7,0.5,1.44516666666667,NA,NA
7,1,0.986625,NA,NA
7,4,0.143541666666667,NA,NA
7,8,0.0985972222222222,NA,NA
7,32,0.084375,NA,NA
7,128,0.110375,NA,NA
8,0,1.55301666666667,NA,NA
8,0.5,1.44691666666667,NA,NA
8,1,0.762229166666667,NA,NA
8,4,0.107333333333333,NA,NA
8,8,0.0787638888888889,NA,NA
8,32,0.0744583333333333,NA,NA
8,128,0.0990625,NA,NA
9,0,1.42934166666667,NA,NA
9,1,0.426125,NA,NA
9,4,0.091875,NA,NA
9,8,0.114277777777778,NA,NA
9,32,0.113930555555556,NA,NA
9,128,0.115729166666667,NA,NA
10,0,1.38555,NA,NA
10,1,0.757989583333333,NA,NA
10,4,0.211291666666667,NA,NA
10,8,0.209138888888889,NA,NA
10,32,0.190541666666667,NA,NA
10,128,0.16875,NA,NA
11,0,1.31371666666667,NA,NA
11,1,0.266260416666667,NA,NA
11,4,0.152083333333333,NA,NA
11,8,0.137527777777778,NA,NA
11,32,0.121541666666667,NA,NA
11,128,0.1505625,NA,NA
12,0,1.14210833333333,NA,NA
12,1,1.2425625,NA,NA
12,4,1.09016666666667,NA,NA
12,8,1.08695833333333,NA,NA
12,32,0.973236111111111,NA,NA
12,128,0.196875,NA,NA
13,0,1.60739166666667,NA,NA
13,1,0.119791666666667,NA,NA
13,4,0.0774583333333333,NA,NA
13,8,0.081625,NA,NA
13,32,0.0748611111111111,NA,NA
13,128,0.03575,NA,NA
14,0,1.39309166666667,NA,NA
14,1,0.48196875,NA,NA
14,4,0.176708333333333,NA,NA
14,8,0.180625,NA,NA
14,32,0.152791666666667,NA,NA
14,128,0.2313125,NA,NA
15,0,1.45648333333333,NA,NA
15,1,0.339979166666667,NA,NA
15,4,0.0648333333333333,NA,NA
15,8,0.0713611111111111,NA,NA
15,32,0.0695277777777778,NA,NA
15,128,0.0293958333333333,NA,NA
16,0,1.38745,NA,NA
16,1,0.607416666666667,NA,NA
16,4,0.140708333333333,NA,NA
16,8,0.133305555555556,NA,NA
16,32,0.125263888888889,NA,NA
16,128,0.106166666666667,NA,NA
17,0,1.606075,NA,NA
17,1,0.159520833333333,NA,NA
17,4,0.0635416666666667,NA,NA
17,8,0.073625,NA,NA
17,32,0.07125,NA,NA
17,128,0.0318541666666667,NA,NA
18,0,1.5611,NA,NA
18,1,1.59728125,NA,NA
18,4,1.49629166666667,NA,NA
18,8,0.260125,NA,NA
18,32,0.193930555555556,NA,NA
18,128,0.293375,NA,NA
19,0,1.513725,NA,NA
19,1,0.67821875,NA,NA
19,4,0.108375,NA,NA
19,8,0.0917222222222222,NA,NA
19,32,0.0885694444444445,NA,NA
19,128,0.305770833333333,NA,NA
20,0,1.46368333333333,NA,NA
20,1,0.940395833333333,NA,NA
20,4,0.780791666666667,NA,NA
20,8,0.391555555555556,NA,NA
20,32,0.129763888888889,NA,NA
20,128,0.061875,NA,NA
