"line","rep","enviro","dataM","exper"
1,1,0,1.906,"4"
1,1,1,1.898,"4"
1,1,8,0.563,"4"
1,1,32,0.532,"4"
1,2,0,1.887,"4"
1,2,1,1.87,"4"
1,2,8,0.486,"4"
1,2,32,0.524,"4"
1,3,0,1.872,"4"
1,3,1,1.859,"4"
1,3,8,0.47,"4"
1,3,32,0.519,"4"
1,4,0,1.892,"4"
1,4,1,1.881,"4"
1,4,8,0.608,"4"
1,4,32,0.67,"4"
1,5,0,1.87,"4"
1,5,1,1.866,"4"
1,5,8,0.411,"4"
1,5,32,0.425,"4"
1,6,0,1.866,"4"
1,6,1,1.849,"4"
1,6,8,0.471,"4"
1,6,32,0.486,"4"
1,7,0,1.858,"4"
1,7,1,1.851,"4"
1,7,8,0.531,"4"
1,7,32,0.552,"4"
1,8,0,1.88,"4"
1,8,1,1.862,"4"
1,8,8,0.406,"4"
1,8,32,0.503,"4"
1,9,0,1.874,"4"
1,9,1,1.875,"4"
1,9,8,0.501,"4"
1,9,32,0.536,"4"
1,10,0,1.84,"4"
1,10,1,1.837,"4"
1,10,8,0.542,"4"
1,10,32,0.582,"4"
1,11,0,1.887,"4"
1,11,1,1.879,"4"
1,11,8,0.487,"4"
1,11,32,0.584,"4"
1,12,0,1.859,"4"
1,12,1,1.855,"4"
1,12,8,0.483,"4"
1,12,32,0.499,"4"
2,1,0,1.882,"4"
2,1,1,1.856,"4"
2,1,8,0.237,"4"
2,1,32,0.217,"4"
2,2,0,1.906,"4"
2,2,1,1.807,"4"
2,2,8,0.151,"4"
2,2,32,0.158,"4"
2,3,0,1.829,"4"
2,3,1,1.741,"4"
2,3,8,0.145,"4"
2,3,32,0.139,"4"
2,4,0,1.868,"4"
2,4,1,1.829,"4"
2,4,8,0.146,"4"
2,4,32,0.14,"4"
2,5,0,1.825,"4"
2,5,1,1.71,"4"
2,5,8,0.134,"4"
2,5,32,0.131,"4"
2,6,0,1.811,"4"
2,6,1,1.701,"4"
2,6,8,0.143,"4"
2,6,32,0.137,"4"
2,7,0,1.734,"4"
2,7,1,1.661,"4"
2,7,8,0.136,"4"
2,7,32,0.132,"4"
2,8,0,1.792,"4"
2,8,1,1.532,"4"
2,8,8,0.321,"4"
2,8,32,0.355,"4"
2,9,0,1.775,"4"
2,9,1,1.706,"4"
2,9,8,0.146,"4"
2,9,32,0.135,"4"
2,10,0,1.797,"4"
2,10,1,1.683,"4"
2,10,8,0.138,"4"
2,10,32,0.132,"4"
2,11,0,1.818,"4"
2,11,1,1.763,"4"
2,11,8,0.138,"4"
2,11,32,0.131,"4"
2,12,0,1.669,"4"
2,12,1,1.74,"4"
2,12,8,0.246,"4"
2,12,32,0.157,"4"
3,1,0,1.86,"4"
3,1,1,1.346,"4"
3,1,8,1.335,"4"
3,1,32,1.324,"4"
3,2,0,1.871,"4"
3,2,1,1.233,"4"
3,2,8,1.148,"4"
3,2,32,1.135,"4"
3,3,0,1.854,"4"
3,3,1,1.682,"4"
3,3,8,1.636,"4"
3,3,32,1.573,"4"
3,4,0,1.822,"4"
3,4,1,1.374,"4"
3,4,8,1.324,"4"
3,4,32,1.051,"4"
3,5,0,1.816,"4"
3,5,1,1.461,"4"
3,5,8,1.42,"4"
3,5,32,1.377,"4"
3,6,0,1.824,"4"
3,6,1,1.276,"4"
3,6,8,1.334,"4"
3,6,32,1.181,"4"
3,7,0,1.798,"4"
3,7,1,1.378,"4"
3,7,8,1.31,"4"
3,7,32,1.286,"4"
3,8,0,1.82,"4"
3,8,1,1.569,"4"
3,8,8,1.556,"4"
3,8,32,1.484,"4"
3,9,0,1.81,"4"
3,9,1,1.436,"4"
3,9,8,1.49,"4"
3,9,32,1.426,"4"
3,10,0,1.816,"4"
3,10,1,1.256,"4"
3,10,8,1.252,"4"
3,10,32,1.116,"4"
3,11,0,1.871,"4"
3,11,1,1.431,"4"
3,11,8,1.363,"4"
3,11,32,1.331,"4"
3,12,0,1.821,"4"
3,12,1,1.471,"4"
3,12,8,1.394,"4"
3,12,32,1.477,"4"
4,1,0,1.864,"4"
4,1,1,1.817,"4"
4,1,8,0.802,"4"
4,1,32,0.601,"4"
4,2,0,1.876,"4"
4,2,1,1.83,"4"
4,2,8,0.392,"4"
4,2,32,0.249,"4"
4,3,0,1.879,"4"
4,3,1,1.841,"4"
4,3,8,0.14,"4"
4,3,32,0.128,"4"
4,4,0,1.907,"4"
4,4,1,1.901,"4"
4,4,8,0.277,"4"
4,4,32,0.372,"4"
4,5,0,1.902,"4"
4,5,1,1.866,"4"
4,5,8,0.221,"4"
4,5,32,0.128,"4"
4,6,0,1.887,"4"
4,6,1,1.755,"4"
4,6,8,1.612,"4"
4,6,32,1.56,"4"
4,7,0,1.877,"4"
4,7,1,1.831,"4"
4,7,8,0.173,"4"
4,7,32,0.128,"4"
4,8,0,1.895,"4"
4,8,1,1.849,"4"
4,8,8,0.295,"4"
4,8,32,0.131,"4"
4,9,0,1.889,"4"
4,9,1,1.903,"4"
4,9,8,0.192,"4"
4,9,32,0.135,"4"
4,10,0,1.844,"4"
4,10,1,1.813,"4"
4,10,8,0.17,"4"
4,10,32,0.415,"4"
4,11,0,1.861,"4"
4,11,1,1.806,"4"
4,11,8,0.139,"4"
4,11,32,0.141,"4"
4,12,0,1.786,"4"
4,12,1,1.827,"4"
4,12,8,0.175,"4"
4,12,32,0.207,"4"
5,1,0,1.89,"4"
5,1,1,1.823,"4"
5,1,8,1.793,"4"
5,1,32,1.785,"4"
5,2,0,1.849,"4"
5,2,1,1.801,"4"
5,2,8,1.779,"4"
5,2,32,1.764,"4"
5,3,0,1.867,"4"
5,3,1,1.807,"4"
5,3,8,1.794,"4"
5,3,32,1.775,"4"
5,4,0,1.852,"4"
5,4,1,1.824,"4"
5,4,8,1.799,"4"
5,4,32,1.794,"4"
5,5,0,1.825,"4"
5,5,1,1.784,"4"
5,5,8,1.786,"4"
5,5,32,1.764,"4"
5,6,0,1.849,"4"
5,6,1,1.79,"4"
5,6,8,1.769,"4"
5,6,32,1.755,"4"
5,7,0,1.838,"4"
5,7,1,1.79,"4"
5,7,8,1.77,"4"
5,7,32,1.733,"4"
5,8,0,1.842,"4"
5,8,1,1.794,"4"
5,8,8,1.763,"4"
5,8,32,1.735,"4"
5,9,0,1.843,"4"
5,9,1,1.789,"4"
5,9,8,1.784,"4"
5,9,32,1.763,"4"
5,10,0,1.82,"4"
5,10,1,1.792,"4"
5,10,8,1.767,"4"
5,10,32,1.749,"4"
5,11,0,1.858,"4"
5,11,1,1.78,"4"
5,11,8,1.789,"4"
5,11,32,1.746,"4"
5,12,0,1.83,"4"
5,12,1,1.786,"4"
5,12,8,1.771,"4"
5,12,32,1.742,"4"
6,1,0,1.838,"4"
6,1,1,1.799,"4"
6,1,8,0.493,"4"
6,1,32,0.516,"4"
6,2,0,1.839,"4"
6,2,1,1.852,"4"
6,2,8,0.489,"4"
6,2,32,0.44,"4"
6,3,0,1.83,"4"
6,3,1,1.861,"4"
6,3,8,0.524,"4"
6,3,32,0.448,"4"
6,4,0,1.868,"4"
6,4,1,1.854,"4"
6,4,8,0.266,"4"
6,4,32,0.263,"4"
6,5,0,1.781,"4"
6,5,1,1.801,"4"
6,5,8,0.394,"4"
6,5,32,0.394,"4"
6,6,0,1.871,"4"
6,6,1,1.844,"4"
6,6,8,0.271,"4"
6,6,32,0.306,"4"
6,7,0,1.836,"4"
6,7,1,1.813,"4"
6,7,8,0.222,"4"
6,7,32,0.343,"4"
6,8,0,1.796,"4"
6,8,1,1.771,"4"
6,8,8,0.354,"4"
6,8,32,0.4,"4"
6,9,0,1.831,"4"
6,9,1,1.81,"4"
6,9,8,0.213,"4"
6,9,32,0.23,"4"
6,10,0,1.83,"4"
6,10,1,1.841,"4"
6,10,8,0.413,"4"
6,10,32,0.335,"4"
6,11,0,1.771,"4"
6,11,1,1.787,"4"
6,11,8,0.372,"4"
6,11,32,0.384,"4"
6,12,0,1.791,"4"
6,12,1,1.816,"4"
6,12,8,0.296,"4"
6,12,32,0.243,"4"
7,1,0,1.697,"4"
7,1,1,1.592,"4"
7,1,8,0.393,"4"
7,1,32,0.7,"4"
7,2,0,1.837,"4"
7,2,1,1.795,"4"
7,2,8,0.491,"4"
7,2,32,0.168,"4"
7,3,0,1.856,"4"
7,3,1,1.814,"4"
7,3,8,0.823,"4"
7,3,32,0.482,"4"
7,4,0,1.832,"4"
7,4,1,1.789,"4"
7,4,8,1.077,"4"
7,4,32,0.798,"4"
7,5,0,1.827,"4"
7,5,1,1.796,"4"
7,5,8,0.756,"4"
7,5,32,0.62,"4"
7,6,0,1.848,"4"
7,6,1,1.814,"4"
7,6,8,0.823,"4"
7,6,32,0.305,"4"
7,7,0,1.876,"4"
7,7,1,1.859,"4"
7,7,8,0.542,"4"
7,7,32,0.191,"4"
7,8,0,1.86,"4"
7,8,1,1.812,"4"
7,8,8,0.404,"4"
7,8,32,0.182,"4"
7,9,0,1.83,"4"
7,9,1,1.789,"4"
7,9,8,0.382,"4"
7,9,32,0.31,"4"
7,10,0,1.831,"4"
7,10,1,1.681,"4"
7,10,8,1.05,"4"
7,10,32,0.412,"4"
7,11,0,1.805,"4"
7,11,1,1.734,"4"
7,11,8,0.945,"4"
7,11,32,0.554,"4"
7,12,0,1.819,"4"
7,12,1,1.585,"4"
