"line","enviro","data","sd","se"
1,0,1.31860416666667,0.389075834778174,0.224633037944357
1,0.5,1.53458333333333,NA,NA
1,1,1.66441666666667,0.11301923385965,0.11301923385965
1,4,1.08708333333333,NA,NA
1,8,0.0982708333333333,0.115818198201847,0.115818198201847
1,32,0.063375,0.0886841402738455,0.0627091569713352
1,128,0.0100416666666667,0.00276950155964731,0.00276950155964731
1,512,0.012,NA,NA
2,0,0.855333333333333,0.478084975933111,0.276022489550497
2,0.5,1.43491666666667,NA,NA
2,1,1.038875,0.460267588987344,0.460267588987344
2,4,0.195,NA,NA
2,8,0.0759166666666667,0.0900382634710871,0.0900382634710871
2,32,0.0526944444444444,0.0718636021558537,0.0508152404048963
2,128,0.0119166666666667,0.00247487373415291,0.00247487373415291
2,512,0.0136666666666667,NA,NA
3,0,1.2055,0.199304066970825,0.115068256716193
3,0.5,0.882,NA,NA
3,1,0.714291666666667,0.160807867154841,0.160807867154841
3,4,0.58025,NA,NA
3,8,0.432145833333333,0.122123233667427,0.122123233667427
3,32,0.354555555555556,0.046190320604999,0.0326614889249755
3,128,0.331791666666667,0.0260450997737045,0.0260450997737045
3,512,0.350208333333333,NA,NA
4,0,1.09985416666667,0.191816006131744,0.110745022775041
4,0.5,1.16583333333333,NA,NA
4,1,1.23445833333333,0.0642877915228768,0.0642877915228768
4,4,0.277916666666667,NA,NA
4,8,0.102916666666667,0.0883883476483184,0.0883883476483184
4,32,0.0717638888888889,0.0613163520045685,0.0433572083000517
4,128,0.0319375,0.000736569563735984,0.000736569563735984
4,512,0.0314166666666667,NA,NA
5,0,1.490375,0.17294703548582,0.0998510174932857
5,0.5,1.52141666666667,NA,NA
5,1,1.524375,0.183317433022612,0.183317433022612
5,4,0.89425,NA,NA
5,8,0.761354166666667,0.0247192745589797,0.0247192745589797
5,32,0.665652777777778,0.0689706853657032,0.0487696393251725
5,128,0.616166666666667,0.0329983164553722,0.0329983164553722
5,512,0.592833333333333,NA,NA
6,0,1.25025,0.135922925463906,0.0784751376056278
6,0.5,1.40658333333333,NA,NA
6,1,1.35875,0.162045304021917,0.162045304021917
6,4,0.346583333333333,NA,NA
6,8,0.126,0.0910989236428669,0.0910989236428669
6,32,0.0910416666666667,0.0668702490524249,0.0472844065646029
6,128,0.0523333333333333,0.0118440385848747,0.0118440385848747
6,512,0.0607083333333333,NA,NA
7,0,1.23210416666667,0.188300170691392,0.108715154237128
7,0.5,1.35191666666667,NA,NA
7,1,1.29304166666667,0.194159737000806,0.194159737000806
7,4,0.351583333333333,NA,NA
7,8,0.0922291666666667,0.0904212796442298,0.0904212796442298
7,32,0.0609583333333333,0.065770236112799,0.0465065799556005
7,128,0.0182291666666667,0.00044194173824159,0.00044194173824159
7,512,0.0185416666666667,NA,NA
8,0,1.31558333333333,0.204260760630458,0.117930005134873
8,0.5,1.4565,NA,NA
8,1,1.4285,0.167937860531805,0.167937860531805
8,4,0.576916666666667,NA,NA
8,8,0.116604166666667,0.110632748473145,0.110632748473145
8,32,0.0779166666666667,0.0770862274231483,0.0545081941469965
8,128,0.0434583333333333,0.0209775011752009,0.0209775011752009
8,512,0.0582916666666667,NA,NA
9,0,0.9881875,0.138406713720028,0.0799091534239096
9,1,0.459645833333333,0.0953710271125356,0.0953710271125356
9,4,0.132416666666667,NA,NA
9,8,0.138375,0.0783120760164101,0.0783120760164101
9,32,0.102722222222222,0.0467330133528434,0.033045230647077
9,128,0.0793333333333333,0.0144956890143242,0.0144956890143242
9,512,0.0895833333333333,NA,NA
10,0,1.18935416666667,0.214654439405481,0.123930798373503
10,1,0.681979166666667,0.372792587598058,0.372792587598058
10,4,0.122583333333333,NA,NA
10,8,0.181145833333333,0.20603323836823,0.20603323836823
10,32,0.104152777777778,0.122936441441337,0.0869291913981122
10,128,0.036,0.00718891894206323,0.00718891894206323
10,512,0.0410833333333333,NA,NA
11,0,1.2708125,0.228444084302434,0.131892253566788
11,1,0.560416666666667,0.16664149809963,0.16664149809963
11,4,0.1855,NA,NA
11,8,0.219979166666667,0.192598209525686,0.192598209525686
11,32,0.138152777777778,0.108796544424461,0.0769307743321998
11,128,0.07125,0.00565685424949238,0.00565685424949237
11,512,0.07525,NA,NA
12,0,1.0618125,0.411375178657805,0.237507570136014
12,1,1.05960416666667,0.778848656694433,0.778848656694433
12,4,0.481166666666667,NA,NA
12,8,1.33004166666667,0.311068058156982,0.311068058156982
12,32,1.18680555555556,0.182445603257925,0.129008523261349
12,128,0.634770833333333,0.594647340195337,0.594647340195337
12,512,0.214291666666667,NA,NA
13,0,0.883895833333333,0.269859800491471,0.155803628457209
13,1,0.8571875,0.460768456290684,0.460768456290684
13,4,0.0645,NA,NA
13,8,0.0857916666666667,0.112017499252969,0.112017499252969
13,32,0.0681944444444444,0.10469934910831,0.0740336197403035
13,128,0.00839583333333334,0.000736569563735988,0.000736569563735988
13,512,0.007875,NA,NA
14,0,0.7626875,0.228278269161338,0.13179652015044
14,1,0.541583333333333,0.304055915910215,0.304055915910215
14,4,0.0949166666666667,NA,NA
14,8,0.1104375,0.124657032966678,0.124657032966678
14,32,0.0913055555555556,0.122288226338131,0.0864708341029677
14,128,0.0191041666666667,2.94627825494411e-05,2.94627825494411e-05
14,512,0.0190833333333333,NA,NA
15,0,1.2355625,0.0833191967176033,0.0481043606535716
15,1,1.06497916666667,0.0992601144090616,0.0992601144090616
15,4,0.0953333333333333,NA,NA
15,8,0.0864375,0.10721506569741,0.10721506569741
15,32,0.0550972222222222,0.0778595638943272,0.055055025609906
15,128,0.0208125,0.0157625886639501,0.0157625886639501
15,512,0.0319583333333333,NA,NA
16,0,1.13414583333333,0.265054400207664,0.15302922930979
16,1,1.18660416666667,0.378272665152254,0.378272665152254
16,4,0.12875,NA,NA
16,8,0.104729166666667,0.125894469833755,0.125894469833755
