"line","enviro","data","sd","se"
1,0,1.73514583333333,0.0923627641873787,0.053325666766681
1,0.5,1.77716666666667,NA,NA
1,1,1.82916666666667,0.037476659402887,0.037476659402887
1,4,1.48716666666667,NA,NA
1,8,0.2051875,0.118410923066197,0.118410923066197
1,32,0.1595,0.131781621758625,0.0931836783812845
1,128,0.142875,0.0866795062604509,0.0866795062604509
1,512,0.216041666666667,NA,NA
2,0,1.665,0.1034211544375,0.0597102313543924
2,0.5,1.70066666666667,NA,NA
2,1,1.58029166666667,0.0679411765590074,0.0679411765590074
2,4,0.22625,NA,NA
2,8,0.0849166666666667,0.0940452018978108,0.0940452018978108
2,32,0.0619166666666667,0.0731064553883201,0.051694070353593
2,128,0.0336041666666667,0.0167643232706311,0.0167643232706311
2,512,0.0710833333333333,NA,NA
3,0,1.68720833333333,0.0930326132580915,0.0537124043079735
3,0.5,1.21058333333333,NA,NA
3,1,1.185375,0.0291681547239451,0.0291681547239451
3,4,0.993416666666667,NA,NA
3,8,1.013875,0.153029692561789,0.153029692561789
3,32,0.977180555555556,0.115881167681156,0.0819403594791606
3,128,0.9788125,0.21764157469271,0.21764157469271
3,512,0.937625,NA,NA
4,0,1.71419791666667,0.084615041778273,0.0488525171481774
4,0.5,1.74316666666667,NA,NA
4,1,1.76204166666667,0.060398704226351,0.060398704226351
4,4,0.508,NA,NA
4,8,0.233291666666667,0.0618129177887241,0.0618129177887241
4,32,0.192305555555556,0.0470225517211728,0.0332499651907365
4,128,0.192729166666667,0.0234229121268044,0.0234229121268044
4,512,0.198166666666667,NA,NA
5,0,1.70508333333333,0.0996604362136565,0.0575389796755101
5,0.5,1.67691666666667,NA,NA
5,1,1.69625,0.145663996924429,0.145663996924429
5,4,1.45616666666667,NA,NA
5,8,1.5083125,0.212632901659305,0.212632901659305
5,32,1.44259722222222,0.166229375983353,0.117541918990237
5,128,1.333875,0.104769654745807,0.104769654745807
5,512,1.15279166666667,NA,NA
6,0,1.68609375,0.0891553236230124,0.0514738500934344
6,0.5,1.721,NA,NA
6,1,1.773125,0.0415425233947097,0.0415425233947097
6,4,0.518166666666667,NA,NA
6,8,0.224625,0.0528562318936944,0.0528562318936944
6,32,0.216263888888889,0.0683806535004467,0.0483524237921335
