"line","t","df","p.value","sig"
1,-12.49,20.18,0,"*"
2,-18.16,21.26,0,"*"
3,-12.96,21.96,0,"*"
4,-34.67,19.57,0,"*"
5,-8.49,19.35,0,"*"
6,-11.05,13.52,0,"*"
7,-7.95,18.27,0,"*"
8,-19.22,15.01,0,"*"
9,-11.17,12.63,0,"*"
10,-5.29,12.41,0.0002,"*"
11,-8.09,12.45,0,"*"
12,-1.79,15.76,0.0926,""
13,-10.56,15.23,0,"*"
14,-4.62,11.9,0.0006,"*"
15,-9.91,19.4,0,"*"
16,-21.39,12.27,0,"*"
17,-18.68,14.55,0,"*"
18,-6.34,21.98,0,"*"
19,-12.61,21.89,0,"*"
20,-11.5,20.33,0,"*"
